#{"t_start": 1675173698.9865053, "env_id": null}
r,l,t
-82744.7754,23552,53.796913
-46596.5211,23552,101.495224
-48242.4789,23552,151.114869
-38269.91568,23552,197.86393
-33602.81614,23552,244.324347
-38514.4491,23552,290.310443
-41489.17432,23552,335.854956
-41410.1167,23552,381.996151
-46992.3637,23552,427.361128
-43983.53214,23552,473.312427
-48714.82598,23552,518.944672
-40971.2806,23552,565.131907
-44283.63438,23552,610.978489
-40730.52178,23552,656.93844
-40530.19538,23552,702.663453
-41560.10188,23552,748.455804
-41401.49926,23552,793.844247
-42644.30384,23552,839.420997
-44925.8671,23552,884.776806
-39696.53716,23552,930.550148
-38111.8206,23552,975.981998
-38622.7619,23552,1025.987304
-39438.20212,23552,1074.457587
-38549.01884,23552,1122.298822
-37444.5302,23552,1168.194169
-39237.92762,23552,1214.490721
-38964.24478,23552,1260.293916
-38138.0726,23552,1306.588287
-38876.5511,23552,1352.552991
-38710.78478,23552,1400.467978
-38969.97914,23552,1448.594336
-38186.54286,23552,1499.403661
-39426.45696,23552,1549.06592
-41182.24806,23552,1598.766924
-42473.83842,23552,1646.291274
-40902.59614,23552,1694.003042
-42061.65172,23552,1742.787356
-41883.27376,23552,1791.405506
-42261.3624,23552,1838.291209
-42454.92796,23552,1885.351771
-45287.87254,23552,1931.993812
-46287.22732,23552,1980.137781
-45783.17234,23552,2028.531443
-48089.50706,23552,2075.73545
-46040.6783,23552,2122.418911
-48231.44564,23552,2172.544306
-45592.38944,23552,2223.315635
-47690.86132,23552,2279.620515
-46561.27402,23552,2333.066916
-47883.36316,23552,2382.528177
-46791.91082,23552,2432.775667
-47619.75128,23552,2481.866944
-46980.8897,23552,2529.094164
-47019.09428,23552,2576.878709
-46980.8897,23552,2625.425683
-47029.89896,23552,2673.834113
-46980.8897,23552,2722.018106
-47029.89896,23552,2770.150702
-46980.8897,23552,2818.811536
-46980.8897,23552,2874.613913
-48933.74098,23552,2951.465143
-49423.79684,23552,3019.542716
-49552.25378,23552,3093.180418
-49342.79684,23552,3168.001784
-49552.25378,23552,3238.668833
-47906.06632,23552,3309.804898
-46583.47644,23552,3379.51773
-46583.47644,23552,3447.88187
-46583.47644,23552,3516.753822
-46583.47644,23552,3605.587442
-46583.47644,23552,3696.90287
-46583.47644,23552,3789.593221
-46583.47644,23552,3877.311448
