#{"t_start": 1675728518.0380993, "env_id": null}
r,l,t
-3054.7291,23616,55.061755
-800.28,23616,102.662243
-2123.83402,23616,149.247365
-1937.75134,23616,195.888692
-2097.94174,23616,242.402694
-2036.07436,23616,288.588675
-2000.86526,23616,335.120221
-2086.14462,23616,381.722303
-1870.75298,23616,428.298195
-1979.0758,23616,474.396383
-2076.67298,23616,520.744675
-2151.91486,23616,566.788271
-2214.0852,23616,613.021971
-2176.68592,23616,658.865925
-2213.49642,23616,705.111328
-1995.20984,23616,751.082572
-2155.43074,23616,797.504611
-2090.9537,23616,843.422852
-1871.5674,23616,889.477979
-1672.1945,23616,935.513677
-1943.1005,23616,981.710011
-1842.37578,23616,1027.727438
-1773.16356,23616,1073.731639
-1709.53682,23616,1119.699546
-1824.68748,23616,1166.009729
-1849.70226,23616,1212.168639
-1853.0837,23616,1258.505127
-1855.83026,23616,1304.709664
-1838.10774,23616,1351.307519
-1844.26188,23616,1397.467788
-1854.74092,23616,1443.612795
-1835.78712,23616,1489.313336
-1810.1324,23616,1535.470223
-1835.9885,23616,1581.365266
-1815.39956,23616,1629.230259
-1820.5365,23616,1674.950804
-1809.58748,23616,1720.940284
-1796.58252,23616,1766.873824
-1806.53984,23616,1813.719501
-1820.2034,23616,1859.483403
-1822.92624,23616,1905.530347
-1871.15496,23616,1951.464055
-1804.85936,23616,1997.562061
-1826.34784,23616,2043.426126
-1804.85936,23616,2089.522897
-1818.13544,23616,2135.457032
-1806.65214,23616,2181.601643
-1826.77574,23616,2227.53158
-1830.49814,23616,2273.856585
-1839.72108,23616,2319.726056
-1890.12872,23616,2366.010546
-1878.76066,23616,2411.894635
-1890.12872,23616,2457.820683
-1875.40066,23616,2503.682698
-1883.31344,23616,2550.200201
-1915.21758,23616,2596.063749
-1911.86396,23616,2642.28362
-1941.42288,23616,2688.068163
-1935.54956,23616,2734.164833
-1951.11342,23616,2780.071422
-1933.87498,23616,2826.170277
-1944.03468,23616,2871.988716
-1960.56332,23616,2918.138392
-1949.06064,23616,2964.055346
-1994.82786,23616,3010.225913
-2022.6334,23616,3055.91286
-2029.07296,23616,3101.849972
-2020.16196,23616,3147.644546
-2018.00578,23616,3193.747464
-2011.90836,23616,3239.523909
-2010.60742,23616,3285.387264
-2014.23036,23616,3331.511616
-2008.4951,23616,3377.471051
-2011.36152,23616,3423.192016
-1940.48912,23616,3469.25903
-1903.97416,23616,3514.877356
-1864.06804,23616,3560.906358
-1890.27704,23616,3612.006879
-1887.27632,23616,3662.123827
-1917.0003,23616,3711.669188
-1848.86952,23616,3760.826753
-1909.46734,23616,3810.619723
-1853.59952,23616,3863.302809
-2008.274,23616,3914.574343
-2015.02792,23616,3962.727251
-2001.65546,23616,4011.424782
-2014.78582,23616,4061.547477
-1989.50976,23616,4110.402975
-1940.9791,23616,4159.754529
-1950.43824,23616,4207.100396
-1950.9391,23616,4254.817399
-1950.43824,23616,4302.022151
-1950.9391,23616,4351.596144
-1950.43824,23616,4399.989492
-1950.9391,23616,4448.109509
-1950.92802,23616,4496.866753
-1950.9391,23616,4547.413298
-1950.92802,23616,4596.671509
-2046.32712,23616,4648.795293
-2062.74878,23616,4698.992364
-2050.4642,23616,4748.650692
-2043.11608,23616,4796.898636
-2050.4642,23616,4845.233577
-2047.03608,23616,4892.741056
-2050.4642,23616,4941.015417
-2045.1394,23616,4988.49515
-2050.4642,23616,5036.354913
-2011.978,23616,5083.516901
-2011.978,23616,5132.715459
-2011.978,23616,5180.635294
-2011.978,23616,5228.874807
-2011.978,23616,5276.080513
-1933.09504,23616,5324.04043
-1953.06326,23616,5371.624464
-1942.33528,23616,5420.021007
-1943.90216,23616,5467.194652
-1981.67378,23616,5515.789037
-2041.09408,23616,5562.684046
-1999.3384,23616,5610.413985
-2076.33994,23616,5659.716525
-2075.23744,23616,5710.781321
-2002.246,23616,5758.36349
-1960.8625,23616,5808.58988
-1950.69858,23616,5858.934301
-1971.2546,23616,5909.965001
-1945.66422,23616,5958.920451
-1978.64942,23616,6008.929123
-1952.66186,23616,6057.762262
-1984.8532,23616,6105.61431
-1971.79398,23616,6154.149094
-1976.83388,23616,6202.245765
-1968.44372,23616,6250.517433
-1966.6678,23616,6302.674352
-2036.19014,23616,6352.989041
-2103.28378,23616,6402.23013
-2054.934,23616,6453.46943
-1994.2826,23616,6503.632388
-1976.78932,23616,6552.371383
-1980.95528,23616,6600.608789
-1970.12932,23616,6649.471499
-1984.33608,23616,6697.708029
-1970.12932,23616,6746.970871
-1984.33608,23616,6794.645453
-1972.32632,23616,6842.16153
-1958.73608,23616,6890.059063
-1979.6815,23616,6938.162606
-1958.73608,23616,6987.167629
-1979.6815,23616,7035.844247
-1975.75308,23616,7085.516204
-1982.37098,23616,7133.233853
-1980.19308,23616,7180.919466
-1985.59356,23616,7229.638229
-1978.84286,23616,7277.536266
-1982.0216,23616,7323.672356
-1958.40286,23616,7369.399394
-1988.6816,23616,7423.431255
-1961.58212,23616,7474.817216
-1994.67762,23616,7526.731835
-1954.38068,23616,7573.326339
-1987.36936,23616,7620.186524
-1954.39176,23616,7667.832498
-1986.5824,23616,7714.364385
-1960.3767,23616,7760.698945
-1998.58514,23616,7807.535218
-1968.43116,23616,7854.251722
-1998.58514,23616,7903.246611
-1972.3722,23616,7951.642572
-2013.44658,23616,7999.498251
-1963.80382,23616,8052.527854
-2013.63846,23616,8099.058617
-1961.20526,23616,8147.12376
-1984.45526,23616,8196.209479
-1961.20526,23616,8244.172268
-1965.49526,23616,8291.196457
-2062.05584,23616,8339.665453
-2021.37758,23616,8387.283527
-2058.95002,23616,8434.547747
-2036.68448,23616,8481.872164
-2066.15342,23616,8529.536875
-2031.95882,23616,8576.576362
-2052.58838,23616,8623.820747
-2037.6661,23616,8670.080645
-2030.73588,23616,8717.013778
-2059.07692,23616,8762.561947
-2062.83026,23616,8807.818319
-2061.05718,23616,8853.096627
-2051.20146,23616,8898.702556
-2074.1212,23616,8944.104646
-2040.69436,23616,8989.550198
-2057.28042,23616,9034.822194
-2044.91792,23616,9080.243973
-2057.28042,23616,9125.416383
-2050.0936,23616,9171.009699
-2057.28042,23616,9216.067944
-2052.1736,23616,9261.422932
-1976.39896,23616,9306.609142
-1992.66482,23616,9351.76926
-2003.54328,23616,9396.993316
-1990.16432,23616,9442.813324
-1992.1781,23616,9488.040121
-2007.6742,23616,9533.216453
-2004.9153,23616,9578.635913
-1996.87578,23616,9624.108002
-2011.87812,23616,9669.304446
-1998.46862,23616,9714.512265
-2009.27248,23616,9759.679515
-2066.94514,23616,9805.112768
-1976.8429,23616,9850.267437
-1997.3066,23616,9895.452339
-1992.56854,23616,9940.521041
-2001.73136,23616,9985.825807
-2001.2888,23616,10030.988697
-1994.54726,23616,10076.24893
-2008.07274,23616,10121.262588
-1981.10616,23616,10166.537026
-2014.7856,23616,10211.775431
-2001.12632,23616,10256.911557
-2077.80862,23616,10302.505556
-2042.00962,23616,10348.185138
-2118.44768,23616,10393.240037
-2086.5531,23616,10438.371864
-1976.41892,23616,10483.261548
-2087.90378,23616,10528.561166
-2086.93622,23616,10573.627316
-2087.90378,23616,10618.647582
-2079.16378,23616,10663.750184
-2087.90378,23616,10709.119134
-2079.16378,23616,10754.117823
-2087.90378,23616,10799.087791
-2079.16378,23616,10844.120923
-2079.16378,23616,10889.490308
-2079.16378,23616,10935.13165
-2079.16378,23616,10980.411727
-2079.16378,23616,11025.559376
-2079.16378,23616,11070.82803
-2079.16378,23616,11116.032108
-1965.13646,23616,11161.485395
-1937.12274,23616,11206.359915
-1966.40178,23616,11251.736422
-1912.5512,23616,11296.660975
-1974.5107,23616,11341.951532
-1966.88142,23616,11387.043446
-2138.92126,23616,11432.490553
-2159.90648,23616,11477.659667
-2081.0139,23616,11523.04914
-2047.86412,23616,11568.350947
-2106.68782,23616,11613.459154
-2068.23594,23616,11658.40124
-2021.68826,23616,11703.771143
-1995.13846,23616,11748.565634
-2073.26066,23616,11793.635508
-2090.07152,23616,11838.579212
-2044.11604,23616,11883.964758
-2092.40824,23616,11928.97374
-2092.0505,23616,11974.122172
-2094.70336,23616,12019.127889
-2092.0505,23616,12064.380843
-2094.70336,23616,12109.136983
-2092.0505,23616,12154.556641
-2094.53424,23616,12199.7385
-2092.0505,23616,12245.112832
-2094.53424,23616,12290.528274
-2033.44572,23616,12335.59314
-2017.4116,23616,12380.856371
-2035.10786,23616,12426.05449
-2021.55162,23616,12470.955019
-2026.11934,23616,12516.311908
-2022.77218,23616,12561.142345
-2052.2325,23616,12606.664608
-2019.67816,23616,12651.748591
-2042.8761,23616,12696.858605
-2049.46028,23616,12742.318581
-2061.85054,23616,12787.626715
-2045.10214,23616,12832.546046
-2046.8053,23616,12877.888631
-2048.98354,23616,12922.780288
-2041.44306,23616,12967.997705
-2035.81556,23616,13012.708291
-2007.20168,23616,13057.951483
-2043.9402,23616,13102.829433
-2037.23708,23616,13148.056938
-2061.32654,23616,13193.182797
-2034.72372,23616,13238.35424
-2056.69816,23616,13283.12687
-2049.03774,23616,13328.511154
-2045.98412,23616,13373.238841
-2049.03774,23616,13418.3531
-2050.72198,23616,13463.11849
-2070.25228,23616,13508.522885
-2056.80608,23616,13553.367557
-2073.3377,23616,13598.317921
-2072.99036,23616,13643.336295
-2063.32928,23616,13688.469678
-2085.21642,23616,13733.158992
-2076.064,23616,13778.413021
-2069.33862,23616,13823.125134
-2093.14266,23616,13868.346738
-2105.7474,23616,13913.033603
-2093.14266,23616,13958.33306
-2108.45688,23616,14002.966708
-2093.14266,23616,14048.164818
-2017.99788,23616,14092.854622
-2010.77096,23616,14138.034175
-2015.0162,23616,14183.037133
-2025.11558,23616,14228.171326
-2032.03566,23616,14272.890225
-2031.08082,23616,14317.887401
-2035.58526,23616,14362.618738
-2019.9799,23616,14407.770815
-2036.55682,23616,14452.585942
-2024.19446,23616,14498.00683
-2013.5357,23616,14543.148364
-2015.65914,23616,14588.446631
-2013.5357,23616,14633.091961
-2015.65914,23616,14678.01037
-2013.5357,23616,14722.686874
-2013.5357,23616,14767.720985
-2013.5357,23616,14812.389308
-2013.5357,23616,14857.498183
-2035.96342,23616,14902.315007
-2025.41404,23616,14947.85379
-2056.20988,23616,14993.169153
-2038.03382,23616,15038.430641
-2064.88784,23616,15083.345801
-2052.87424,23616,15128.656657
-2073.09658,23616,15173.372661
-2055.6333,23616,15218.309583
-2064.14142,23616,15263.02916
-2054.20846,23616,15307.99626
-2056.93998,23616,15352.727738
-2052.63596,23616,15397.695842
-2056.93998,23616,15442.40531
-2052.63596,23616,15487.486882
-2052.63596,23616,15532.117566
-2052.63596,23616,15577.462105
-2052.63596,23616,15622.595865
-2052.63596,23616,15667.608692
-2052.63596,23616,15712.412947
-2052.63596,23616,15757.506456
-2052.63596,23616,15802.216404
-2052.63596,23616,15847.226918
-2052.63596,23616,15892.040035
-2052.63596,23616,15937.265004
-2052.63596,23616,15981.996488
-2052.63596,23616,16027.129894
-2052.63596,23616,16071.790165
-2052.63596,23616,16116.867939
-2052.63596,23616,16161.686105
-2052.63596,23616,16206.56727
-2052.63596,23616,16251.366045
-2052.63596,23616,16296.686718
-2052.63596,23616,16341.864058
-2052.63596,23616,16387.244586
-2052.63596,23616,16432.018029
-2052.63596,23616,16476.901261
-2052.63596,23616,16521.636176
-2052.63596,23616,16566.726584
-2010.14958,23616,16611.441028
-2030.83976,23616,16657.005982
-2056.29312,23616,16702.195791
-2075.19578,23616,16747.42762
-2114.53106,23616,16791.867056
-2283.1009,23616,16837.033161
-2291.47604,23616,16881.764859
-2281.28948,23616,16926.788981
-2289.67812,23616,16971.303272
-2275.28298,23616,17016.47242
-2289.67812,23616,17061.033023
-2285.98522,23616,17105.976519
-2290.6553,23616,17150.493626
-2285.98522,23616,17195.361972
-2069.9042,23616,17239.933394
-2010.64452,23616,17284.804186
