#{"t_start": 1676036176.3271613, "env_id": null}
r,l,t
-50192.273253,23665,62.613341
-52978.359639,23665,120.763147
-40181.324198,23665,186.584256
-32678.163175,23665,244.144094
-19153.105526,23665,302.438017
-18857.275694,23665,360.751908
-21203.722092,23665,418.553993
-18583.853828,23665,484.038598
-21161.479787,23665,543.826273
-21322.61294,23665,608.907966
-22035.29947,23665,667.113068
-21295.370528,23665,731.672815
-21043.835536,23665,790.611065
-20125.338724,23665,854.997909
-22918.574439,23665,913.66481
-24687.469806,23665,978.073975
-26910.828628,23665,1036.514907
-23355.447709,23665,1101.499172
-24781.274977,23665,1161.193206
-23623.596661,23665,1224.939367
-24280.851663,23665,1284.527346
-23058.172121,23665,1351.426495
-22671.497563,23665,1411.614104
-24409.887998,23665,1476.917291
-24091.041442,23665,1535.743845
-22063.753295,23665,1599.044296
-22966.593724,23665,1658.332626
-22637.435918,23665,1721.831856
-23207.751923,23665,1780.689582
-24778.309303,23665,1845.622912
-22570.665488,23665,1905.243148
-21811.584097,23665,1968.971882
-22305.353004,23665,2033.907166
-20783.327624,23665,2101.969604
-21390.070725,23665,2170.548525
-21186.730449,23665,2238.177445
-19939.220233,23665,2301.730065
-19134.262232,23665,2367.260892
-18738.479754,23665,2429.356679
-19243.145608,23665,2493.416344
-20510.206539,23665,2554.737847
-19817.625622,23665,2617.121821
-18817.528435,23665,2681.121187
-19570.977259,23665,2746.512865
-21179.496252,23665,2807.486344
-20207.579499,23665,2870.451891
-21477.132351,23665,2930.12097
-20057.005349,23665,2990.427882
-18400.787332,23665,3047.551461
-19786.141587,23665,3110.268653
-19899.883417,23665,3170.466374
-19642.595397,23665,3238.411565
-22712.094282,23665,3297.816689
-21683.873429,23665,3361.78698
-21466.62922,23665,3422.41199
-20913.846386,23665,3487.16458
-19318.746876,23665,3546.44346
-20341.557196,23665,3612.533561
-20196.409513,23665,3670.583297
-21085.455675,23665,3736.118609
-25157.029776,23665,3800.112571
-24048.997012,23665,3863.527244
-24239.465222,23665,3922.640035
-21952.566091,23665,3988.037647
-21995.906511,23665,4046.965201
-22387.901615,23665,4110.690134
-20967.747667,23665,4175.118021
-23327.765081,23665,4246.749728
-22759.663817,23665,4308.531607
-23965.37093,23665,4374.83736
-22515.690081,23665,4435.303915
-20910.282808,23665,4499.410631
-20082.513513,23665,4560.10491
-20931.093747,23665,4626.092105
-21704.871982,23665,4686.563907
-21860.842134,23665,4755.201588
-21544.474359,23665,4815.578671
-26579.899239,23665,4880.222843
-25767.196654,23665,4942.112714
-27103.15277,23665,5009.216758
-24123.364198,23665,5075.077122
-22931.282314,23665,5141.15989
-21407.735078,23665,5201.252189
-19849.414456,23665,5268.899317
-20787.970725,23665,5332.293252
-20453.498745,23665,5399.299876
-20532.184569,23665,5458.966126
-20221.110094,23665,5525.017952
-17488.352981,23665,5584.767463
-19134.606398,23665,5651.924576
-20470.275996,23665,5712.744516
-28127.930281,23665,5777.383187
-27222.460328,23665,5837.463224
-24741.219045,23665,5902.28957
-22004.248541,23665,5962.137254
-22887.439106,23665,6027.280837
-23453.683265,23665,6088.219233
-21909.206372,23665,6153.797123
-21000.40101,23665,6214.664431
-20453.5848,23665,6278.575306
-20172.002859,23665,6340.096965
-18837.707597,23665,6404.350176
-17622.259947,23665,6465.367032
-19424.733734,23665,6529.326432
-17871.562781,23665,6589.675971
-25256.423867,23665,6653.912069
-21362.521566,23665,6713.575269
-26099.865366,23665,6778.95273
-21507.657083,23665,6840.462257
-20114.051502,23665,6904.366774
-18719.548315,23665,6964.060569
-19543.152657,23665,7027.77261
-19298.570773,23665,7087.480804
-21015.843493,23665,7150.810842
-19491.755726,23665,7210.850157
-19490.117158,23665,7275.066755
-17537.586903,23665,7335.002073
-19758.236613,23665,7399.077134
-18469.471362,23665,7458.036597
-17689.915462,23665,7522.530719
-21681.945514,23665,7582.45767
-20893.253843,23665,7648.662482
-19314.722514,23665,7709.294374
-19303.433789,23665,7775.346624
-18535.650624,23665,7838.525481
-19121.564644,23665,7903.774033
-19527.036307,23665,7966.584245
-17673.86161,23665,8031.484327
-18183.584957,23665,8094.639017
-17933.926616,23665,8160.406521
-17268.07727,23665,8222.199964
-18134.806171,23665,8287.733021
-17935.612438,23665,8350.570282
-18010.405444,23665,8414.454756
-18186.524123,23665,8480.437099
-17914.030834,23665,8549.320742
-17465.942856,23665,8615.453274
-19899.703768,23665,8686.232668
-19675.78709,23665,8749.536211
-19803.013549,23665,8814.440032
-19118.488548,23665,8864.500575
-18639.200984,23665,8914.399889
-19584.198522,23665,8962.604256
-19192.102101,23665,9013.234798
-19006.244574,23665,9060.674049
-20696.921897,23665,9115.297509
-21396.162255,23665,9165.704927
-22201.576026,23665,9213.692643
-24829.54228,23665,9260.240241
-23704.519435,23665,9308.838916
-22969.981052,23665,9355.289005
-21596.196106,23665,9403.322764
-22014.899526,23665,9449.224987
-21474.168984,23665,9497.118195
-20950.368562,23665,9543.592638
-23025.200663,23665,9591.930658
-20175.339496,23665,9637.902951
-18691.466632,23665,9685.566946
-20437.250598,23665,9731.638604
-17401.421428,23665,9779.069015
-18925.465157,23665,9824.848971
-19614.411511,23665,9872.756438
-20958.616718,23665,9918.556596
-22615.425349,23665,9966.360295
-22409.981338,23665,10012.668965
-24101.914331,23665,10060.294715
-23948.6944,23665,10106.045176
-22646.875268,23665,10153.563487
-17870.709307,23665,10200.30462
-18700.451279,23665,10247.759059
-19855.554867,23665,10293.720447
-20632.257913,23665,10341.103631
-21161.970899,23665,10387.051602
-19701.522804,23665,10434.400131
-21671.018133,23665,10480.207166
-21597.032073,23665,10527.627084
-20283.637969,23665,10573.824597
-20931.227657,23665,10621.343437
-19627.388013,23665,10667.529977
-27008.881541,23665,10715.17506
-25747.77716,23665,10760.927823
-24293.262039,23665,10808.325637
-23446.864255,23665,10854.603537
-24972.711146,23665,10902.152605
-27904.518455,23665,10948.098936
-22040.105383,23665,10995.648352
-22741.678857,23665,11041.589249
-19536.54005,23665,11089.40174
-21912.232943,23665,11135.527417
-21815.215722,23665,11183.499258
-24964.102811,23665,11229.329952
-16453.773869,23665,11276.786721
-17387.910296,23665,11322.928004
-18390.258025,23665,11370.34552
-20699.360065,23665,11416.545561
-21960.436266,23665,11463.998236
-23536.894345,23665,11510.509732
-28490.190522,23665,11557.938978
-27540.70331,23665,11603.815536
-22933.365674,23665,11651.183031
-27512.977523,23665,11697.239329
-26633.551815,23665,11744.947646
-22520.211043,23665,11790.783854
-25167.654209,23665,11838.123523
-23088.759965,23665,11884.240549
-27962.798941,23665,11931.704825
-20476.651709,23665,11977.967155
-21291.497057,23665,12025.573267
-22862.204362,23665,12071.549129
-24420.797953,23665,12119.068763
-29104.618195,23665,12165.412562
-23997.130055,23665,12213.137442
-23934.925596,23665,12258.935946
-24718.5515,23665,12306.767064
-24095.112871,23665,12352.749999
-22220.588891,23665,12400.139766
-27243.527831,23665,12446.309227
-23508.303042,23665,12493.651231
-26278.349927,23665,12539.536179
-27878.587031,23665,12586.915586
-24491.66514,23665,12632.940411
-26297.931677,23665,12680.143987
-25087.780344,23665,12726.219587
-23179.060755,23665,12773.548025
-26904.914318,23665,12819.480515
-25023.48052,23665,12867.874838
-23481.680895,23665,12913.754971
-26727.797622,23665,12960.9467
-24275.567779,23665,13006.828367
-25756.320078,23665,13054.286605
-26833.418414,23665,13099.988564
-24535.379355,23665,13147.462393
-28716.093336,23665,13193.385672
-20952.511513,23665,13240.516655
-22549.347454,23665,13286.050266
-25754.134806,23665,13333.099585
-21137.797933,23665,13378.748218
-24175.655156,23665,13426.394273
-23456.620611,23665,13472.451213
-27828.095907,23665,13519.355265
-29156.971478,23665,13564.925338
-22745.507223,23665,13611.984192
-28762.072395,23665,13657.900289
-26958.087054,23665,13704.922473
-22201.672076,23665,13750.605227
-24070.760739,23665,13797.684675
-24281.006924,23665,13843.362544
-27077.770757,23665,13890.92471
-29063.304784,23665,13937.128455
-28268.442746,23665,13984.327088
-28463.081661,23665,14030.190913
-26915.926649,23665,14077.506974
-29645.791197,23665,14123.381579
-33524.460089,23665,14170.597833
-32823.208095,23665,14216.289782
-29888.026841,23665,14263.391627
-28810.656712,23665,14309.111272
-26351.000698,23665,14356.189614
-23998.184342,23665,14402.080455
-28729.399676,23665,14449.145549
-28545.972688,23665,14494.945628
-30659.550443,23665,14541.958081
-28276.015658,23665,14587.665307
-20766.774616,23665,14634.692289
-20896.859078,23665,14680.796724
-24128.919365,23665,14727.873348
-27249.415181,23665,14773.714441
-32883.419591,23665,14820.749379
-23361.003664,23665,14866.463563
-23041.067331,23665,14913.493008
-23808.63326,23665,14958.888942
-27463.450887,23665,15006.17546
-31365.50708,23665,15051.799572
-27712.79919,23665,15098.885486
-24358.262139,23665,15144.447288
-27463.515737,23665,15191.596806
-31602.099705,23665,15237.143618
-33859.340058,23665,15284.125447
-30401.368696,23665,15331.846771
-28265.217121,23665,15380.943819
-30820.118445,23665,15428.442097
-35019.184399,23665,15475.396147
-22127.603266,23665,15520.856096
-25083.126485,23665,15567.742333
-26879.530361,23665,15613.395895
-28562.283021,23665,15660.325375
-32110.725637,23665,15705.910197
-32044.83389,23665,15752.998763
-29764.496912,23665,15798.469315
-31556.534921,23665,15845.343885
-27878.548378,23665,15891.43055
-31690.705806,23665,15938.629588
-29954.754481,23665,15984.179492
-30923.86886,23665,16031.001697
-29740.360992,23665,16077.336725
-35478.498702,23665,16124.265041
-28560.123643,23665,16172.186676
-34698.87646,23665,16221.953577
-34666.222671,23665,16271.203734
-34369.122939,23665,16320.353448
-27094.771278,23665,16370.60886
-30035.321786,23665,16420.194311
-33050.455896,23665,16468.315978
-30677.593228,23665,16517.539721
-35747.685296,23665,16564.973027
-34352.098643,23665,16613.725734
-30057.546123,23665,16661.015701
-23460.662987,23665,16709.861498
-26790.353569,23665,16759.594467
-30647.995331,23665,16808.667099
-30702.646702,23665,16855.792528
-31626.844532,23665,16904.498153
-31634.595909,23665,16951.853395
-36157.627378,23665,17000.282694
-32573.859946,23665,17047.761117
-30262.351806,23665,17096.782909
-31073.973042,23665,17144.133826
-26336.164658,23665,17193.42137
-35887.93135,23665,17241.254779
-29445.812078,23665,17290.099964
-35343.872784,23665,17337.449574
-36901.977767,23665,17390.158066
-22409.203358,23665,17437.887799
-26574.391167,23665,17486.399572
-31585.950923,23665,17533.574452
-32733.064855,23665,17582.285948
-33690.644872,23665,17631.374179
-28390.786419,23665,17681.122282
-30784.384808,23665,17728.646208
-31361.035904,23665,17779.444657
-35565.426957,23665,17830.003152
-37166.937913,23665,17887.650732
-35002.326648,23665,17936.674673
-32450.408359,23665,17986.418483
-30141.115519,23665,18034.697696
-32397.743437,23665,18084.441848
