#{"t_start": 1675399005.6848943, "env_id": null}
r,l,t
-4564.47706,23608,54.655272
-3092.91834,23608,106.188559
-1051.50298,23608,156.553483
-1084.81378,23608,207.804347
-1310.38932,23608,258.330881
-1761.70794,23608,308.719303
-2875.22096,23608,359.995488
-2451.8596,23608,409.958273
-3014.6854,23608,460.979096
-2512.00502,23608,510.72997
-2757.10024,23608,562.039458
-3005.3127,23608,612.124692
-2635.67336,23608,663.011856
-2852.9094,23608,712.529779
-3060.6082,23608,763.466964
-3213.04672,23608,813.365567
-3425.50124,23608,864.296191
-3305.89878,23608,913.541666
-3307.37364,23608,963.961687
-3295.34334,23608,1013.375673
-3266.48774,23608,1064.351994
-3500.86744,23608,1113.869092
-3421.80448,23608,1164.573539
-3305.62408,23608,1214.020275
-3271.90502,23608,1264.581115
-3345.76918,23608,1313.95943
-3411.02462,23608,1364.599706
-3291.16814,23608,1414.074034
-3233.21044,23608,1464.834377
-3250.87358,23608,1513.876841
-3394.16284,23608,1564.297648
-3408.64734,23608,1614.746757
-3007.20214,23608,1665.203921
-3063.42766,23608,1714.63591
-2946.28526,23608,1765.084226
-2965.31718,23608,1814.25725
-2961.49446,23608,1864.815172
-3265.76426,23608,1914.127529
-2929.77904,23608,1964.384558
-2940.7274,23608,2013.307759
-2935.37254,23608,2063.832361
-2966.19356,23608,2113.871968
-2985.90508,23608,2164.455852
-3047.71068,23608,2213.695985
-2940.3132,23608,2263.961447
-3333.36712,23608,2313.329216
-3544.20952,23608,2364.065393
-3541.88694,23608,2413.682367
-3531.35722,23608,2463.912736
-3543.87418,23608,2513.198398
-3531.35722,23608,2563.427273
-3410.6403,23608,2612.803566
-3403.2688,23608,2663.795892
-3388.06542,23608,2713.07365
-3518.26868,23608,2763.234561
-3299.22104,23608,2812.439938
-3386.50828,23608,2862.769636
-3325.9905,23608,2912.179804
-3452.9651,23608,2962.73821
-3386.86164,23608,3011.832491
-3485.67396,23608,3062.02953
-3500.26826,23608,3110.954719
-3543.70398,23608,3161.39244
-3391.3314,23608,3210.8501
-3357.57186,23608,3261.385272
-3385.73172,23608,3310.567096
-3058.84746,23608,3360.588709
-3017.24256,23608,3409.840222
-3058.60926,23608,3460.177075
-3071.80456,23608,3509.3398
-3080.49108,23608,3559.576066
-3065.12878,23608,3608.44442
-3059.3949,23608,3658.388733
-3064.38444,23608,3707.448859
-3059.3949,23608,3757.894307
-3372.06576,23608,3806.908272
-3378.15256,23608,3857.356146
-3375.3785,23608,3906.250582
-3396.11924,23608,3956.285374
-3416.20194,23608,4005.49579
-3348.0115,23608,4055.976757
-3427.13086,23608,4105.513131
-3425.02378,23608,4155.911484
-3475.64114,23608,4204.986093
-3437.27716,23608,4255.193908
-3779.51752,23608,4304.516571
-3779.51752,23608,4354.838672
-3775.40656,23608,4403.98408
-3773.68344,23608,4454.020522
-3783.72194,23608,4502.867345
-3773.68344,23608,4553.010145
-3761.8027,23608,4602.16733
-3760.6267,23608,4652.549588
-3746.3407,23608,4701.668474
-3750.62898,23608,4751.775135
-3388.29136,23608,4800.641521
-3401.59126,23608,4851.296231
-3434.74262,23608,4900.696051
-3357.23986,23608,4950.961997
-3386.85954,23608,5000.112933
-3373.57284,23608,5050.470826
-3686.36426,23608,5099.428219
-3706.46662,23608,5149.782855
-3677.02084,23608,5198.84047
-3726.43074,23608,5249.163436
-3681.66664,23608,5298.444285
-3372.73424,23608,5348.234586
-3356.25732,23608,5396.999344
-3372.73424,23608,5446.856062
-3371.39334,23608,5495.893393
-3373.29222,23608,5546.202614
-3378.9313,23608,5595.131328
-3380.52952,23608,5645.311828
-3380.83018,23608,5696.841743
-3390.3056,23608,5747.0247
-3398.37394,23608,5796.189442
-3378.06262,23608,5846.674683
-3486.05028,23608,5895.908568
-3440.72606,23608,5946.032447
-3433.43488,23608,5995.092646
-3424.19744,23608,6045.118693
-3432.31428,23608,6094.039515
-3426.8371,23608,6144.54056
-3426.8371,23608,6193.571054
-3426.8371,23608,6244.131024
-3426.8371,23608,6293.082721
-3405.36356,23608,6343.165464
-3447.14282,23608,6392.051329
-3436.07256,23608,6442.697417
-3444.13628,23608,6491.805185
-3419.06788,23608,6542.342894
-3401.2285,23608,6591.510523
-3416.98816,23608,6641.795503
-3467.52632,23608,6690.806616
-3467.52632,23608,6741.365019
-3473.73692,23608,6790.451535
-3474.02236,23608,6840.765029
-3473.73692,23608,6890.007459
-3214.56596,23608,6940.058158
-3272.3986,23608,6989.014303
-3478.5148,23608,7039.075273
-3452.61326,23608,7088.047676
-3563.74078,23608,7138.307784
-3569.38244,23608,7188.88453
-3484.42576,23608,7239.005422
-3459.69296,23608,7287.972806
-3393.98186,23608,7338.0001
-3399.5263,23608,7386.783892
-3404.05598,23608,7436.956094
-3405.48896,23608,7486.128278
-3404.05598,23608,7536.317029
-3395.96056,23608,7585.318719
-3421.27384,23608,7634.939001
-3323.25188,23608,7683.593563
-3398.57684,23608,7733.530862
-3411.3078,23608,7782.561864
-3379.9851,23608,7832.708367
-3460.71574,23608,7881.9734
-3437.39248,23608,7931.660004
-3450.15226,23608,7980.160857
-3447.02264,23608,8030.024923
-3012.75176,23608,8079.173822
-3027.05978,23608,8129.206411
-3045.64758,23608,8178.744579
-3083.5314,23608,8228.581145
-3183.2837,23608,8277.352523
-3367.993,23608,8327.188393
-3348.34798,23608,8376.551167
-3310.39556,23608,8426.504496
-3297.76842,23608,8475.295658
-3322.82224,23608,8525.442743
-3362.03702,23608,8574.542883
-2996.60466,23608,8624.534045
-3052.04308,23608,8673.482549
-3251.95308,23608,8723.2548
-3242.08294,23608,8772.184254
-3342.4491,23608,8822.241481
-3306.57466,23608,8871.279668
-3306.80904,23608,8921.388909
-3311.47306,23608,8970.554288
-3311.47306,23608,9020.564677
-3343.8486,23608,9069.33741
-3329.21254,23608,9119.215495
-3408.523,23608,9167.995531
-3386.11352,23608,9218.140005
-3288.17808,23608,9268.50739
-3331.78262,23608,9318.579786
-3398.00928,23608,9367.217881
-3349.91432,23608,9416.884256
-3406.4835,23608,9465.49932
-3390.95736,23608,9515.583216
-3411.20376,23608,9565.151235
