#{"t_start": 1676454691.442675, "env_id": null}
r,l,t
-225314.394148,23665,45.800949
-229422.401958,23665,91.457275
-223150.588866,23665,139.201661
-188812.703678,23665,184.93609
-244862.067969,23665,233.378678
-160936.737171,23665,281.372486
-139395.623735,23665,327.023351
-124052.94134,23665,374.888134
-191962.443991,23665,421.060879
-124045.828501,23665,468.743868
-192830.641967,23665,515.333751
-132233.354064,23665,563.601892
-191964.013023,23665,609.445287
-132064.917582,23665,657.152494
-113667.672311,23665,703.00092
-102289.1161,23665,750.601009
-98313.885112,23665,796.814891
-94047.717075,23665,844.400609
-90882.039771,23665,890.712058
-87364.8164,23665,939.202551
-91627.435642,23665,985.337332
-91266.062821,23665,1032.884575
-87876.122353,23665,1078.986515
-95802.391416,23665,1127.217716
-85174.405534,23665,1173.895968
-83447.758908,23665,1222.515257
-80683.691576,23665,1268.517157
-82180.588068,23665,1316.787104
-79945.230065,23665,1362.942865
-79118.652015,23665,1411.043005
-81981.505096,23665,1457.365688
-81616.528806,23665,1505.347938
-89465.278727,23665,1552.148002
-80875.859606,23665,1600.318346
-86992.059677,23665,1647.392598
-88308.50873,23665,1695.320258
-82761.136149,23665,1742.307202
-80787.642081,23665,1790.381381
-80922.830191,23665,1837.054762
-75992.109918,23665,1884.768459
-77264.663371,23665,1931.361019
-77561.117004,23665,1979.410682
-79972.938232,23665,2025.455689
-76644.09002,23665,2073.344782
-73147.272571,23665,2119.446515
-74180.982702,23665,2167.303505
-70695.315426,23665,2213.372514
-74050.788875,23665,2261.407658
-68607.974371,23665,2307.627501
-66265.028594,23665,2355.727645
-67150.845621,23665,2402.276026
-60969.096963,23665,2449.930134
-60591.740291,23665,2496.796118
-61583.745341,23665,2544.667957
-58902.072615,23665,2591.122992
-61041.169858,23665,2638.891866
-62327.328946,23665,2685.113378
-63560.655054,23665,2733.003739
-64884.646461,23665,2779.0248
-72042.407815,23665,2826.758566
-71973.78453,23665,2873.172247
-70288.642944,23665,2921.002206
-75567.134648,23665,2967.623879
-72010.161964,23665,3015.201882
-67609.88489,23665,3061.477074
-71501.498035,23665,3109.23237
-67273.530677,23665,3156.012859
-65041.01874,23665,3204.153549
-63316.321595,23665,3251.595619
-67940.651343,23665,3299.927515
-62238.059939,23665,3346.145245
-59321.194333,23665,3394.034132
-60526.120737,23665,3439.95955
-58852.250316,23665,3488.053674
-56186.82352,23665,3534.294184
-55606.40689,23665,3582.446914
-55429.622186,23665,3629.420398
-51377.324917,23665,3677.359814
-54328.115344,23665,3723.562711
-53892.366537,23665,3771.537775
-52726.49147,23665,3817.952192
-54390.625524,23665,3865.650283
-51956.115447,23665,3911.778454
-56566.95341,23665,3959.797475
-48529.291549,23665,4006.132343
-50839.336377,23665,4053.914146
-49221.599309,23665,4100.703478
-51726.807083,23665,4148.410211
-50443.723632,23665,4195.70214
-48184.785274,23665,4243.551003
-49055.382106,23665,4290.30621
-48641.327908,23665,4337.926497
-48346.840198,23665,4384.250222
-47690.969981,23665,4432.326688
-52214.90778,23665,4479.600036
-47480.92135,23665,4527.445626
-47708.393507,23665,4574.331386
-45793.738422,23665,4622.108992
-42361.888059,23665,4668.394464
-40224.117475,23665,4716.359032
-36348.129348,23665,4763.30617
-35005.583483,23665,4811.366122
-32429.201608,23665,4857.521205
-33644.451455,23665,4905.179114
-33916.527939,23665,4951.874292
-34208.474216,23665,4999.602446
-35388.9271,23665,5045.99391
-32711.374617,23665,5093.790866
-31363.951758,23665,5140.898795
-33510.084166,23665,5188.997606
-32314.128948,23665,5235.428401
-30186.695982,23665,5283.509056
-29930.076921,23665,5330.001017
-29970.045277,23665,5377.845916
-30137.537991,23665,5424.003489
-23507.691428,23665,5471.866036
-28076.801835,23665,5518.600374
-26066.132447,23665,5566.315674
-27418.230183,23665,5612.982166
-23869.796099,23665,5660.871843
-25051.269102,23665,5707.586838
-23223.445358,23665,5755.107698
-19969.175508,23665,5801.96692
-22206.548878,23665,5849.867172
-16065.848321,23665,5896.092744
-20459.530301,23665,5943.579353
-22471.188877,23665,5989.988064
-19951.082296,23665,6038.043315
-23872.484759,23665,6084.365222
-19485.765279,23665,6132.06074
-19758.045966,23665,6178.181601
-19126.989018,23665,6225.950525
-16590.774428,23665,6272.316249
-18323.144314,23665,6320.293738
-16383.402159,23665,6366.721094
-17796.607521,23665,6414.686431
-18845.644317,23665,6461.120596
-19250.236582,23665,6508.898698
-17304.568798,23665,6555.378234
-18949.826845,23665,6603.102389
-17904.725896,23665,6650.055059
-18187.864291,23665,6698.037457
-18732.260314,23665,6745.200092
-19746.660851,23665,6792.937077
-19541.460902,23665,6839.001775
-18699.806676,23665,6887.144254
-20450.926629,23665,6933.524796
-21617.425893,23665,6981.11049
-25400.988615,23665,7027.479003
-25958.554096,23665,7075.331733
-23466.329206,23665,7121.451409
-24037.468809,23665,7169.224885
-21751.059655,23665,7215.570884
-21436.494418,23665,7263.295696
-24819.101029,23665,7309.611636
-18527.607285,23665,7357.310784
-24175.881257,23665,7403.85671
-21721.682627,23665,7451.570333
-23155.005665,23665,7498.330968
-24941.727557,23665,7546.095718
-25250.712588,23665,7592.419486
-25654.699384,23665,7641.745616
-27139.429097,23665,7690.487146
-26654.368803,23665,7745.295064
-28082.60473,23665,7806.03692
-23211.391605,23665,7866.815829
-26131.377241,23665,7920.840225
-26738.684706,23665,7979.625912
-23523.816288,23665,8035.252853
-26170.422055,23665,8094.322262
-28678.510387,23665,8150.280727
-29358.467528,23665,8208.269092
-25349.280903,23665,8267.955499
-28826.107749,23665,8328.934732
-25329.273369,23665,8384.846856
-28198.280592,23665,8443.129452
-23735.72781,23665,8499.600817
-31023.761967,23665,8559.267928
-30321.265927,23665,8625.127903
-31099.596137,23665,8689.946938
-41378.891846,23665,8749.114429
-21697.580451,23665,8810.583396
-25542.919126,23665,8869.016669
-27225.431507,23665,8930.858921
-29298.232912,23665,8989.629118
-31819.265912,23665,9052.122117
-34537.659252,23665,9110.338215
-33036.871356,23665,9171.915457
-30533.584768,23665,9230.001246
-28843.01418,23665,9292.333562
-27077.994838,23665,9353.043264
-29087.710807,23665,9414.214045
-32501.394439,23665,9473.921782
-25609.705555,23665,9539.968076
-23026.700684,23665,9599.307327
-24749.38044,23665,9660.55301
-21633.306368,23665,9717.960943
-25159.368332,23665,9779.880506
-32733.788332,23665,9838.150138
-20661.123188,23665,9900.373915
-30220.24722,23665,9958.89656
-32647.717456,23665,10018.266504
-30891.140018,23665,10073.344588
-35607.494241,23665,10132.145346
-28073.676772,23665,10185.921227
-31375.596528,23665,10242.166215
-31414.928481,23665,10295.009983
-37883.481921,23665,10350.51583
-26950.112234,23665,10405.823043
-30332.659063,23665,10465.05165
-29189.586566,23665,10517.21102
-30246.331462,23665,10575.695241
-29146.984546,23665,10630.875796
-29215.435332,23665,10687.865895
-40799.042301,23665,10745.518151
-32690.064271,23665,10804.461397
-35894.163048,23665,10861.590838
-25035.337516,23665,10921.919851
-27137.795968,23665,10975.657199
-31690.264086,23665,11034.07048
-25412.259171,23665,11088.22457
-25101.296367,23665,11145.874922
-32183.383636,23665,11200.722797
-28124.35124,23665,11255.434498
-41638.658997,23665,11316.39173
-28236.949758,23665,11370.926158
-30086.062289,23665,11425.94071
-34409.450662,23665,11476.938626
-47182.311441,23665,11530.106287
-26898.327773,23665,11582.604155
-23787.352233,23665,11629.200135
-23019.475439,23665,11677.16628
-46893.93712,23665,11723.531811
-58380.438165,23665,11770.956343
-22373.897199,23665,11817.133027
-21217.051575,23665,11864.755037
-20719.665255,23665,11914.33067
-27310.090645,23665,11967.304376
-25267.314662,23665,12018.619841
-25242.646426,23665,12068.864182
-44848.977421,23665,12120.210033
-20971.050531,23665,12169.651856
-20665.464085,23665,12217.805878
-26263.78184,23665,12267.69255
-25056.032283,23665,12316.722866
-55168.179081,23665,12366.816988
-29742.106359,23665,12414.468064
-31261.490167,23665,12463.592042
-58478.618804,23665,12513.58283
-42421.249445,23665,12562.971351
-58084.75408,23665,12610.768169
-18648.655765,23665,12659.714591
-18315.280408,23665,12707.982991
-20216.940155,23665,12757.308312
-21924.784284,23665,12805.144938
-20996.513728,23665,12854.120149
-24936.113747,23665,12903.180796
-27078.32748,23665,12952.103788
-24931.199739,23665,13002.283845
-24504.438044,23665,13051.414747
-34550.087148,23665,13101.617778
-31960.175652,23665,13158.685728
-30535.39786,23665,13212.922729
-38204.531602,23665,13265.501575
-36092.074078,23665,13317.212558
-23829.100852,23665,13371.575468
-34554.529902,23665,13422.599734
-38350.146923,23665,13474.599817
-26764.942683,23665,13526.670977
-27249.660192,23665,13577.222693
-37300.611865,23665,13629.466495
-44941.947025,23665,13682.000914
-43275.351222,23665,13733.88324
-43605.217514,23665,13788.365551
-16398.709272,23665,13839.953032
-19428.801846,23665,13894.595966
-22516.197953,23665,13948.783853
-29462.23105,23665,14000.529005
-34799.445299,23665,14048.482152
-35438.960118,23665,14098.524613
-47461.070156,23665,14147.755369
-22143.450771,23665,14201.891833
-30843.832303,23665,14251.58144
-30301.529135,23665,14307.352393
-33581.077113,23665,14362.066673
-27140.183214,23665,14417.275828
-38456.343664,23665,14468.087428
-32799.105038,23665,14520.692178
-43188.935242,23665,14570.586084
-39370.930131,23665,14619.592283
-32480.921674,23665,14669.794812
-39561.123009,23665,14720.508935
-35534.784558,23665,14768.516931
-43466.062242,23665,14819.24268
-29197.540523,23665,14868.242676
-38589.631644,23665,14919.649465
-41496.485642,23665,14968.833403
-33338.897609,23665,15019.382588
