#{"t_start": 1675746635.759586, "env_id": null}
r,l,t
-1150.8633,23614,107.971778
-1074.02168,23614,213.892395
-738.3149,23614,322.422925
-1066.9859,23614,434.668149
-1079.48914,23614,537.783239
-1151.61406,23614,652.363261
-1066.18302,23614,761.67964
-1128.55006,23614,874.200978
-1176.42594,23614,978.467707
-1118.47802,23614,1086.836959
-1156.23766,23614,1197.253273
-1134.78156,23614,1302.940754
-1095.57754,23614,1409.833277
-1114.66872,23614,1516.494218
-1100.48516,23614,1623.92736
-1083.88534,23614,1735.787466
-1069.08812,23614,1851.834272
-1104.28204,23614,1957.873341
-1091.32442,23614,2060.12552
-1100.19684,23614,2165.067928
-1116.30062,23614,2270.483789
-1136.52346,23614,2376.808794
-1144.56174,23614,2484.671298
-1148.127,23614,2591.868519
-1159.04846,23614,2700.771791
-1151.84828,23614,2810.382449
-1154.2097,23614,2915.36612
-1150.80676,23614,3024.728043
-1147.20792,23614,3131.729121
-1150.40556,23614,3235.132342
-1149.84082,23614,3348.241779
-1145.99376,23614,3462.537484
-1172.41602,23614,3572.653912
-1160.74668,23614,3681.475194
-1161.65016,23614,3790.219197
-1161.05482,23614,3900.535911
-1167.73074,23614,4008.106779
-1168.2977,23614,4114.843512
-1175.49278,23614,4220.339993
-1168.08726,23614,4334.529354
-1174.25962,23614,4443.750728
-1176.0023,23614,4559.686745
-1174.92966,23614,4666.579302
-1176.09892,23614,4779.578555
-1175.5922,23614,4892.2402
-1172.50134,23614,4999.851461
-1177.5625,23614,5107.173214
-1183.54466,23614,5218.114028
-1178.47842,23614,5327.818482
-1167.89018,23614,5434.146915
-1180.06248,23614,5545.875174
-1176.83818,23614,5659.540584
-1180.96522,23614,5774.207581
-1175.41334,23614,5887.055206
-1174.9585,23614,6006.199201
-1184.67736,23614,6120.861328
-1182.9291,23614,6230.836837
-1190.65944,23614,6341.638741
-1183.97632,23614,6451.222713
-1194.09658,23614,6557.79917
-1187.14702,23614,6669.42373
-1183.4135,23614,6780.660303
-1185.22258,23614,6886.201786
-1185.84554,23614,6995.929298
-1190.40344,23614,7109.175696
-1191.49824,23614,7221.673555
-1190.40344,23614,7335.318397
-1184.37174,23614,7446.325252
-1179.80124,23614,7561.271614
-1180.11812,23614,7669.313174
-1183.83058,23614,7781.54203
-1181.9954,23614,7897.505339
-1182.66012,23614,8012.396027
-1191.19086,23614,8128.214142
-1187.82036,23614,8249.538664
-1181.7039,23614,8357.931535
-1175.45274,23614,8466.961709
-1176.85368,23614,8576.777381
-1175.3825,23614,8684.800774
-1176.79428,23614,8794.885695
-1175.85054,23614,8907.146122
-1183.24744,23614,9017.827156
-1186.28496,23614,9127.471456
-1181.76508,23614,9239.537174
