#{"t_start": 1674648270.6334016, "env_id": null}
r,l,t
-19655514.522333,23665,53.074236
-19729587.067591,23665,109.18026
-13349564.408721,23665,163.379696
-11939107.792567,23665,220.189941
-15602255.949314,23665,275.727355
-12763966.457366,23665,333.253126
-9396607.194225,23665,390.860228
-8185146.874329,23665,443.618647
-8431581.225477,23665,499.631901
-7020741.984894,23665,553.701222
-6769777.309137,23665,610.912597
-6443664.236192,23665,665.476107
-6252606.703418,23665,722.259914
-6287671.192847,23665,775.0036
-6266002.77232,23665,831.476678
-6194634.305372,23665,883.829486
-6364646.434964,23665,937.383115
-6233352.770326,23665,989.900611
-6089353.05608,23665,1045.168547
-6528062.204391,23665,1098.223589
-6541048.743012,23665,1154.425949
-6400308.867295,23665,1206.810441
-6573332.856999,23665,1259.314014
-6700616.335404,23665,1311.404526
-6452376.708329,23665,1366.679132
-6420563.500397,23665,1419.183967
-6260305.475368,23665,1472.613985
-6035196.566265,23665,1525.314281
-5922891.630724,23665,1578.309126
-5884741.221642,23665,1632.933455
-5956491.093406,23665,1688.142695
-5893411.657974,23665,1740.581179
-5921088.604362,23665,1796.306137
-6039035.169991,23665,1851.334351
-6091687.621441,23665,1905.654312
-5777174.839437,23665,1959.115043
-5702672.355578,23665,2013.848976
-5765231.268323,23665,2068.686385
-5646359.663836,23665,2125.240396
-5648891.026677,23665,2177.16514
-5750308.220759,23665,2233.135232
-5698049.598988,23665,2287.570115
-5661407.727404,23665,2342.91243
-5665980.648603,23665,2396.43739
-5788301.84012,23665,2455.265272
-5984710.655495,23665,2509.525042
-6049314.942483,23665,2563.686854
-5829848.668378,23665,2617.46897
-5886849.005961,23665,2671.489299
-6086077.306369,23665,2724.030232
-5854203.905891,23665,2778.18675
-5740351.216732,23665,2830.533281
-5843975.011417,23665,2885.306084
-5807952.94302,23665,2941.205866
-5725644.597829,23665,2996.883357
-5767331.815956,23665,3051.367733
-5830499.094605,23665,3106.759716
-5868258.320631,23665,3162.513985
-5839550.241948,23665,3222.44276
-5812031.564667,23665,3276.963415
-5801733.373056,23665,3331.950464
-5830733.311621,23665,3386.770817
-5653872.590123,23665,3442.370598
-5714744.774083,23665,3494.520214
-5539271.478167,23665,3548.984802
-5661166.237706,23665,3603.425489
-5562781.775746,23665,3657.984152
-5532927.296684,23665,3710.607353
-5403429.092261,23665,3765.07637
-5424068.434005,23665,3818.859871
-5302140.031491,23665,3879.378278
-5284723.70306,23665,3934.555934
-5256412.397534,23665,3991.957979
-5300840.157098,23665,4047.384712
-5241492.986436,23665,4107.515796
-5269445.229183,23665,4164.71786
-5261634.12526,23665,4219.813691
-5234011.07079,23665,4274.756252
