#{"t_start": 1674979396.7685056, "env_id": null}
r,l,t
-947794.76524,23665,49.662335
-1304463.9088,23665,95.935977
-984795.76294,23665,142.123046
-258955.4455,23665,187.994692
871.45688,23665,234.03862
-36999.05954,23665,280.086897
25869.79408,23665,326.110881
42628.48028,23665,371.954453
-48875.68168,23665,417.93991
-177255.23368,23665,464.622931
-297812.05164,23665,510.655388
-275567.7756,23665,556.287543
-88798.94278,23665,601.978369
-95692.50636,23665,647.867688
-341597.10968,23665,693.69071
-349252.15392,23665,739.610253
-381046.18562,23665,785.397142
-340666.21272,23665,831.224612
-366845.875,23665,876.850032
-356956.3814,23665,922.434026
-366246.88352,23665,968.016616
-303386.8987,23665,1013.703592
-342893.2116,23665,1059.218884
-355859.09986,23665,1104.677838
-345638.56402,23665,1150.184633
-355980.38506,23665,1195.500974
-271661.59702,23665,1240.870158
-252813.40984,23665,1286.322422
-326471.04142,23665,1331.47256
-297310.39516,23665,1377.176394
-342553.33708,23665,1422.915844
-303993.81772,23665,1468.208735
-336327.5739,23665,1514.07245
-303745.0966,23665,1559.357936
-339459.66372,23665,1605.051344
-282746.30636,23665,1650.499404
-285347.8653,23665,1695.757746
-334265.744,23665,1741.206391
-374579.3174,23665,1786.969209
-316152.85494,23665,1832.356211
-216852.05516,23665,1877.614316
-264273.9833,23665,1922.981661
-305114.25454,23665,1968.970316
-275640.42742,23665,2014.773227
-284526.73262,23665,2060.206702
-234771.1845,23665,2105.786076
-267798.9486,23665,2151.266585
-261738.07738,23665,2196.620024
-280404.01448,23665,2241.722523
-284720.28106,23665,2287.269983
-322462.30974,23665,2332.958656
-257436.46788,23665,2378.905356
-320958.65394,23665,2424.332528
-278266.74878,23665,2469.597435
-326616.81624,23665,2515.819015
-328846.38118,23665,2561.699293
-337321.49448,23665,2607.208386
-320859.55062,23665,2652.519052
-350119.1448,23665,2697.822331
-335175.96348,23665,2743.035898
-363920.25122,23665,2788.479017
-354923.56578,23665,2833.769966
-355334.18676,23665,2879.351669
-378399.62476,23665,2924.764746
-364243.78504,23665,2970.558286
-386865.95316,23665,3015.748847
-386741.01322,23665,3061.41226
-385471.82196,23665,3106.691348
-395572.57762,23665,3151.968405
-391653.31012,23665,3197.427223
-362922.30582,23665,3242.786964
-363993.10432,23665,3288.284358
-362517.34782,23665,3333.842548
-360982.0929,23665,3379.267017
-362517.34782,23665,3424.518465
-360386.75836,23665,3470.016408
-358152.27842,23665,3515.463971
-361417.78758,23665,3560.756434
