#{"t_start": 1676101156.236047, "env_id": null}
r,l,t
-5614923.6,23665,113.452327
-5671827.4,23665,221.148532
-4366258.8,23665,324.744985
-3989029.8,23665,430.893126
-2883843.6,23665,536.068737
-3088270.6,23665,642.589892
-3834836.6,23665,748.956754
-4240171.2,23665,853.641498
-4244734.0,23665,959.466993
-4466172.2,23665,1064.08289
-4724234.4,23665,1171.817489
-5028916.4,23665,1277.762714
-5304714.4,23665,1385.211617
-5291466.2,23665,1490.238515
-5242769.2,23665,1599.808399
-5226157.4,23665,1705.016207
-5310954.8,23665,1813.268594
-5363933.2,23665,1917.362908
-5307817.2,23665,2025.931491
-5263009.0,23665,2131.000227
-5183320.4,23665,2237.801007
-5158049.0,23665,2342.524484
-4977326.6,23665,2450.029041
-5052759.2,23665,2555.548549
-4994095.8,23665,2662.541571
-5024709.0,23665,2770.152562
-2560934.2,23665,2878.822503
-2691921.8,23665,2986.375327
-2578579.4,23665,3095.510741
-2574844.8,23665,3204.360388
-2612507.2,23665,3313.232334
-2604199.0,23665,3420.233824
-2533414.8,23665,3528.822374
-2517488.2,23665,3637.343869
-2514283.6,23665,3749.444402
-2475191.4,23665,3857.455999
-2534304.0,23665,3967.893134
-2522062.2,23665,4075.280995
-2524409.2,23665,4184.337308
-2465926.4,23665,4292.455744
-2516972.8,23665,4403.210107
-2509650.8,23665,4510.201973
-2486975.4,23665,4617.249522
-2486874.4,23665,4723.972824
-2446753.6,23665,4833.523171
-2437281.6,23665,4943.066475
-2431122.2,23665,5050.353058
-2419987.6,23665,5158.941479
-2425072.0,23665,5267.480455
-2335799.4,23665,5375.779103
-2341177.8,23665,5485.39175
-2292838.8,23665,5594.116441
-2292380.0,23665,5701.812654
-2347529.6,23665,5809.5767
-2258984.6,23665,5917.969818
-2255554.8,23665,6028.834147
-2346890.4,23665,6136.938462
-2408239.4,23665,6244.491685
-2340896.8,23665,6352.910664
-2321401.4,23665,6461.274379
-2334501.6,23665,6572.399646
-2289541.4,23665,6682.824364
-2201379.2,23665,6791.202472
-2279223.8,23665,6899.753489
-2252741.0,23665,7007.189789
-2231709.8,23665,7118.565393
-2183732.8,23665,7229.317162
-2167756.6,23665,7338.986193
-2213769.0,23665,7449.621983
-2160127.4,23665,7556.450855
-2150239.4,23665,7665.190537
-2153688.0,23665,7773.293206
-2136487.0,23665,7883.134284
-2181547.0,23665,7992.765976
-2179910.2,23665,8100.065717
-2172112.2,23665,8209.770025
-2198850.4,23665,8317.644225
-2144466.8,23665,8426.740186
-2150958.4,23665,8533.722735
-2149178.4,23665,8640.128899
-2133166.4,23665,8749.127578
-2195197.0,23665,8858.233166
-2179240.0,23665,8966.250311
-2187480.0,23665,9072.761722
-2137109.2,23665,9181.193434
-2193612.2,23665,9290.126548
-2167266.0,23665,9398.562789
-2162319.4,23665,9510.782557
-2160103.2,23665,9619.359952
-2168590.4,23665,9726.22281
-2131869.8,23665,9832.751536
-2149044.0,23665,9941.201206
-2123460.8,23665,10048.586998
-2129635.2,23665,10162.750576
-2150387.6,23665,10270.479172
-2067780.8,23665,10378.512369
-2108379.0,23665,10486.473285
-2139413.8,23665,10596.927526
-2159971.8,23665,10706.423317
-2150940.6,23665,10815.283927
-2130177.4,23665,10924.012608
-2174727.2,23665,11032.577722
-2149075.4,23665,11138.366714
-2140563.0,23665,11248.134608
-2155904.0,23665,11357.696045
-2149466.8,23665,11466.667804
-2134079.6,23665,11574.644191
-2169739.8,23665,11686.833983
-2157062.2,23665,11796.263052
-2159960.8,23665,11907.723244
-2186588.2,23665,12016.829128
-2253501.2,23665,12128.105055
-2194751.6,23665,12233.446063
-2162239.0,23665,12343.552898
-2140890.4,23665,12451.498977
-2177063.6,23665,12561.17194
-2208427.6,23665,12668.681011
-2184930.0,23665,12777.830892
-2178578.6,23665,12886.280896
-2179263.0,23665,12998.584006
-2181671.2,23665,13108.241505
-2196718.6,23665,13215.55978
-2186912.8,23665,13323.489875
-2235240.8,23665,13435.125393
