#{"t_start": 1675851676.543958, "env_id": null}
r,l,t
-1819.4662,23616,55.408393
-989.1574,23616,102.778865
-1739.71298,23616,150.013756
-1163.42418,23616,197.039638
-1091.70706,23616,244.357282
-1139.88232,23616,291.855025
-1387.56754,23616,338.902081
-1379.5481,23616,386.105743
-1458.59058,23616,433.144492
-1340.60522,23616,480.423562
-1376.03204,23616,527.451875
-1364.43764,23616,574.61555
-1373.46634,23616,621.504611
-1329.30506,23616,668.690496
-1340.80052,23616,715.511369
-1361.54886,23616,762.529809
-1296.25996,23616,809.240496
-1295.82342,23616,856.167271
-1387.70674,23616,903.101702
-1324.0677,23616,950.236742
-1294.34076,23616,997.070603
-1269.99118,23616,1044.083352
-1392.93038,23616,1091.034807
-1349.37788,23616,1138.174061
-1329.91236,23616,1185.359052
-1334.5148,23616,1232.667041
-1288.06726,23616,1279.326322
-1274.59262,23616,1326.507489
-1278.75078,23616,1373.438869
-1278.6184,23616,1420.877021
-1286.72722,23616,1467.846369
-1286.72668,23616,1514.965824
-1273.64074,23616,1561.867002
-1297.582,23616,1609.013517
-1271.85614,23616,1656.011664
-1269.30416,23616,1702.9656
-1268.45002,23616,1749.703155
-1255.9112,23616,1796.796188
-1240.7014,23616,1843.47566
-1243.64898,23616,1890.475118
-1272.93264,23616,1937.087435
-1282.4734,23616,1983.969143
-1267.76714,23616,2030.679292
-1258.88364,23616,2077.467684
-1252.7246,23616,2123.861132
-1248.63456,23616,2170.617543
-1254.80392,23616,2217.198559
-1254.13832,23616,2264.132326
-1247.05154,23616,2310.675761
-1260.44002,23616,2357.466674
-1260.44002,23616,2404.381029
-1252.15748,23616,2451.203548
-1261.30132,23616,2497.804269
-1260.09714,23616,2546.618674
-1261.30132,23616,2593.249972
-1260.09714,23616,2640.232628
-1297.57592,23616,2687.058951
-1339.84636,23616,2733.960006
-1336.60022,23616,2780.473378
-1339.30484,23616,2827.446352
-1336.49022,23616,2874.205368
-1347.1921,23616,2921.137392
-1350.17074,23616,2968.734142
-1348.96814,23616,3015.632541
-1408.732,23616,3062.681203
-1362.34848,23616,3109.733844
-1352.81234,23616,3156.509432
-1339.74582,23616,3203.383497
-1314.56862,23616,3250.119045
-1313.3268,23616,3297.069663
-1286.712,23616,3343.743446
-1308.92712,23616,3390.881085
-1313.51368,23616,3437.2001
-1357.08112,23616,3483.896566
-1365.91902,23616,3530.429943
-1368.38334,23616,3577.501812
-1365.91902,23616,3623.753337
-1358.31712,23616,3670.623017
-1360.36498,23616,3716.996864
-1353.2867,23616,3763.691927
-1360.81698,23616,3810.067519
-1356.259,23616,3856.612504
-1356.259,23616,3902.958291
-1356.259,23616,3949.663966
-1325.3275,23616,3996.147152
-1340.9429,23616,4042.980979
-1328.44772,23616,4089.374015
-1287.24258,23616,4136.02982
-1331.59292,23616,4182.633505
-1331.59292,23616,4229.741054
-1332.1322,23616,4276.109664
-1333.01426,23616,4322.826505
-1332.84252,23616,4369.29546
-1269.59534,23616,4415.978609
-1269.59754,23616,4462.317903
-1276.0997,23616,4509.391893
-1276.03906,23616,4556.111929
-1277.05252,23616,4603.033102
-1292.73892,23616,4649.907811
-1289.37686,23616,4696.834105
-1284.39334,23616,4743.396652
-1340.82902,23616,4790.451752
-1335.55768,23616,4836.902236
-1340.82902,23616,4883.663409
-1340.85796,23616,4930.086159
-1340.82902,23616,4976.861092
-1340.82902,23616,5023.227603
-1340.82902,23616,5070.284532
-1340.82902,23616,5116.802349
-1340.82902,23616,5163.539957
-1340.82902,23616,5209.939465
-1340.82902,23616,5256.638509
-1340.82902,23616,5302.763997
-1372.68834,23616,5349.603914
-1368.43068,23616,5395.962234
-1373.44314,23616,5442.595554
-1372.46362,23616,5488.809693
-1339.92652,23616,5535.334014
-1344.32362,23616,5581.404959
-1339.92652,23616,5628.16272
-1392.76018,23616,5674.47687
-1333.11042,23616,5720.997921
-1369.17564,23616,5767.08866
-1368.64796,23616,5813.593681
-1370.25372,23616,5860.038204
-1373.262,23616,5906.479022
-1375.919,23616,5952.950738
-1377.28824,23616,5999.980486
-1382.24892,23616,6046.304509
-1387.48956,23616,6093.03494
-1380.47684,23616,6139.573844
-1382.00148,23616,6193.584456
-1401.57458,23616,6250.610826
-1424.05362,23616,6307.619405
-1397.40812,23616,6372.33664
-1384.56936,23616,6437.831834
-1402.13296,23616,6496.180676
-1387.907,23616,6555.221977
-1405.27078,23616,6612.447484
-1399.55928,23616,6671.359266
-1404.55078,23616,6726.51268
-1398.61928,23616,6781.526244
-1401.15078,23616,6837.558107
-1403.92946,23616,6893.40746
-1401.15078,23616,6949.894037
-1402.40946,23616,7009.129978
-1377.75808,23616,7063.931703
-1374.74616,23616,7119.861302
-1375.5168,23616,7174.126352
-1373.31212,23616,7230.348665
-1376.78012,23616,7283.634066
-1374.599,23616,7341.331851
-1334.64564,23616,7395.524912
-1323.5886,23616,7450.569845
-1332.11496,23616,7504.759154
-1319.01236,23616,7559.527274
-1337.76342,23616,7613.877575
-1320.79564,23616,7668.440426
-1326.64264,23616,7723.284971
-1316.76898,23616,7777.121803
-1328.043,23616,7830.570042
-1326.90194,23616,7884.602741
-1328.043,23616,7937.617284
-1326.883,23616,7986.23569
-1328.043,23616,8033.062915
-1326.883,23616,8080.418861
-1326.883,23616,8127.440065
-1326.883,23616,8174.342516
-1326.883,23616,8221.260952
-1326.883,23616,8268.840786
-1271.55444,23616,8315.372554
-1313.2108,23616,8361.899973
