#{"t_start": 1674799283.6776407, "env_id": null}
r,l,t
-1207401.81066,23665,48.550035
-990270.0753,23665,93.873707
-952447.61416,23665,141.334253
-709489.54936,23665,186.842181
-608808.52588,23665,233.375386
-612013.10686,23665,280.986434
-613303.10454,23665,326.391792
-552922.8884,23665,374.184088
-542342.63894,23665,419.580443
-599062.59658,23665,467.270722
-634538.46746,23665,513.3418
-634922.96258,23665,560.255207
-628983.18586,23665,605.81823
-617950.7286,23665,652.391665
-611900.33686,23665,697.842602
-604862.60312,23665,745.420793
-587971.68374,23665,791.54615
-606609.0341,23665,838.388122
-607107.62894,23665,884.191832
-600505.08186,23665,932.01356
-635240.82036,23665,979.326042
-607159.34634,23665,1027.149019
-638324.71662,23665,1073.589214
-638423.45812,23665,1121.351585
-609028.04316,23665,1167.705505
-624761.76032,23665,1215.749411
-600911.14076,23665,1262.222044
-615731.7444,23665,1308.949342
-625231.48162,23665,1356.037636
-624498.90472,23665,1403.397006
-636617.48392,23665,1449.52139
-621720.10462,23665,1497.440891
-622236.40786,23665,1543.795312
-622365.23006,23665,1591.531835
-656037.67548,23665,1638.715304
-618227.86574,23665,1685.313018
-617140.93006,23665,1731.006383
-631195.70634,23665,1777.791821
-605536.28068,23665,1825.991734
-631081.5981,23665,1873.501764
-637697.94722,23665,1919.118488
-628078.63956,23665,1965.984541
-607024.85124,23665,2013.067615
-615867.42142,23665,2060.260106
-605793.46268,23665,2106.841522
-589343.02544,23665,2154.449008
-582518.79228,23665,2201.169317
-603916.4544,23665,2247.812185
-613358.77202,23665,2293.812466
-594927.44552,23665,2341.701251
-613905.682,23665,2389.017332
-618780.27214,23665,2437.006127
-630134.3267,23665,2483.685409
-664001.4472,23665,2531.705526
-622792.82196,23665,2577.416541
-651401.5958,23665,2624.933258
-701488.63528,23665,2672.447032
-638005.67128,23665,2720.000277
-662071.40102,23665,2766.952707
-659405.87018,23665,2813.667291
-680829.4684,23665,2859.974641
-666441.91694,23665,2907.150912
-660382.79758,23665,2954.478648
-684485.2571,23665,3002.834683
-717723.79622,23665,3051.525101
-675826.36484,23665,3098.848814
-682280.4776,23665,3145.845935
-698508.32006,23665,3193.060462
-682190.74512,23665,3239.164258
-702679.52616,23665,3286.921836
-701716.03016,23665,3332.976992
-695363.4814,23665,3380.573864
-698267.0165,23665,3427.345971
-696155.9481,23665,3474.601054
-697001.44298,23665,3521.175385
-689011.69192,23665,3568.054976
-700436.5691,23665,3614.839787
-696947.19916,23665,3661.500465
-719231.03878,23665,3707.400739
-691351.79206,23665,3754.795564
-710266.30648,23665,3800.754273
-706583.6005,23665,3848.177701
-718791.72962,23665,3894.534147
-729866.45932,23665,3941.563162
-725141.17382,23665,3987.760924
-739311.6581,23665,4035.940157
-704150.1564,23665,4082.404585
-703650.15448,23665,4130.39834
-714885.12164,23665,4177.071106
-727044.8489,23665,4224.018774
-708961.8686,23665,4269.798633
-721340.43554,23665,4316.746585
-735719.09416,23665,4362.521893
-704582.27324,23665,4409.746031
-723539.37744,23665,4456.18406
-737483.48354,23665,4503.758788
-711419.31058,23665,4550.175146
-714180.63996,23665,4597.446337
-711229.22164,23665,4643.835537
-719815.2422,23665,4690.995592
-728602.73104,23665,4736.385889
-725224.95286,23665,4784.050349
-724847.00668,23665,4829.76605
-701873.31422,23665,4876.180612
-515545.05976,23665,4921.77727
-527530.50876,23665,4968.732037
-477695.45692,23665,5014.909402
-505757.59142,23665,5062.194425
-488292.51612,23665,5108.221757
-479090.76906,23665,5154.943889
-475004.56896,23665,5201.408764
-477428.27308,23665,5248.359592
-491100.8997,23665,5295.124929
-492457.70742,23665,5341.959566
-537160.69836,23665,5388.646215
-478576.71118,23665,5435.808111
-469926.53238,23665,5481.906099
-490108.96428,23665,5528.552435
-519739.81706,23665,5573.849334
-486511.18338,23665,5621.189381
-485071.78216,23665,5667.35688
-500728.57112,23665,5714.702954
-497408.53314,23665,5760.398183
-496408.70662,23665,5807.080292
-506212.23172,23665,5852.462803
-494063.93946,23665,5899.234539
-504710.47518,23665,5944.403708
-487298.40066,23665,5991.375845
-498931.20288,23665,6036.957527
-489362.0614,23665,6083.776773
-718667.12314,23665,6130.110739
-736863.22898,23665,6177.017406
-743558.99244,23665,6223.372699
-751914.61234,23665,6270.769837
-754833.19376,23665,6317.709745
-762855.47784,23665,6363.846471
-752453.99464,23665,6409.91484
-753746.51368,23665,6457.290208
-769568.55308,23665,6503.902383
-772336.05008,23665,6550.925537
-774995.73348,23665,6596.484852
-777695.98214,23665,6642.882931
-774124.20038,23665,6688.757071
-781407.60548,23665,6735.836439
-782796.1447,23665,6781.480838
-782160.35146,23665,6827.822084
-772974.59282,23665,6873.413897
-781811.65274,23665,6919.835313
-784762.22988,23665,6966.078885
-791327.60952,23665,7012.565012
-799854.95276,23665,7058.642345
-786347.04184,23665,7105.550279
-789540.76852,23665,7151.186487
