#{"t_start": 1675221316.725468, "env_id": null}
r,l,t
-88144.07326,23552,50.524853
-88144.07326,23552,101.110353
0,23552,149.149008
0,23552,198.957217
0,23552,246.12039
0,23552,296.382098
0,23552,349.051871
0,23552,397.182979
0,23552,444.724383
0,23552,492.09478
0,23552,542.992979
0,23552,593.452075
0,23552,644.046061
0,23552,695.378506
0,23552,747.683181
0,23552,796.922498
0,23552,847.676741
0,23552,899.278336
0,23552,948.098444
0,23552,994.391464
0,23552,1040.458733
0,23552,1088.312403
0,23552,1135.617553
0,23552,1181.561908
0,23552,1227.328444
0,23552,1272.974731
0,23552,1318.87342
0,23552,1364.509471
0,23552,1410.31116
0,23552,1455.839077
0,23552,1501.64777
0,23552,1547.626369
0,23552,1592.809927
0,23552,1639.118559
0,23552,1685.448747
0,23552,1731.503488
0,23552,1776.842113
0,23552,1821.839163
0,23552,1867.614819
0,23552,1913.155982
0,23552,1958.658896
0,23552,2003.919623
0,23552,2049.500462
0,23552,2094.739736
0,23552,2141.034213
0,23552,2186.187548
0,23552,2231.555538
0,23552,2276.688996
0,23552,2322.165161
0,23552,2366.986939
0,23552,2411.938862
0,23552,2457.320989
0,23552,2502.445965
0,23552,2547.615172
0,23552,2592.701571
0,23552,2637.735275
0,23552,2682.881949
0,23552,2727.852478
0,23552,2773.17275
0,23552,2818.327844
0,23552,2863.552611
0,23552,2908.600849
0,23552,2953.669153
0,23552,2998.838792
0,23552,3044.278625
0,23552,3088.98394
0,23552,3134.367359
0,23552,3179.436841
0,23552,3224.359498
0,23552,3269.152359
0,23552,3314.369813
0,23552,3359.712877
0,23552,3404.666648
0,23552,3449.516283
0,23552,3494.770288
0,23552,3539.540192
0,23552,3584.797584
0,23552,3629.51802
0,23552,3674.269433
0,23552,3719.492518
0,23552,3764.459303
0,23552,3809.518317
0,23552,3854.285825
0,23552,3899.093496
0,23552,3944.428905
0,23552,3989.518601
0,23552,4034.392312
0,23552,4079.598405
0,23552,4124.816371
0,23552,4169.849637
0,23552,4214.699458
0,23552,4259.617335
0,23552,4304.973748
0,23552,4349.610567
0,23552,4394.611739
0,23552,4440.063644
0,23552,4485.207632
0,23552,4530.097269
0,23552,4575.088834
0,23552,4620.052796
0,23552,4664.726183
0,23552,4709.49671
0,23552,4754.575076
0,23552,4799.662697
0,23552,4845.045301
0,23552,4889.785784
0,23552,4934.491913
0,23552,4979.609067
0,23552,5024.568654
0,23552,5069.188384
0,23552,5114.013377
0,23552,5159.079672
0,23552,5204.437743
0,23552,5248.902377
0,23552,5293.482169
0,23552,5338.702974
0,23552,5383.529985
0,23552,5428.400857
0,23552,5473.053234
0,23552,5517.835536
0,23552,5564.038287
0,23552,5613.312807
0,23552,5658.404273
0,23552,5703.247447
0,23552,5748.429008
0,23552,5793.34096
0,23552,5837.985542
0,23552,5882.681413
0,23552,5927.644374
0,23552,5972.184817
0,23552,6016.986554
0,23552,6061.58388
0,23552,6106.430367
0,23552,6151.159033
0,23552,6195.940479
0,23552,6241.167587
0,23552,6285.946672
0,23552,6330.836377
0,23552,6375.782449
0,23552,6420.500766
0,23552,6465.557563
0,23552,6510.179563
0,23552,6554.809162
0,23552,6599.798776
0,23552,6644.703356
0,23552,6689.327732
0,23552,6733.953244
0,23552,6779.063963
0,23552,6826.261942
0,23552,6872.151141
0,23552,6917.366975
0,23552,6962.775129
0,23552,7008.960368
0,23552,7054.334587
0,23552,7099.082216
0,23552,7143.967556
0,23552,7189.053636
0,23552,7233.986059
0,23552,7278.951196
0,23552,7323.587816
0,23552,7368.151867
0,23552,7413.012149
0,23552,7457.352535
0,23552,7502.316679
0,23552,7547.296023
0,23552,7592.030197
0,23552,7636.883831
0,23552,7681.488304
0,23552,7726.193733
0,23552,7770.561443
0,23552,7814.90733
0,23552,7860.018697
0,23552,7904.682102
0,23552,7949.009719
0,23552,7993.740511
0,23552,8038.373032
0,23552,8083.277508
