#{"t_start": 1675624327.9095035, "env_id": null}
r,l,t
-2433.37038,23616,59.164277
-2433.37038,23616,106.248279
-126.9752,23616,157.681927
-126.9752,23616,204.769517
-126.9752,23616,250.98977
0,23616,299.733394
0,23616,347.13878
0,23616,393.941236
0,23616,442.939162
0,23616,488.904556
0,23616,534.556797
0,23616,579.615656
0,23616,628.079774
0,23616,676.832734
0,23616,723.367006
0,23616,771.002234
0,23616,819.859999
0,23616,869.092001
0,23616,920.810208
0,23616,967.745475
0,23616,1019.206447
0,23616,1067.714679
0,23616,1115.506316
0,23616,1162.797987
0,23616,1219.306103
0,23616,1271.466967
0,23616,1320.048329
0,23616,1368.914505
0,23616,1417.556214
0,23616,1464.164119
0,23616,1514.814604
0,23616,1561.886198
0,23616,1608.321559
0,23616,1655.309276
0,23616,1702.167295
0,23616,1749.724125
0,23616,1796.763672
0,23616,1846.159033
0,23616,1892.768696
0,23616,1940.946454
0,23616,1987.507932
0,23616,2036.064216
0,23616,2085.643953
0,23616,2138.78274
0,23616,2185.1028
0,23616,2230.480531
0,23616,2278.198385
0,23616,2326.232435
0,23616,2372.121071
0,23616,2418.695552
0,23616,2464.850839
0,23616,2510.926482
0,23616,2556.692522
0,23616,2602.370379
0,23616,2649.511075
0,23616,2696.769469
0,23616,2744.293777
0,23616,2791.810561
0,23616,2838.604046
0,23616,2885.161095
0,23616,2931.080913
0,23616,2977.683783
0,23616,3023.315312
0,23616,3070.32648
0,23616,3118.889783
0,23616,3166.380213
0,23616,3214.498786
0,23616,3260.341128
0,23616,3307.799918
0,23616,3355.341481
0,23616,3402.976429
0,23616,3452.068229
0,23616,3501.015607
0,23616,3547.366512
0,23616,3593.500417
0,23616,3639.010602
0,23616,3684.602452
0,23616,3732.128949
0,23616,3777.328324
0,23616,3822.761346
0,23616,3867.716573
0,23616,3912.720752
0,23616,3957.737754
0,23616,4003.005773
0,23616,4048.306903
0,23616,4091.852979
0,23616,4135.344092
0,23616,4178.926122
0,23616,4221.976675
0,23616,4265.573902
0,23616,4308.887453
0,23616,4352.164433
0,23616,4395.466828
0,23616,4440.236247
0,23616,4485.791764
0,23616,4530.928272
0,23616,4576.351874
0,23616,4621.838248
0,23616,4667.126956
0,23616,4712.734399
0,23616,4758.436042
0,23616,4803.935455
0,23616,4849.140252
0,23616,4894.930192
0,23616,4940.543612
