#{"t_start": 1676083061.5559514, "env_id": null}
r,l,t
-325.579435,23665,51.405968
-325.579435,23665,93.206037
-27795.223527,23665,138.589916
-27795.223527,23665,181.40208
-27795.223527,23665,226.789734
-27558.384512,23665,269.386989
-27558.384512,23665,314.943671
-24206.464204,23665,360.925917
-24206.464204,23665,403.697435
-24206.464204,23665,449.122598
-21687.737433,23665,492.881051
-21687.737433,23665,538.005525
-22626.152013,23665,581.424731
-22626.152013,23665,626.344069
-22626.152013,23665,669.668377
-19260.125154,23665,714.802114
-19260.125154,23665,757.218142
-17490.944075,23665,800.322411
-17490.944075,23665,845.17418
-17490.944075,23665,887.544888
-19739.784088,23665,930.958169
-19739.784088,23665,975.981222
-19739.784088,23665,1019.219244
-23922.621885,23665,1061.81426
-23922.621885,23665,1106.811446
-25658.75003,23665,1152.027898
-25658.75003,23665,1195.111313
-25658.75003,23665,1240.05911
-18267.684247,23665,1284.647363
-18267.684247,23665,1327.682904
-21373.299203,23665,1370.456383
-21373.299203,23665,1415.190681
-21373.299203,23665,1458.006164
-26079.629854,23665,1501.618374
-26079.629854,23665,1546.468023
-17663.26686,23665,1589.690009
-17663.26686,23665,1634.349311
-17663.26686,23665,1677.220979
-17087.889776,23665,1722.008562
-17087.889776,23665,1764.708764
-22130.144147,23665,1809.654705
-22130.144147,23665,1852.122797
-22130.144147,23665,1896.586879
-19495.022543,23665,1941.942208
-19495.022543,23665,1985.283168
-19495.022543,23665,2029.910104
-18747.992342,23665,2074.496024
-18747.992342,23665,2117.002315
-15147.837861,23665,2161.595944
-15147.837861,23665,2204.331661
-15147.837861,23665,2248.64011
-18828.148948,23665,2292.591992
-18828.148948,23665,2337.399837
-13754.42114,23665,2380.728321
-13754.42114,23665,2425.52304
-13754.42114,23665,2468.847321
-16913.779023,23665,2512.50133
-16913.779023,23665,2557.40353
-15628.601433,23665,2600.814944
-15628.601433,23665,2645.5151
-15628.601433,23665,2688.44667
-14395.48827,23665,2731.430923
-14395.48827,23665,2775.8416
-14395.48827,23665,2818.463233
-14298.428143,23665,2863.007415
-14298.428143,23665,2906.329257
-12963.015943,23665,2951.237593
-12963.015943,23665,2994.439286
-12963.015943,23665,3039.14172
-10484.656569,23665,3082.045136
-10484.656569,23665,3126.366199
-14579.630508,23665,3169.318646
-14579.630508,23665,3213.878327
-14579.630508,23665,3256.849761
-10942.623561,23665,3301.515867
-10942.623561,23665,3344.263717
-20937.395016,23665,3389.040228
-20937.395016,23665,3431.815412
-20937.395016,23665,3475.972063
-21362.830105,23665,3520.756015
-21362.830105,23665,3564.172624
-14234.988662,23665,3609.10064
-14234.988662,23665,3652.196292
-14234.988662,23665,3697.02892
-15796.432763,23665,3739.927378
-15796.432763,23665,3784.501767
-15796.432763,23665,3827.200966
-17812.714405,23665,3872.290047
-17812.714405,23665,3915.357085
-19132.441161,23665,3960.271984
-19132.441161,23665,4003.5365
-19132.441161,23665,4048.263762
-19805.282528,23665,4091.772295
-19805.282528,23665,4136.753167
-14781.420767,23665,4180.055957
-14781.420767,23665,4224.68099
-14781.420767,23665,4267.816775
-15871.887775,23665,4312.619893
-15871.887775,23665,4355.715713
-25816.848744,23665,4400.780701
-25816.848744,23665,4443.98033
-25816.848744,23665,4489.02397
-14970.112042,23665,4532.304287
-14970.112042,23665,4576.685324
-13771.167396,23665,4619.633432
-13771.167396,23665,4664.09158
-13771.167396,23665,4707.193072
-14579.070568,23665,4751.691981
-14579.070568,23665,4794.333702
-14579.070568,23665,4838.887352
-11619.919181,23665,4883.587519
-11619.919181,23665,4926.137989
-15396.158438,23665,4969.084392
-15396.158438,23665,5013.543951
