#{"t_start": 1675447896.1062453, "env_id": null}
r,l,t
-3042.92726,23608,59.39436
-3042.92726,23608,107.426163
-2046.1656,23608,156.753607
-2046.1656,23608,205.787559
-2046.1656,23608,255.127586
-1.5764,23608,305.818537
-1.5764,23608,352.245461
-1906.9704,23608,398.665004
-1906.9704,23608,445.017278
-1906.9704,23608,489.526799
-2465.183,23608,533.79631
-2465.183,23608,581.521336
-3204.47236,23608,626.533705
-3204.47236,23608,671.936785
-3204.47236,23608,717.41441
-1631.25166,23608,764.411669
-1631.25166,23608,810.442898
-966.16136,23608,862.711575
-966.16136,23608,911.124063
-966.16136,23608,957.352855
-2386.41636,23608,1003.13756
-2386.41636,23608,1051.400426
-2386.41636,23608,1100.057863
-2090.90658,23608,1147.286318
-2090.90658,23608,1195.723042
-16.68992,23608,1243.792145
-16.68992,23608,1292.343019
-16.68992,23608,1340.553949
-2678.97588,23608,1385.982198
-2678.97588,23608,1433.992423
-1999.4301,23608,1481.705409
-1999.4301,23608,1527.972489
-1999.4301,23608,1572.683397
-1731.43966,23608,1618.100585
-1731.43966,23608,1664.528037
-1498.79644,23608,1711.599066
-1498.79644,23608,1763.295396
-1498.79644,23608,1809.63195
-3548.97396,23608,1856.157806
-3548.97396,23608,1904.191381
-3583.2646,23608,1952.856214
-3583.2646,23608,1997.743027
-3583.2646,23608,2046.718305
-3571.24428,23608,2094.89616
-3571.24428,23608,2140.228518
-3571.24428,23608,2186.550828
-3363.37322,23608,2235.341484
-3363.37322,23608,2287.234624
-3678.10182,23608,2334.40275
-3678.10182,23608,2382.610753
-3678.10182,23608,2428.454853
-3529.99358,23608,2473.752774
-3529.99358,23608,2523.193959
-3694.6781,23608,2571.532516
-3694.6781,23608,2618.579601
-3694.6781,23608,2667.376952
-3625.07384,23608,2715.227254
-3625.07384,23608,2763.028441
-1450.72346,23608,2810.613144
-1450.72346,23608,2856.803255
-1450.72346,23608,2904.681264
-1256.25236,23608,2952.920237
-1256.25236,23608,3000.115351
-1256.25236,23608,3046.527643
-1578.18964,23608,3093.329874
-1578.18964,23608,3140.9089
-1260.93056,23608,3189.757554
-1260.93056,23608,3238.508602
-1260.93056,23608,3285.68135
-1350.8343,23608,3333.75999
-1350.8343,23608,3381.195864
-1177.6979,23608,3428.094462
-1177.6979,23608,3474.352951
-1177.6979,23608,3521.361362
-1373.65748,23608,3568.540947
-1373.65748,23608,3614.694479
-1600.24982,23608,3660.448653
-1600.24982,23608,3706.872699
-1600.24982,23608,3752.324446
-1190.97632,23608,3797.290713
-1190.97632,23608,3842.025539
-1121.11792,23608,3887.34867
-1121.11792,23608,3931.855407
-1121.11792,23608,3976.842596
-1827.47534,23608,4021.819012
-1827.47534,23608,4065.469331
-1827.47534,23608,4109.023024
-1066.9056,23608,4153.618235
-1066.9056,23608,4197.067679
-341.29258,23608,4240.287415
-341.29258,23608,4283.264199
-341.29258,23608,4326.287301
-411.21818,23608,4371.684529
-411.21818,23608,4416.388235
-501.17528,23608,4460.887538
-501.17528,23608,4506.604638
-501.17528,23608,4552.608425
-1189.3952,23608,4600.182072
-1189.3952,23608,4645.711427
-1376.42886,23608,4692.88181
-1376.42886,23608,4738.30049
-1376.42886,23608,4785.732962
-866.07344,23608,4831.915279
-866.07344,23608,4878.982698
-578.10298,23608,4935.755476
-578.10298,23608,4981.99619
-578.10298,23608,5027.666509
-242.96446,23608,5077.423187
-242.96446,23608,5123.800582
-242.96446,23608,5172.554691
-474.68144,23608,5220.069384
-474.68144,23608,5268.10172
-1364.7941,23608,5317.967501
-1364.7941,23608,5366.421341
-1364.7941,23608,5411.242885
-1291.36484,23608,5456.622461
-1291.36484,23608,5502.599801
-1458.45198,23608,5549.519703
-1458.45198,23608,5596.535014
-1458.45198,23608,5642.769531
-1342.09098,23608,5688.118762
-1342.09098,23608,5733.547692
-233.39438,23608,5778.508215
-233.39438,23608,5824.874123
-233.39438,23608,5868.704401
-281.59736,23608,5913.145005
-281.59736,23608,5958.77256
-281.59736,23608,6003.727181
-37.50262,23608,6048.15822
-37.50262,23608,6093.581995
-291.01986,23608,6139.586147
-291.01986,23608,6185.304722
-291.01986,23608,6230.242045
-57.4563,23608,6275.094338
-57.4563,23608,6320.46007
-67.71392,23608,6364.982556
-67.71392,23608,6409.015916
-67.71392,23608,6453.396713
-51.24322,23608,6497.780928
-51.24322,23608,6541.779472
-87.9503,23608,6586.378331
-87.9503,23608,6632.662417
-87.9503,23608,6679.736719
-38.86422,23608,6730.349994
-38.86422,23608,6777.552391
-438.22106,23608,6826.533267
-438.22106,23608,6882.70283
-438.22106,23608,6929.634065
-1076.74696,23608,6976.78013
-1076.74696,23608,7026.7862
-1076.74696,23608,7075.576684
-1391.7569,23608,7125.986904
-1391.7569,23608,7173.759102
-125.36886,23608,7221.344238
-125.36886,23608,7269.467981
-125.36886,23608,7317.558295
-94.0487,23608,7366.113937
-94.0487,23608,7410.9069
-220.25238,23608,7459.29722
-220.25238,23608,7507.15956
-220.25238,23608,7551.392913
-97.39782,23608,7596.829835
-97.39782,23608,7642.376135
-123.63384,23608,7687.000817
