#{"t_start": 1676501400.5121925, "env_id": null}
r,l,t
-131348.606144,23665,45.355597
-131348.606144,23665,92.091523
-65342.805959,23665,136.257126
-65342.805959,23665,184.055649
-65342.805959,23665,232.212744
-41490.566922,23665,281.770934
-41490.566922,23665,328.411346
-160088.205103,23665,377.400564
-160088.205103,23665,425.614356
-160088.205103,23665,472.309566
-78978.20469,23665,517.930706
-78978.20469,23665,565.166816
-41152.346608,23665,612.900101
-41152.346608,23665,660.352386
-41152.346608,23665,707.467331
-71028.638957,23665,753.82947
-71028.638957,23665,799.493565
-73715.471665,23665,845.812608
-73715.471665,23665,890.763227
-73715.471665,23665,938.889042
-115634.413512,23665,985.262677
-115634.413512,23665,1032.578987
-115634.413512,23665,1077.334424
-148119.480144,23665,1124.140883
-148119.480144,23665,1169.885164
-109410.359459,23665,1218.525484
-109410.359459,23665,1265.213182
-109410.359459,23665,1311.397322
-108465.263301,23665,1358.035493
-108465.263301,23665,1405.475746
-110654.136041,23665,1452.365567
-110654.136041,23665,1498.907544
-110654.136041,23665,1548.450758
-124429.560887,23665,1594.727825
-124429.560887,23665,1642.066963
-102453.828026,23665,1688.269421
-102453.828026,23665,1736.768317
-102453.828026,23665,1783.358771
-56623.361963,23665,1828.774849
-56623.361963,23665,1873.4893
-63838.815429,23665,1918.620769
-63838.815429,23665,1962.625064
-63838.815429,23665,2007.595974
-63521.427607,23665,2052.791852
-63521.427607,23665,2099.624741
-63521.427607,23665,2146.482375
-71289.107244,23665,2194.060364
-71289.107244,23665,2237.905724
-53661.332537,23665,2282.674669
-53661.332537,23665,2326.497362
-53661.332537,23665,2371.106865
-48888.24023,23665,2415.127399
-48888.24023,23665,2459.936929
-26113.487073,23665,2503.474813
-26113.487073,23665,2548.144606
-26113.487073,23665,2591.430127
-43191.932095,23665,2636.646614
-43191.932095,23665,2680.516831
-40480.055811,23665,2725.605915
-40480.055811,23665,2769.541399
-40480.055811,23665,2814.207857
-24012.075877,23665,2858.13083
-24012.075877,23665,2902.965173
-24012.075877,23665,2946.751369
-22992.046532,23665,2991.491509
-22992.046532,23665,3035.358594
-51102.769802,23665,3080.335049
-51102.769802,23665,3124.063415
-51102.769802,23665,3168.352765
-28275.773708,23665,3212.027736
-28275.773708,23665,3256.539371
-57985.67267,23665,3301.435697
-57985.67267,23665,3344.489728
-57985.67267,23665,3389.095812
-50935.984093,23665,3432.626554
-50935.984093,23665,3476.627275
-75232.213482,23665,3520.67838
-75232.213482,23665,3565.305104
-75232.213482,23665,3609.08481
-12560.330452,23665,3652.586918
-12560.330452,23665,3697.089912
-20984.289505,23665,3742.014245
-20984.289505,23665,3785.148726
-20984.289505,23665,3829.313674
-26132.292379,23665,3872.951432
-26132.292379,23665,3917.05372
-26132.292379,23665,3960.041541
-8567.065973,23665,4004.022503
-8567.065973,23665,4046.927365
-7662.77335,23665,4090.51427
-7662.77335,23665,4135.121127
-7662.77335,23665,4178.134844
-25805.068729,23665,4222.785438
-25805.068729,23665,4266.211497
-27044.831817,23665,4310.570932
-27044.831817,23665,4353.669776
-27044.831817,23665,4398.053211
-17193.984289,23665,4441.567863
-17193.984289,23665,4485.761763
-63347.020845,23665,4530.492874
-63347.020845,23665,4573.565359
-63347.020845,23665,4617.720244
-12707.784683,23665,4660.68173
-12707.784683,23665,4704.538729
-26311.584871,23665,4747.616777
-26311.584871,23665,4792.050314
-26311.584871,23665,4834.993938
-26406.011301,23665,4878.754077
-26406.011301,23665,4923.15731
-26406.011301,23665,4966.534994
-36272.929842,23665,5011.592842
-36272.929842,23665,5055.165058
-15637.75497,23665,5099.52806
-15637.75497,23665,5142.510241
-15637.75497,23665,5186.993066
-11261.54415,23665,5230.944422
-11261.54415,23665,5276.051829
-6839.320924,23665,5319.682798
-6839.320924,23665,5363.988769
-6839.320924,23665,5407.573478
-12296.698849,23665,5450.831232
-12296.698849,23665,5495.167071
-32928.396588,23665,5539.995606
-32928.396588,23665,5583.021565
-32928.396588,23665,5631.807906
-3679.621997,23665,5678.418441
-3679.621997,23665,5726.071441
-3679.621997,23665,5772.061225
-13739.60029,23665,5820.022992
-13739.60029,23665,5866.094908
-3520.500593,23665,5912.247512
-3520.500593,23665,5959.345879
-3520.500593,23665,6005.013116
-2167.232335,23665,6051.642531
-2167.232335,23665,6098.809136
-4498.758128,23665,6146.469628
-4498.758128,23665,6192.129259
-4498.758128,23665,6238.805321
-5231.245089,23665,6284.303521
-5231.245089,23665,6332.614315
-9058.146095,23665,6380.472344
-9058.146095,23665,6426.960159
-9058.146095,23665,6474.195868
