#{"t_start": 1675853657.6354654, "env_id": null}
r,l,t
-1251.08794,23614,95.507581
-1251.08794,23614,180.762115
-286.73692,23614,269.490372
-286.73692,23614,357.805632
-286.73692,23614,451.064629
-231.4352,23614,539.180207
-231.4352,23614,624.15074
-151.1597,23614,710.821064
-151.1597,23614,794.922793
-151.1597,23614,880.584414
-251.00958,23614,969.43487
-251.00958,23614,1058.596766
-170.38196,23614,1150.842165
-170.38196,23614,1237.51797
-170.38196,23614,1326.739722
-260.90346,23614,1412.056212
-260.90346,23614,1498.35955
-170.81586,23614,1586.971371
-170.81586,23614,1673.634501
-170.81586,23614,1759.051701
-212.02112,23614,1847.799228
-212.02112,23614,1937.205532
-212.02112,23614,2022.105791
-161.64856,23614,2110.769265
-161.64856,23614,2198.123872
-262.17878,23614,2282.85664
-262.17878,23614,2369.565088
-262.17878,23614,2455.648607
-207.32814,23614,2547.059379
-207.32814,23614,2634.782759
-206.35084,23614,2723.141772
-206.35084,23614,2812.371471
-206.35084,23614,2900.793004
-242.06888,23614,2991.296663
-242.06888,23614,3078.712466
-414.6683,23614,3170.904872
-414.6683,23614,3264.05542
-414.6683,23614,3353.504359
-365.4805,23614,3443.963365
-365.4805,23614,3529.673222
-237.72344,23614,3620.372997
-237.72344,23614,3710.215784
-237.72344,23614,3800.920113
-200.71134,23614,3893.102347
-200.71134,23614,3980.074248
-200.71134,23614,4070.683071
-305.97908,23614,4161.644597
-305.97908,23614,4250.239335
-338.58988,23614,4340.678048
-338.58988,23614,4428.778912
-338.58988,23614,4522.094498
-229.99778,23614,4615.339001
-229.99778,23614,4706.675314
-278.64312,23614,4796.503913
-278.64312,23614,4885.809368
-278.64312,23614,4974.306852
-304.4799,23614,5066.155294
-304.4799,23614,5155.668821
-265.4384,23614,5244.614922
-265.4384,23614,5334.479315
-265.4384,23614,5425.32429
-313.47494,23614,5514.416809
-313.47494,23614,5605.53229
-313.47494,23614,5697.612968
-244.159,23614,5788.289063
-244.159,23614,5877.958905
-379.00914,23614,5964.555044
-379.00914,23614,6051.064558
-379.00914,23614,6139.248113
-454.85858,23614,6227.591206
-454.85858,23614,6314.988943
-270.85762,23614,6405.023984
-270.85762,23614,6499.413667
-270.85762,23614,6589.454876
-360.2881,23614,6676.337111
-360.2881,23614,6775.308894
-227.964,23614,6863.140676
-227.964,23614,6951.326781
-227.964,23614,7044.221844
-311.95696,23614,7132.656899
-311.95696,23614,7226.251628
-233.0186,23614,7319.724953
-233.0186,23614,7406.914703
-233.0186,23614,7491.796771
-423.60538,23614,7583.692442
-423.60538,23614,7671.018413
-423.60538,23614,7757.096361
-238.51534,23614,7845.037393
-238.51534,23614,7932.878164
-364.26018,23614,8025.043978
-364.26018,23614,8114.098237
-364.26018,23614,8205.016142
-252.90136,23614,8294.349654
-252.90136,23614,8385.015939
-294.65612,23614,8474.849901
-294.65612,23614,8564.470213
-294.65612,23614,8654.030844
-363.68848,23614,8742.346226
-363.68848,23614,8827.154846
-290.39882,23614,8913.528863
-290.39882,23614,9002.12113
-290.39882,23614,9095.634778
-293.43466,23614,9185.266654
-293.43466,23614,9275.100347
-386.0497,23614,9363.433179
-386.0497,23614,9451.528813
-386.0497,23614,9543.195885
-385.55732,23614,9633.611622
-385.55732,23614,9723.895616
-385.55732,23614,9816.451179
-285.88252,23614,9905.683964
-285.88252,23614,9993.643028
-320.33514,23614,10082.563589
-320.33514,23614,10166.267483
-320.33514,23614,10249.718892
-253.0526,23614,10341.530343
-253.0526,23614,10431.77337
-327.12482,23614,10528.896132
-327.12482,23614,10618.122324
-327.12482,23614,10704.944898
-320.14384,23614,10796.387418
-320.14384,23614,10888.652284
-341.73898,23614,10975.847528
-341.73898,23614,11062.877999
-341.73898,23614,11150.097209
-277.74324,23614,11239.159537
-277.74324,23614,11328.920066
-277.74324,23614,11419.002026
-224.54148,23614,11507.633535
-224.54148,23614,11597.118451
-344.27088,23614,11687.706194
-344.27088,23614,11777.738621
-344.27088,23614,11863.989177
-418.2181,23614,11956.606726
-418.2181,23614,12041.684887
-353.78614,23614,12135.00395
-353.78614,23614,12231.091339
-353.78614,23614,12317.646713
-314.14824,23614,12404.44801
-314.14824,23614,12490.538859
-210.39346,23614,12583.119614
-210.39346,23614,12674.587689
-210.39346,23614,12763.362134
-347.20182,23614,12849.818596
-347.20182,23614,12940.429115
-301.85654,23614,13034.549416
-301.85654,23614,13124.079192
-301.85654,23614,13214.179767
-286.10152,23614,13301.051191
-286.10152,23614,13392.547317
-286.10152,23614,13483.14566
-244.31896,23614,13572.016922
-244.31896,23614,13663.07173
-289.80416,23614,13754.360939
-289.80416,23614,13842.546397
-289.80416,23614,13929.319291
-274.82478,23614,14018.971122
-274.82478,23614,14107.602685
-279.73582,23614,14199.088275
-279.73582,23614,14290.261146
-279.73582,23614,14377.998698
-244.4015,23614,14467.4717
-244.4015,23614,14554.862327
-304.74666,23614,14645.392473
-304.74666,23614,14734.211002
-304.74666,23614,14822.603761
-276.23536,23614,14910.037795
-276.23536,23614,14996.931543
-237.20012,23614,15085.362623
-237.20012,23614,15175.354869
-237.20012,23614,15264.637535
-261.27934,23614,15353.611126
-261.27934,23614,15441.95531
-261.27934,23614,15532.129379
-287.1,23614,15620.578445
-287.1,23614,15710.526656
-332.3485,23614,15800.14431
-332.3485,23614,15898.856516
-332.3485,23614,15992.448117
-278.76432,23614,16087.789683
-278.76432,23614,16177.953
-249.48506,23614,16269.696615
-249.48506,23614,16360.139274
-249.48506,23614,16453.684759
-262.96448,23614,16544.055663
-262.96448,23614,16636.155304
-296.09366,23614,16724.261977
-296.09366,23614,16817.166198
-296.09366,23614,16905.359866
-314.31608,23614,16997.545642
-314.31608,23614,17087.327433
-314.31608,23614,17177.698279
-252.16998,23614,17267.20435
-252.16998,23614,17356.931264
-338.87736,23614,17447.985149
-338.87736,23614,17538.261655
-338.87736,23614,17626.823664
-246.46184,23614,17718.093217
-246.46184,23614,17806.875897
-288.29002,23614,17897.871216
-288.29002,23614,17986.865065
-288.29002,23614,18077.733671
-260.67938,23614,18165.366252
-260.67938,23614,18253.2198
-262.34302,23614,18342.136061
-262.34302,23614,18432.206883
-262.34302,23614,18521.884521
-270.8036,23614,18615.36855
-270.8036,23614,18712.108254
-259.2133,23614,18799.43545
-259.2133,23614,18888.345021
-259.2133,23614,18980.369745
-264.7491,23614,19073.919297
-264.7491,23614,19161.329416
-264.7491,23614,19250.789915
-284.46624,23614,19346.92091
-284.46624,23614,19437.843555
-272.16666,23614,19529.555182
-272.16666,23614,19621.697119
-272.16666,23614,19712.651564
-252.819,23614,19802.969342
-252.819,23614,19888.750327
-237.86038,23614,19980.65763
-237.86038,23614,20068.297221
-237.86038,23614,20158.104028
-267.74354,23614,20244.98834
-267.74354,23614,20337.715521
-255.22414,23614,20426.878889
-255.22414,23614,20518.037482
-255.22414,23614,20610.019397
-246.95428,23614,20699.615263
-246.95428,23614,20787.183934
-249.35648,23614,20875.294125
-249.35648,23614,20964.539784
-249.35648,23614,21054.972654
-246.24452,23614,21145.257402
-246.24452,23614,21234.446697
-246.24452,23614,21321.883143
-271.92254,23614,21412.8139
-271.92254,23614,21501.214901
-237.62836,23614,21592.780627
-237.62836,23614,21680.79632
-237.62836,23614,21772.936485
-231.68676,23614,21863.853582
-231.68676,23614,21954.774106
-253.20824,23614,22044.790771
-253.20824,23614,22143.573816
-253.20824,23614,22236.77851
-246.89072,23614,22328.076107
-246.89072,23614,22419.011558
-238.35192,23614,22509.687082
-238.35192,23614,22601.780586
-238.35192,23614,22693.996158
-236.50294,23614,22784.040993
-236.50294,23614,22887.239962
-236.50294,23614,22994.073811
-233.5652,23614,23101.15933
-233.5652,23614,23210.308952
-238.26946,23614,23321.588107
-238.26946,23614,23416.507661
-238.26946,23614,23506.094218
-237.93342,23614,23596.478034
-237.93342,23614,23685.803499
-249.79092,23614,23777.365751
-249.79092,23614,23866.658446
-249.79092,23614,23954.866627
-234.23434,23614,24044.566863
-234.23434,23614,24136.742409
-239.92764,23614,24226.136145
-239.92764,23614,24318.171057
-239.92764,23614,24408.537009
-237.73652,23614,24499.06371
-237.73652,23614,24594.527803
-249.5698,23614,24684.414335
-249.5698,23614,24774.079125
-249.5698,23614,24865.481311
-207.80076,23614,24960.204391
-207.80076,23614,25058.52474
-207.80076,23614,25152.280532
-251.937,23614,25243.610974
-251.937,23614,25336.316594
-233.35434,23614,25426.704531
-233.35434,23614,25515.603965
-233.35434,23614,25602.752144
-230.52932,23614,25691.395799
-230.52932,23614,25780.871529
-238.74672,23614,25872.238017
-238.74672,23614,25967.330672
-238.74672,23614,26058.097203
-232.78006,23614,26146.764793
-232.78006,23614,26238.446192
-259.83846,23614,26332.682228
-259.83846,23614,26420.717227
-259.83846,23614,26513.954184
-249.78916,23614,26606.496367
-249.78916,23614,26699.637154
-246.3158,23614,26792.675636
-246.3158,23614,26881.131088
-246.3158,23614,26969.209512
-243.61822,23614,27058.242006
-243.61822,23614,27150.872346
-243.61822,23614,27248.208047
-254.7129,23614,27341.354556
-254.7129,23614,27432.746334
-237.87506,23614,27520.024472
-237.87506,23614,27614.914744
-237.87506,23614,27705.180608
-238.56604,23614,27800.024839
-238.56604,23614,27892.07144
-238.10094,23614,27983.469662
-238.10094,23614,28076.38216
-238.10094,23614,28169.895423
-229.64804,23614,28262.253848
-229.64804,23614,28356.457375
-221.49072,23614,28450.455512
-221.49072,23614,28541.873749
-221.49072,23614,28633.57251
-217.02638,23614,28723.325693
-217.02638,23614,28816.883541
-217.02638,23614,28906.027041
-216.66294,23614,28993.424003
-216.66294,23614,29084.37781
-243.09636,23614,29175.149509
-243.09636,23614,29262.673243
-243.09636,23614,29353.544118
-237.92254,23614,29442.209604
-237.92254,23614,29535.419933
-230.30482,23614,29625.931534
-230.30482,23614,29718.72393
-230.30482,23614,29808.666221
-217.68556,23614,29897.612889
-217.68556,23614,29985.574713
-237.85028,23614,30075.063805
-237.85028,23614,30165.088619
-237.85028,23614,30256.066268
-217.10024,23614,30344.770006
-217.10024,23614,30435.816307
-217.15622,23614,30523.357918
-217.15622,23614,30616.795995
-217.15622,23614,30708.996991
-221.03832,23614,30801.116557
-221.03832,23614,30892.346648
-221.03832,23614,30984.022803
-219.73052,23614,31074.044989
-219.73052,23614,31164.157472
-225.7042,23614,31252.849663
-225.7042,23614,31344.610012
-225.7042,23614,31436.624648
-237.80814,23614,31530.476768
-237.80814,23614,31624.287136
-219.73052,23614,31714.314126
-219.73052,23614,31803.039879
-219.73052,23614,31892.225043
-220.56844,23614,31983.41799
-220.56844,23614,32073.344253
-230.30482,23614,32166.225931
-230.30482,23614,32257.359353
-230.30482,23614,32349.788209
-218.4574,23614,32441.093235
-218.4574,23614,32537.55702
-237.68158,23614,32633.688643
-237.68158,23614,32721.153645
-237.68158,23614,32810.647624
-217.8151,23614,32900.1926
-217.8151,23614,32992.892053
-217.8151,23614,33085.952641
-218.3933,23614,33177.573259
-218.3933,23614,33270.839156
-217.44408,23614,33361.722494
-217.44408,23614,33455.028443
-217.44408,23614,33547.241269
-218.61966,23614,33638.690049
-218.61966,23614,33728.947378
-219.77166,23614,33819.941936
-219.77166,23614,33911.273679
-219.77166,23614,34000.231916
-206.93352,23614,34093.829759
-206.93352,23614,34183.910027
-219.48904,23614,34275.251956
-219.48904,23614,34362.659393
-219.48904,23614,34455.234445
-219.80036,23614,34544.05547
-219.80036,23614,34631.734945
-219.80036,23614,34723.579615
-219.24572,23614,34817.169206
-219.24572,23614,34910.277194
-229.18804,23614,35009.367315
-229.18804,23614,35100.475991
-229.18804,23614,35190.723943
-228.8715,23614,35287.503803
-228.8715,23614,35378.756095
-237.61614,23614,35470.884228
-237.61614,23614,35561.279825
-237.61614,23614,35653.285129
-243.13342,23614,35746.769218
-243.13342,23614,35841.711749
-239.42742,23614,35932.731974
-239.42742,23614,36021.958912
-239.42742,23614,36113.607445
-252.54992,23614,36213.10034
-252.54992,23614,36300.857059
-257.83548,23614,36390.52907
-257.83548,23614,36482.394157
-257.83548,23614,36576.307722
-240.37528,23614,36664.872913
-240.37528,23614,36755.543291
-240.37528,23614,36849.746018
-249.35376,23614,36939.42547
-249.35376,23614,37029.617725
-259.48676,23614,37119.353307
-259.48676,23614,37211.903985
-259.48676,23614,37304.349808
-257.83548,23614,37395.752618
-257.83548,23614,37483.466122
-250.4094,23614,37574.839696
-250.4094,23614,37668.28626
-250.4094,23614,37761.698928
-250.4094,23614,37853.391634
-250.4094,23614,37946.945329
-250.4094,23614,38037.815062
-250.4094,23614,38129.72787
-250.4094,23614,38220.003578
-250.67616,23614,38311.749942
-250.67616,23614,38405.340868
-247.68078,23614,38494.639051
-247.68078,23614,38588.204268
-247.68078,23614,38679.675852
-239.42742,23614,38773.702359
-239.42742,23614,38868.17914
-239.42742,23614,38960.451871
-248.88452,23614,39052.407946
-248.88452,23614,39146.029314
-259.48676,23614,39239.992298
-259.48676,23614,39330.666398
-259.48676,23614,39420.733175
-253.01148,23614,39512.858994
-253.01148,23614,39602.25246
-250.67616,23614,39693.173512
-250.67616,23614,39783.630005
-250.67616,23614,39874.291732
-257.83548,23614,39963.532393
-257.83548,23614,40056.877879
-250.67616,23614,40147.596011
-250.67616,23614,40236.391659
-250.67616,23614,40326.032104
-259.69046,23614,40417.394945
-259.69046,23614,40506.163099
-259.69046,23614,40599.100765
-246.37634,23614,40691.55347
-246.37634,23614,40785.857566
-247.3418,23614,40875.876797
-247.3418,23614,40967.037522
-247.3418,23614,41057.126904
-247.68078,23614,41150.103503
-247.68078,23614,41242.455239
-252.99608,23614,41335.315675
-252.99608,23614,41423.051244
-252.99608,23614,41513.11776
-247.68078,23614,41612.305804
-247.68078,23614,41703.046153
-246.37634,23614,41794.949276
-246.37634,23614,41883.740666
-246.37634,23614,41975.107328
-252.54992,23614,42063.864543
-252.54992,23614,42154.230255
-257.83548,23614,42247.595536
-257.83548,23614,42336.367184
-257.83548,23614,42429.2549
-247.68078,23614,42518.426573
-247.68078,23614,42610.621348
-247.68078,23614,42700.269618
-252.54992,23614,42790.732204
-252.54992,23614,42879.993029
-252.6751,23614,42970.654908
-252.6751,23614,43068.145527
-252.6751,23614,43158.744319
-252.54992,23614,43252.656095
-252.54992,23614,43344.830514
-259.69046,23614,43437.15752
-259.69046,23614,43527.108114
-259.69046,23614,43617.972966
-255.30128,23614,43710.792215
-255.30128,23614,43800.465056
-250.4094,23614,43891.394007
-250.4094,23614,43985.892654
-250.4094,23614,44076.69832
-239.42742,23614,44171.270405
-239.42742,23614,44263.439486
-247.68078,23614,44354.71479
-247.68078,23614,44441.854298
-247.68078,23614,44532.760733
-252.54992,23614,44623.597603
-252.54992,23614,44713.998606
-252.54992,23614,44806.477773
-255.86974,23614,44897.652548
-255.86974,23614,44988.65959
-247.68078,23614,45080.793481
-247.68078,23614,45171.994891
-247.68078,23614,45261.353199
-243.59252,23614,45352.154721
-243.59252,23614,45446.447146
-253.01148,23614,45539.342888
-253.01148,23614,45631.985492
-253.01148,23614,45722.672796
-246.37634,23614,45815.204841
-246.37634,23614,45906.227477
-243.59252,23614,45997.345573
-243.59252,23614,46090.057912
-243.59252,23614,46183.089465
-252.99608,23614,46276.208471
-252.99608,23614,46367.66543
-252.99608,23614,46461.047575
-257.83548,23614,46555.018794
-257.83548,23614,46643.044722
-259.69046,23614,46733.837051
-259.69046,23614,46828.06517
-259.69046,23614,46917.222983
-254.32372,23614,47017.47764
-254.32372,23614,47109.578086
-247.68078,23614,47198.449244
-247.68078,23614,47289.637231
-247.68078,23614,47381.805382
-249.7736,23614,47474.45868
-249.7736,23614,47566.903441
-252.88058,23614,47656.667267
-252.88058,23614,47746.662705
-252.88058,23614,47841.277859
-252.6751,23614,47933.666856
-252.6751,23614,48026.496195
-252.54992,23614,48115.579846
-252.54992,23614,48209.493155
-252.54992,23614,48301.926636
-259.69046,23614,48399.913404
-259.69046,23614,48492.636928
-259.69046,23614,48583.133145
-254.32372,23614,48676.917052
-254.32372,23614,48766.6439
-248.88452,23614,48855.356595
-248.88452,23614,48951.576624
-248.88452,23614,49044.136302
-252.54992,23614,49139.408274
-252.54992,23614,49231.258589
-239.68902,23614,49326.810111
-239.68902,23614,49421.712697
-239.68902,23614,49513.622383
-250.4094,23614,49605.559047
-250.4094,23614,49694.700099
-249.35376,23614,49785.511082
-249.35376,23614,49873.514037
-249.35376,23614,49968.476656
-252.54992,23614,50057.26771
-252.54992,23614,50149.538435
-246.37634,23614,50243.601371
-246.37634,23614,50333.455547
-246.37634,23614,50430.397033
-239.24902,23614,50522.880687
-239.24902,23614,50613.949839
-239.24902,23614,50704.753134
-253.01148,23614,50794.881767
-253.01148,23614,50889.52231
-260.14156,23614,50976.47964
-260.14156,23614,51061.496696
-260.14156,23614,51151.431386
-247.68078,23614,51243.950991
-247.68078,23614,51335.355707
-250.4094,23614,51426.098189
-250.4094,23614,51515.837684
-250.4094,23614,51612.410549
-250.67616,23614,51705.619042
-250.67616,23614,51800.354967
-252.54992,23614,51889.759967
-252.54992,23614,51978.632157
-252.54992,23614,52071.263041
-252.54992,23614,52162.730395
-252.54992,23614,52255.238548
-252.54992,23614,52346.843335
-246.37634,23614,52435.376832
-246.37634,23614,52529.610058
-246.37634,23614,52621.241834
-246.37634,23614,52714.953371
-246.37634,23614,52808.317697
-244.7681,23614,52897.794752
-244.7681,23614,52988.03383
-252.54992,23614,53076.640325
-252.54992,23614,53170.117059
-252.54992,23614,53263.314603
-252.54992,23614,53357.366642
-252.54992,23614,53446.981046
-252.54992,23614,53540.338988
-252.54992,23614,53633.154545
-252.54992,23614,53725.856974
-259.7866,23614,53814.912675
-259.7866,23614,53911.796342
-247.68078,23614,54004.246092
-247.68078,23614,54096.170674
-247.68078,23614,54190.045237
-238.9522,23614,54282.794721
-238.9522,23614,54375.470372
-238.9522,23614,54466.73543
-252.88058,23614,54559.685242
-252.88058,23614,54649.910085
-250.67616,23614,54743.034257
-250.67616,23614,54838.070729
-250.67616,23614,54929.959162
-261.693,23614,55023.650751
-261.693,23614,55115.529051
-243.59252,23614,55207.610124
-243.59252,23614,55300.759862
-243.59252,23614,55394.059609
-246.37634,23614,55486.33857
-246.37634,23614,55578.46616
-247.68078,23614,55669.70698
-247.68078,23614,55758.56458
-247.68078,23614,55849.051291
-240.37528,23614,55942.719779
-240.37528,23614,56033.538771
-247.68078,23614,56124.438504
-247.68078,23614,56214.66632
-247.68078,23614,56305.165454
-247.68078,23614,56397.809878
-247.68078,23614,56497.180978
-247.68078,23614,56590.286593
-239.24902,23614,56683.151094
-239.24902,23614,56776.81025
-257.83548,23614,56867.710203
-257.83548,23614,56957.698868
-257.83548,23614,57052.169773
-249.35376,23614,57143.301647
-249.35376,23614,57237.28269
-255.30128,23614,57329.322849
