#{"t_start": 1674694339.2530677, "env_id": null}
r,l,t
-6767705.220792,23665,51.153673
-6767705.220792,23665,95.856819
0,23665,139.536497
0,23665,182.817732
0,23665,226.24317
0,23665,270.304601
0,23665,313.87549
0,23665,357.429965
0,23665,400.799807
0,23665,444.104905
0,23665,487.558876
0,23665,530.882633
0,23665,574.284945
0,23665,617.698359
0,23665,661.00329
0,23665,704.59624
0,23665,748.045408
0,23665,791.868823
0,23665,834.959555
0,23665,878.133645
0,23665,921.652673
0,23665,964.459667
0,23665,1007.494409
0,23665,1050.690759
0,23665,1094.474759
0,23665,1137.91646
0,23665,1180.777175
0,23665,1224.036458
0,23665,1267.518188
0,23665,1310.618599
0,23665,1353.868003
0,23665,1397.198475
0,23665,1440.020825
0,23665,1483.391823
0,23665,1527.184851
0,23665,1570.322724
0,23665,1613.008056
0,23665,1655.941394
0,23665,1699.26623
0,23665,1742.112941
0,23665,1785.114971
0,23665,1828.011923
0,23665,1871.076415
0,23665,1913.786672
0,23665,1956.639122
0,23665,1999.46827
0,23665,2042.792784
0,23665,2086.443161
0,23665,2129.657301
0,23665,2172.965676
0,23665,2215.952564
0,23665,2259.145046
0,23665,2302.505545
0,23665,2345.680723
0,23665,2388.840249
0,23665,2431.578739
0,23665,2474.890703
0,23665,2517.82958
0,23665,2560.912867
0,23665,2603.975003
0,23665,2646.71136
0,23665,2689.737568
0,23665,2732.780033
0,23665,2775.636458
0,23665,2818.58086
0,23665,2861.644364
0,23665,2904.873714
0,23665,2948.027107
0,23665,2990.90502
0,23665,3034.290881
0,23665,3077.256235
0,23665,3120.165721
0,23665,3162.895674
0,23665,3205.894939
0,23665,3249.158745
0,23665,3291.876854
0,23665,3334.936633
0,23665,3377.9236
0,23665,3420.664436
0,23665,3463.616665
0,23665,3506.600658
0,23665,3549.626381
0,23665,3592.337476
0,23665,3635.08246
0,23665,3678.292453
0,23665,3721.0414
0,23665,3763.598385
0,23665,3806.648176
0,23665,3849.238603
0,23665,3893.016822
0,23665,3935.810269
0,23665,3978.900599
0,23665,4022.093798
0,23665,4065.275766
