#{"t_start": 1675023128.4013686, "env_id": null}
r,l,t
-67605.81606,23665,49.245896
-67605.81606,23665,92.922032
373835.12,23665,136.942893
373835.12,23665,181.111578
373835.12,23665,225.022889
373835.12,23665,268.852059
373835.12,23665,312.543052
373835.12,23665,356.590696
373835.12,23665,400.12834
373835.12,23665,443.609332
373835.12,23665,487.312244
373835.12,23665,531.154197
373835.12,23665,574.726339
373835.12,23665,618.216907
373835.12,23665,661.651882
373835.12,23665,705.40892
373835.12,23665,748.440592
373835.12,23665,791.853224
373835.12,23665,835.311676
373835.12,23665,878.835669
373835.12,23665,921.99052
373835.12,23665,965.185154
373835.12,23665,1008.375509
373835.12,23665,1051.629716
373835.12,23665,1094.67709
373835.12,23665,1138.389764
373835.12,23665,1181.445761
373835.12,23665,1224.405854
373835.12,23665,1267.636097
373835.12,23665,1310.876836
373835.12,23665,1353.842597
373835.12,23665,1396.788074
373835.12,23665,1439.874693
373835.12,23665,1483.028824
373835.12,23665,1525.86201
373835.12,23665,1568.955213
373835.12,23665,1612.93494
373835.12,23665,1657.085266
373835.12,23665,1700.825342
373835.12,23665,1744.844735
373835.12,23665,1789.008267
373835.12,23665,1832.919999
373835.12,23665,1877.11691
373835.12,23665,1920.606619
373835.12,23665,1963.781797
373835.12,23665,2006.680254
373835.12,23665,2050.521058
373835.12,23665,2093.767574
373835.12,23665,2137.264562
373835.12,23665,2180.162015
373835.12,23665,2223.461555
373835.12,23665,2266.874546
373835.12,23665,2309.754682
373835.12,23665,2353.146603
373835.12,23665,2396.606963
373835.12,23665,2439.8351
373835.12,23665,2482.957961
373835.12,23665,2526.104462
373835.12,23665,2569.374581
373835.12,23665,2612.298138
373835.12,23665,2655.500355
373835.12,23665,2698.784023
373835.12,23665,2742.234764
373835.12,23665,2785.161218
373835.12,23665,2828.486333
373835.12,23665,2871.546216
373835.12,23665,2914.624262
373835.12,23665,2958.151113
373835.12,23665,3001.039301
373835.12,23665,3044.210914
373835.12,23665,3087.067865
373835.12,23665,3130.128238
373835.12,23665,3173.286296
373835.12,23665,3216.466975
373835.12,23665,3259.666861
373835.12,23665,3302.749109
373835.12,23665,3346.064795
373835.12,23665,3388.889775
373835.12,23665,3431.714958
373835.12,23665,3475.26567
373835.12,23665,3519.038728
373835.12,23665,3562.368143
373835.12,23665,3605.326496
373835.12,23665,3648.397022
373835.12,23665,3691.470566
373835.12,23665,3734.763591
373835.12,23665,3778.05722
373835.12,23665,3821.549134
373835.12,23665,3864.556952
373835.12,23665,3907.748542
373835.12,23665,3950.796045
373835.12,23665,3996.767097
373835.12,23665,4044.412504
373835.12,23665,4088.974698
373835.12,23665,4133.251457
373835.12,23665,4177.625669
373835.12,23665,4222.802583
373835.12,23665,4267.101664
373835.12,23665,4314.888699
373835.12,23665,4361.211611
373835.12,23665,4405.776048
373835.12,23665,4450.556639
373835.12,23665,4495.292033
373835.12,23665,4540.602518
373835.12,23665,4588.007183
373835.12,23665,4633.782996
373835.12,23665,4678.578822
373835.12,23665,4724.094572
373835.12,23665,4772.971341
373835.12,23665,4819.548352
373835.12,23665,4866.875367
373835.12,23665,4914.787969
373835.12,23665,4962.779168
373835.12,23665,5009.397332
373835.12,23665,5056.33194
373835.12,23665,5102.333715
373835.12,23665,5148.987555
373835.12,23665,5194.753275
373835.12,23665,5242.010276
373835.12,23665,5287.616074
373835.12,23665,5334.682875
373835.12,23665,5382.292778
373835.12,23665,5428.277778
373835.12,23665,5476.892847
373835.12,23665,5531.250459
373835.12,23665,5584.731427
373835.12,23665,5636.03077
373835.12,23665,5687.762919
373835.12,23665,5740.126681
373835.12,23665,5793.407927
373835.12,23665,5845.081084
373835.12,23665,5896.027935
373835.12,23665,5946.973826
373835.12,23665,5998.284889
373835.12,23665,6049.20509
373835.12,23665,6100.251802
373835.12,23665,6151.640292
373835.12,23665,6202.460905
373835.12,23665,6253.361333
373835.12,23665,6304.325676
373835.12,23665,6355.594758
373835.12,23665,6406.696811
373835.12,23665,6458.406296
373835.12,23665,6509.820027
373835.12,23665,6560.712177
373835.12,23665,6612.100589
373835.12,23665,6662.808437
373835.12,23665,6714.098825
373835.12,23665,6764.998453
373835.12,23665,6816.113631
373835.12,23665,6866.696948
373835.12,23665,6918.994551
373835.12,23665,6973.044922
373835.12,23665,7028.069043
373835.12,23665,7083.025944
373835.12,23665,7135.683397
373835.12,23665,7186.697342
373835.12,23665,7237.266339
