#{"t_start": 1676223811.5242116, "env_id": null}
r,l,t
-85340.2,23665,53.394693
-85340.2,23665,101.588212
-3256413.8,23665,155.569592
-3256413.8,23665,202.529469
-3256413.8,23665,252.189676
-1058593.6,23665,298.392984
-1058593.6,23665,348.709853
100100.0,23665,396.813627
100100.0,23665,444.848361
100100.0,23665,496.677216
100100.0,23665,554.669026
100100.0,23665,602.97841
100100.0,23665,653.204761
100100.0,23665,699.872137
100100.0,23665,749.305842
100100.0,23665,796.699667
100100.0,23665,845.480744
94279.6,23665,891.188668
94279.6,23665,939.264164
94279.6,23665,985.220156
100100.0,23665,1031.926921
100100.0,23665,1077.145022
100100.0,23665,1123.651825
100100.0,23665,1172.401647
100100.0,23665,1218.425785
99695.2,23665,1261.512381
99695.2,23665,1307.455824
99695.2,23665,1351.842109
101590.0,23665,1398.643099
101590.0,23665,1442.408067
100100.0,23665,1488.384275
100100.0,23665,1532.902786
100100.0,23665,1579.095274
100100.0,23665,1623.847553
100100.0,23665,1670.725271
100100.0,23665,1714.978915
100100.0,23665,1760.359876
100100.0,23665,1805.416857
100100.0,23665,1851.162346
100100.0,23665,1898.366434
100100.0,23665,1950.233067
100100.0,23665,1994.951133
100100.0,23665,2042.2751
100100.0,23665,2085.953016
100100.0,23665,2133.631706
100100.0,23665,2178.678396
100100.0,23665,2224.55915
100100.0,23665,2268.342517
100100.0,23665,2314.616645
100100.0,23665,2358.249316
100100.0,23665,2406.936578
100100.0,23665,2451.986763
100100.0,23665,2498.638226
100634.0,23665,2543.542146
100634.0,23665,2589.209116
100634.0,23665,2634.977602
54324.2,23665,2686.659827
54324.2,23665,2731.788036
100972.2,23665,2781.676758
100972.2,23665,2825.38799
100972.2,23665,2871.5423
74504.6,23665,2916.450213
74504.6,23665,2964.000878
74504.6,23665,3009.04997
100100.0,23665,3055.370382
100100.0,23665,3099.909365
100100.0,23665,3147.821429
100100.0,23665,3193.132981
100100.0,23665,3244.733351
27740.2,23665,3291.229222
27740.2,23665,3339.210306
65697.4,23665,3384.379956
65697.4,23665,3429.199996
65697.4,23665,3472.649861
-235312.4,23665,3517.688467
-235312.4,23665,3560.773632
86539.0,23665,3605.693727
86539.0,23665,3648.975635
86539.0,23665,3693.947863
100100.0,23665,3737.635143
100100.0,23665,3782.069242
-76500.8,23665,3825.29877
-76500.8,23665,3869.888219
-76500.8,23665,3912.466264
65293.4,23665,3957.208296
65293.4,23665,4000.216305
65293.4,23665,4044.810591
-97008.0,23665,4087.794861
-97008.0,23665,4132.591307
100100.0,23665,4175.759784
100100.0,23665,4220.582155
100100.0,23665,4263.518976
95234.0,23665,4308.421592
95234.0,23665,4351.760774
45890.8,23665,4396.773458
45890.8,23665,4439.613873
45890.8,23665,4484.120012
83744.4,23665,4527.392866
83744.4,23665,4571.90373
89243.8,23665,4615.113622
89243.8,23665,4660.340129
89243.8,23665,4703.41934
74543.4,23665,4748.072197
74543.4,23665,4791.184033
95342.6,23665,4835.829755
95342.6,23665,4878.942589
95342.6,23665,4923.618185
100100.0,23665,4966.924055
100100.0,23665,5011.604787
100100.0,23665,5054.325717
100007.8,23665,5098.946252
100007.8,23665,5141.669726
100100.0,23665,5186.354239
100100.0,23665,5229.574445
100100.0,23665,5274.042233
-45169.6,23665,5317.05027
-45169.6,23665,5361.554506
100100.0,23665,5404.674177
100100.0,23665,5449.256867
100100.0,23665,5492.41939
100100.0,23665,5537.288475
100100.0,23665,5580.450639
-133327.4,23665,5625.152555
-133327.4,23665,5668.039345
-133327.4,23665,5712.35103
-295248.2,23665,5755.568787
-295248.2,23665,5800.138699
-295248.2,23665,5843.294988
85161.6,23665,5887.897203
85161.6,23665,5931.008559
-970.8,23665,5975.589632
-970.8,23665,6018.54865
-970.8,23665,6062.858843
80848.8,23665,6105.898671
80848.8,23665,6150.300144
97328.4,23665,6193.288151
97328.4,23665,6237.649672
97328.4,23665,6280.580197
100100.0,23665,6325.350869
100100.0,23665,6368.238753
97736.2,23665,6412.967403
97736.2,23665,6456.11586
97736.2,23665,6500.851311
100100.0,23665,6544.223037
100100.0,23665,6588.890836
100100.0,23665,6631.949517
100100.0,23665,6676.341566
100100.0,23665,6719.167097
89481.0,23665,6764.017469
89481.0,23665,6806.842102
89481.0,23665,6851.160108
100100.0,23665,6894.52187
100100.0,23665,6939.068948
60066.2,23665,6982.165521
60066.2,23665,7026.301515
60066.2,23665,7069.409203
94760.6,23665,7113.982121
94760.6,23665,7156.859156
86164.0,23665,7201.324858
86164.0,23665,7244.248429
86164.0,23665,7288.742336
99256.0,23665,7331.783088
99256.0,23665,7376.437791
72910.2,23665,7419.834322
72910.2,23665,7464.232896
72910.2,23665,7506.959344
99471.4,23665,7551.909082
99471.4,23665,7594.912183
100100.0,23665,7640.234797
100100.0,23665,7683.137137
100100.0,23665,7727.605282
100100.0,23665,7770.775806
100100.0,23665,7815.056823
100100.0,23665,7858.17283
100100.0,23665,7902.79959
100100.0,23665,7945.866462
79934.0,23665,7990.341456
79934.0,23665,8033.285608
79934.0,23665,8077.664501
100100.0,23665,8120.9847
100100.0,23665,8165.060914
100100.0,23665,8208.198116
100100.0,23665,8252.89214
100100.0,23665,8295.771572
