#{"t_start": 1675898355.169237, "env_id": null}
r,l,t
-1185.8864,23616,51.697943
-1185.8864,23616,96.184686
-251.24324,23616,140.739918
-251.24324,23616,184.776435
-251.24324,23616,228.507189
-252.04694,23616,272.343566
-252.04694,23616,315.59118
-252.39,23616,359.432105
-252.39,23616,403.05321
-252.39,23616,446.428217
-252.39,23616,489.837575
-252.39,23616,533.232587
-252.39,23616,576.594438
-252.39,23616,619.745005
-252.39,23616,662.842
-252.39,23616,706.494351
-252.39,23616,749.85935
-252.39,23616,793.344211
-252.39,23616,836.418636
-252.39,23616,879.771252
-252.39,23616,922.759912
-252.39,23616,965.942311
-252.39,23616,1009.239414
-252.39,23616,1053.202157
-252.39,23616,1095.885394
-252.39,23616,1139.156682
-252.39,23616,1181.887681
-252.39,23616,1224.986327
-252.39,23616,1267.9465
-252.39,23616,1311.105086
-252.39,23616,1354.078534
-252.39,23616,1397.057212
-252.39,23616,1439.810986
-252.39,23616,1483.138318
-252.39,23616,1525.885738
-252.39,23616,1569.220876
-252.39,23616,1612.701002
-252.39,23616,1655.883153
-252.39,23616,1698.792734
-252.39,23616,1741.839215
-252.39,23616,1784.915518
-252.39,23616,1827.742817
-252.39,23616,1870.743743
-252.39,23616,1914.215509
-252.39,23616,1957.070524
-252.39,23616,2000.062398
-252.39,23616,2043.099869
-252.39,23616,2086.061311
-252.39,23616,2128.858427
-252.39,23616,2171.759444
-252.39,23616,2214.455624
-252.39,23616,2257.670588
-252.39,23616,2300.117926
-252.39,23616,2343.325448
-252.39,23616,2386.178459
-252.39,23616,2429.06276
-252.39,23616,2471.960565
-252.39,23616,2515.145549
-252.39,23616,2557.984827
-252.39,23616,2600.922016
-252.39,23616,2643.634973
-252.39,23616,2686.806096
-252.39,23616,2729.577258
-252.39,23616,2772.598325
-252.39,23616,2816.104515
-252.39,23616,2859.187652
-252.39,23616,2901.99615
-252.39,23616,2944.848354
-252.39,23616,2987.657767
-252.39,23616,3030.901373
-252.39,23616,3073.83346
-252.39,23616,3117.263504
-252.39,23616,3159.98366
-252.39,23616,3202.790159
-252.39,23616,3246.094374
-252.39,23616,3289.133841
-252.39,23616,3332.032775
-252.39,23616,3374.76802
-252.39,23616,3417.479931
-252.39,23616,3460.596327
-252.39,23616,3503.166381
-252.39,23616,3546.378388
-252.39,23616,3589.062223
-252.39,23616,3632.099195
-252.39,23616,3674.879949
-252.39,23616,3717.864614
-252.39,23616,3760.560235
-252.39,23616,3803.55099
-252.39,23616,3846.07066
-252.39,23616,3889.141226
-252.39,23616,3931.806301
-252.39,23616,3974.835099
-252.39,23616,4017.914333
-252.39,23616,4060.736633
-252.39,23616,4103.559724
-252.39,23616,4146.377759
-252.39,23616,4189.049663
-252.39,23616,4232.468363
-252.39,23616,4274.983978
-252.39,23616,4318.192743
-252.39,23616,4360.764346
-252.39,23616,4403.443787
-252.39,23616,4446.214328
-252.39,23616,4489.132776
-252.39,23616,4532.019315
-252.39,23616,4576.04846
-252.39,23616,4618.622378
-252.39,23616,4661.855255
-252.39,23616,4704.383958
-252.39,23616,4747.36484
-252.39,23616,4790.503944
-252.39,23616,4833.419977
-252.39,23616,4876.03864
-252.39,23616,4918.843976
-252.39,23616,4961.316992
-252.39,23616,5004.122069
-252.39,23616,5046.718717
-252.39,23616,5089.79812
-252.39,23616,5132.452168
-252.39,23616,5175.132301
-252.39,23616,5218.518317
-252.39,23616,5261.365771
-252.39,23616,5304.204244
-252.39,23616,5346.912029
-252.39,23616,5392.143168
-252.39,23616,5440.018765
-252.39,23616,5488.991584
-252.39,23616,5534.654355
-252.39,23616,5578.676796
-252.39,23616,5623.17406
-252.39,23616,5667.767021
-252.39,23616,5714.258515
-252.39,23616,5773.185349
-252.39,23616,5819.113582
-252.39,23616,5863.872616
-252.39,23616,5908.516855
-252.39,23616,5952.924169
-252.39,23616,5997.676981
-252.39,23616,6042.053036
-252.39,23616,6086.648774
-252.39,23616,6131.343767
-252.39,23616,6177.886985
-252.39,23616,6225.856756
-252.39,23616,6270.785462
-252.39,23616,6315.245196
-252.39,23616,6359.761949
-252.39,23616,6404.874279
-252.39,23616,6449.102255
-252.39,23616,6494.164084
-252.39,23616,6540.066596
-252.39,23616,6586.177531
-252.39,23616,6631.229564
-252.39,23616,6676.046755
-252.39,23616,6722.151014
-252.39,23616,6767.734825
-252.39,23616,6812.739367
-252.39,23616,6857.188001
-252.39,23616,6901.758896
-252.39,23616,6947.775028
-252.39,23616,6992.749741
-252.39,23616,7037.243809
-252.39,23616,7085.016255
-252.39,23616,7131.994223
-252.39,23616,7176.770619
-252.39,23616,7221.177943
-252.39,23616,7265.824545
-252.39,23616,7311.887815
-252.39,23616,7356.354067
-252.39,23616,7401.690988
-252.39,23616,7446.777053
-252.39,23616,7491.052561
-252.39,23616,7537.353076
-252.39,23616,7583.564217
-252.39,23616,7629.549661
-252.39,23616,7674.493285
-252.39,23616,7719.219856
-252.39,23616,7763.982703
-252.39,23616,7809.228819
