#{"t_start": 1674844179.8163931, "env_id": null}
r,l,t
-736205.41824,23665,58.53784
-736205.41824,23665,108.295919
-4229.36654,23665,154.935606
-4229.36654,23665,203.69939
-4229.36654,23665,253.697977
-100262.79272,23665,307.406054
-100262.79272,23665,356.014714
-273970.87054,23665,405.751899
-273970.87054,23665,453.817012
-273970.87054,23665,504.884938
-117635.39058,23665,553.878283
-117635.39058,23665,603.761666
-110828.37442,23665,652.58105
-110828.37442,23665,704.877109
-110828.37442,23665,752.712171
-364715.0486,23665,801.627112
-364715.0486,23665,849.689306
-565853.95462,23665,900.795572
-565853.95462,23665,949.974812
-565853.95462,23665,1000.466485
-530467.66154,23665,1050.438638
-530467.66154,23665,1099.3936
-530467.66154,23665,1149.829484
-545168.6273,23665,1200.271939
-545168.6273,23665,1250.321494
-439534.51416,23665,1298.356907
-439534.51416,23665,1345.518036
-439534.51416,23665,1391.067151
-425644.71556,23665,1435.493523
-425644.71556,23665,1482.056309
-345095.02006,23665,1530.098306
-345095.02006,23665,1580.139248
-345095.02006,23665,1627.8945
-276074.215,23665,1679.882295
-276074.215,23665,1725.357283
-289161.37652,23665,1772.43468
-289161.37652,23665,1818.276414
-289161.37652,23665,1864.799187
-311942.99042,23665,1912.04925
-311942.99042,23665,1957.822539
-323536.26502,23665,2008.057834
-323536.26502,23665,2056.47365
-323536.26502,23665,2107.760325
-282552.99084,23665,2158.642328
-282552.99084,23665,2205.030916
-282552.99084,23665,2251.1687
-251445.24852,23665,2296.4444
-251445.24852,23665,2344.190715
-252549.92986,23665,2396.180534
-252549.92986,23665,2444.572422
-252549.92986,23665,2490.894727
-299912.07452,23665,2540.548827
-299912.07452,23665,2586.869812
-171871.67152,23665,2634.735164
-171871.67152,23665,2681.40768
-171871.67152,23665,2729.404712
-205744.5462,23665,2778.39804
-205744.5462,23665,2825.500108
-243986.45032,23665,2872.078751
-243986.45032,23665,2919.366912
-243986.45032,23665,2968.862064
-245162.9155,23665,3019.516701
-245162.9155,23665,3065.968528
-245162.9155,23665,3112.2121
-194095.26462,23665,3157.197089
-194095.26462,23665,3202.955103
-252498.7613,23665,3257.524341
-252498.7613,23665,3308.967048
-252498.7613,23665,3354.729284
-255365.48446,23665,3400.638178
-255365.48446,23665,3445.423684
-237761.15118,23665,3495.838415
-237761.15118,23665,3542.04538
-237761.15118,23665,3586.722378
-173899.56016,23665,3633.163863
-173899.56016,23665,3680.698106
-291557.52872,23665,3727.938438
-291557.52872,23665,3775.13685
-291557.52872,23665,3819.023804
-324828.03264,23665,3870.24481
-324828.03264,23665,3916.016477
-254352.55026,23665,3964.837426
-254352.55026,23665,4011.483831
-254352.55026,23665,4059.939239
-264444.13324,23665,4104.950786
-264444.13324,23665,4149.583259
-264444.13324,23665,4193.996177
-400383.16804,23665,4240.243163
-400383.16804,23665,4285.444161
-499294.42612,23665,4332.627961
-499294.42612,23665,4380.615087
-499294.42612,23665,4428.737539
-364188.08204,23665,4477.349973
-364188.08204,23665,4524.980119
-352383.16384,23665,4576.977989
-352383.16384,23665,4628.172875
-352383.16384,23665,4678.175045
-324560.40686,23665,4725.10967
-324560.40686,23665,4772.514397
-272652.486,23665,4819.677935
-272652.486,23665,4865.908644
-272652.486,23665,4911.343122
-203812.65296,23665,4958.151275
-203812.65296,23665,5006.84924
-177839.93034,23665,5057.85134
-177839.93034,23665,5105.825773
-177839.93034,23665,5151.26552
-150866.68462,23665,5203.436886
-150866.68462,23665,5254.414325
-150866.68462,23665,5306.103751
-226627.87972,23665,5355.67497
-226627.87972,23665,5407.944634
-98005.94854,23665,5455.266633
-98005.94854,23665,5500.511894
-98005.94854,23665,5547.2471
-144923.9262,23665,5593.441188
-144923.9262,23665,5642.10312
-66863.111,23665,5689.471751
-66863.111,23665,5737.201842
-66863.111,23665,5783.92892
-72339.27256,23665,5830.002914
-72339.27256,23665,5879.627419
-55007.65516,23665,5925.919466
-55007.65516,23665,5973.761942
-55007.65516,23665,6024.160251
-42701.19782,23665,6071.386623
-42701.19782,23665,6117.373589
-42701.19782,23665,6163.29377
-40074.84814,23665,6208.571793
-40074.84814,23665,6255.49814
-35211.28852,23665,6304.14963
-35211.28852,23665,6352.118695
-35211.28852,23665,6397.852689
-30873.30874,23665,6444.693122
-30873.30874,23665,6492.13536
-32615.09284,23665,6541.829521
-32615.09284,23665,6586.710393
-32615.09284,23665,6635.350745
-27156.79828,23665,6682.911846
-27156.79828,23665,6728.773003
-16083.81952,23665,6774.690891
-16083.81952,23665,6819.488017
-16083.81952,23665,6868.204238
-59458.09892,23665,6915.178966
-59458.09892,23665,6963.140328
-66222.17676,23665,7011.802258
-66222.17676,23665,7056.929348
-66222.17676,23665,7103.586573
-40193.97396,23665,7150.315551
-40193.97396,23665,7196.074575
-40193.97396,23665,7241.343795
-25357.9675,23665,7289.218066
-25357.9675,23665,7335.73219
-36650.33778,23665,7385.631931
-36650.33778,23665,7433.077578
-36650.33778,23665,7481.358406
-33157.32126,23665,7530.113095
-33157.32126,23665,7580.091019
-49134.98698,23665,7624.950091
-49134.98698,23665,7669.808478
-49134.98698,23665,7716.89642
-89744.75898,23665,7763.473625
-89744.75898,23665,7811.406172
-40220.41406,23665,7858.87004
-40220.41406,23665,7905.594244
-40220.41406,23665,7952.592447
-48648.40794,23665,7999.515891
-48648.40794,23665,8050.279868
-82593.14584,23665,8097.659203
-82593.14584,23665,8145.425968
-82593.14584,23665,8191.320179
-52320.35242,23665,8237.19282
-52320.35242,23665,8281.557731
-52320.35242,23665,8327.274445
-43374.96368,23665,8371.008428
-43374.96368,23665,8414.839468
-49398.39672,23665,8460.544241
-49398.39672,23665,8508.247907
-49398.39672,23665,8554.089519
-30782.3299,23665,8600.259616
