#{"t_start": 1675130374.171595, "env_id": null}
r,l,t
-78299.72516,23552,56.553726
-78299.72516,23552,105.85603
-4516.0,23552,155.353045
-4516.0,23552,204.85096
-4516.0,23552,251.019225
-4516.0,23552,297.991658
-4516.0,23552,343.766695
-4516.0,23552,391.136896
-4516.0,23552,437.246856
-4516.0,23552,483.4549
-4516.0,23552,533.221904
-4516.0,23552,579.320635
-4516.0,23552,626.862493
-4516.0,23552,675.239046
-4516.0,23552,723.174211
-4516.0,23552,772.924313
-4516.0,23552,823.285442
-4516.0,23552,874.338834
-4516.0,23552,923.477357
-4516.0,23552,970.994323
-4516.0,23552,1018.773757
-4516.0,23552,1065.787766
-4516.0,23552,1113.702046
-4516.0,23552,1162.142259
-4516.0,23552,1209.669897
-4516.0,23552,1257.874629
-4516.0,23552,1305.261668
-4516.0,23552,1353.032747
-4516.0,23552,1401.413941
-4516.0,23552,1449.854458
-4516.0,23552,1497.032785
-4516.0,23552,1544.099339
-4516.0,23552,1592.077774
-4516.0,23552,1641.120673
-4516.0,23552,1688.207468
-4516.0,23552,1737.063417
-4516.0,23552,1784.997954
-4516.0,23552,1832.937433
-4516.0,23552,1880.759184
-4516.0,23552,1929.506343
-4516.0,23552,1977.358319
-4516.0,23552,2026.212842
-4516.0,23552,2074.759535
-4516.0,23552,2124.487301
-4516.0,23552,2172.551135
-4516.0,23552,2221.33027
-4516.0,23552,2269.772002
-4516.0,23552,2318.600464
-4516.0,23552,2366.304738
-4516.0,23552,2412.596652
-4516.0,23552,2459.81884
-4516.0,23552,2507.413687
-4516.0,23552,2554.63951
-4516.0,23552,2602.201209
-4516.0,23552,2651.01915
-4516.0,23552,2698.839531
-4516.0,23552,2747.035005
-4516.0,23552,2796.040376
-4516.0,23552,2843.909201
-4516.0,23552,2890.619012
-4516.0,23552,2937.212494
-4516.0,23552,2985.106674
-4516.0,23552,3032.55752
-4516.0,23552,3082.794302
-4516.0,23552,3131.833276
-4516.0,23552,3182.083286
-4516.0,23552,3229.931631
-4516.0,23552,3277.66726
-4516.0,23552,3324.943902
-4516.0,23552,3373.184618
-4516.0,23552,3420.702381
-4516.0,23552,3468.92869
-4516.0,23552,3516.990135
-4516.0,23552,3564.307593
-4516.0,23552,3613.226221
-4516.0,23552,3661.282106
-4516.0,23552,3708.762065
-4516.0,23552,3756.424554
-4516.0,23552,3804.630202
-4516.0,23552,3852.401905
-4516.0,23552,3900.696787
-4516.0,23552,3949.68374
-4516.0,23552,3998.374308
-4516.0,23552,4048.368895
-4516.0,23552,4096.774872
-4516.0,23552,4144.255286
-4516.0,23552,4192.514341
-4516.0,23552,4240.816952
-4516.0,23552,4289.319004
-4516.0,23552,4336.253242
-4516.0,23552,4382.385932
-4516.0,23552,4431.560794
-4516.0,23552,4481.428781
-4516.0,23552,4530.202301
-4516.0,23552,4581.749629
-4516.0,23552,4631.25225
-4516.0,23552,4678.888131
-4516.0,23552,4728.423901
-4516.0,23552,4779.707872
-4516.0,23552,4828.769885
-4516.0,23552,4876.587141
-4516.0,23552,4926.564754
-4516.0,23552,4975.440911
-4516.0,23552,5026.30578
-4516.0,23552,5079.102928
-4516.0,23552,5129.926691
-4516.0,23552,5177.867785
-4516.0,23552,5226.946191
-4516.0,23552,5275.695547
-4516.0,23552,5324.159936
-4516.0,23552,5375.073446
-4516.0,23552,5423.435819
-4516.0,23552,5472.189958
-4516.0,23552,5523.363522
-4516.0,23552,5571.334284
-4516.0,23552,5617.97614
-4516.0,23552,5663.794176
-4516.0,23552,5710.963699
-4516.0,23552,5756.436606
-4516.0,23552,5802.006524
-4516.0,23552,5848.002641
-4516.0,23552,5894.398933
-4516.0,23552,5940.063056
-4516.0,23552,5985.402503
-4516.0,23552,6030.365644
-4516.0,23552,6076.867377
-4516.0,23552,6122.304638
-4516.0,23552,6167.606603
-4516.0,23552,6213.652699
-4516.0,23552,6259.337619
-4516.0,23552,6305.198459
-4516.0,23552,6351.284919
-4516.0,23552,6396.620251
-4516.0,23552,6442.651088
-4516.0,23552,6487.093818
-4516.0,23552,6533.338854
-4516.0,23552,6578.501805
-4516.0,23552,6623.492954
-4516.0,23552,6668.789868
-4516.0,23552,6714.088991
-4516.0,23552,6759.369686
-4516.0,23552,6804.329984
-4516.0,23552,6848.852034
-4516.0,23552,6894.649129
-4516.0,23552,6939.454516
-4516.0,23552,6985.271975
-4516.0,23552,7030.154251
-4516.0,23552,7075.716809
-4516.0,23552,7121.422132
-4516.0,23552,7166.406027
-4516.0,23552,7211.857791
-4516.0,23552,7257.620539
-4516.0,23552,7303.060074
-4516.0,23552,7349.060028
-4516.0,23552,7393.778518
-4516.0,23552,7439.054039
-4516.0,23552,7484.552198
-4516.0,23552,7530.206026
-4516.0,23552,7576.138931
-4516.0,23552,7621.21432
-4516.0,23552,7665.787468
-4516.0,23552,7711.528777
-4516.0,23552,7756.620286
-4516.0,23552,7802.32246
-4516.0,23552,7847.360493
-4516.0,23552,7893.357732
-4516.0,23552,7938.740494
-4516.0,23552,7983.6493
-4516.0,23552,8029.817181
-4516.0,23552,8074.877378
-4516.0,23552,8119.912563
-4516.0,23552,8165.632376
-4516.0,23552,8210.397745
-4516.0,23552,8255.667035
-4516.0,23552,8301.512614
-4516.0,23552,8346.289037
-4516.0,23552,8391.657508
-4516.0,23552,8436.598948
-4516.0,23552,8481.475505
-4516.0,23552,8527.44648
-4516.0,23552,8572.448293
-4516.0,23552,8618.235604
-4516.0,23552,8663.120548
-4516.0,23552,8708.446405
-4516.0,23552,8755.097888
-4516.0,23552,8800.885812
-4516.0,23552,8846.378708
-4516.0,23552,8891.415382
-4516.0,23552,8936.72123
-4516.0,23552,8982.400906
-4516.0,23552,9027.766413
-4516.0,23552,9072.804773
-4516.0,23552,9118.316938
-4516.0,23552,9163.17314
-4516.0,23552,9209.012816
-4516.0,23552,9254.819926
-4516.0,23552,9299.554462
-4516.0,23552,9345.055175
-4516.0,23552,9390.285109
