#{"t_start": 1675681025.3537912, "env_id": null}
r,l,t
-2464.68104,23616,61.999607
-2464.68104,23616,114.734076
-400.14,23616,165.404969
-400.14,23616,215.281712
-400.14,23616,264.750175
-400.14,23616,315.563305
-400.14,23616,365.851615
-400.14,23616,416.686437
-400.14,23616,471.541831
-400.14,23616,520.25631
-400.14,23616,574.196649
-400.14,23616,622.090158
-400.14,23616,671.461386
-400.14,23616,719.595413
-400.14,23616,767.953417
-400.14,23616,817.293289
-400.14,23616,870.52638
-400.14,23616,925.140414
-400.14,23616,983.12639
-400.14,23616,1035.578695
-400.14,23616,1093.78455
-400.14,23616,1146.016397
-400.14,23616,1198.353167
-400.14,23616,1256.975592
-400.14,23616,1313.785953
-400.14,23616,1366.46693
-400.14,23616,1420.205523
-400.14,23616,1471.22346
-400.14,23616,1523.91042
-400.14,23616,1575.975153
-400.14,23616,1629.70517
-400.14,23616,1681.994547
-400.14,23616,1735.681458
-400.14,23616,1791.768869
-400.14,23616,1845.58371
-400.14,23616,1898.047448
-400.14,23616,1948.674251
-400.14,23616,1999.868196
-400.14,23616,2052.071952
-400.14,23616,2104.567358
-400.14,23616,2157.466024
-400.14,23616,2209.741012
-400.14,23616,2262.234501
-400.14,23616,2314.495052
-400.14,23616,2367.239887
-400.14,23616,2418.264725
-400.14,23616,2472.052485
-400.14,23616,2524.136633
-400.14,23616,2577.009637
-400.14,23616,2629.068297
-400.14,23616,2682.617679
-400.14,23616,2735.58814
-400.14,23616,2787.076297
-400.14,23616,2838.299082
-400.14,23616,2887.774728
-400.14,23616,2944.346987
-400.14,23616,2996.608137
-400.14,23616,3046.833011
-400.14,23616,3098.288219
-400.14,23616,3147.749292
-400.14,23616,3198.01956
-400.14,23616,3248.380417
-400.14,23616,3299.173892
-400.14,23616,3350.014764
-400.14,23616,3402.388066
-400.14,23616,3452.32255
-400.14,23616,3505.838651
-400.14,23616,3559.116051
-400.14,23616,3610.774163
-400.14,23616,3661.74808
-400.14,23616,3713.475793
-400.14,23616,3766.254183
-400.14,23616,3816.734157
-400.14,23616,3869.167752
-400.14,23616,3925.986624
-400.14,23616,3985.998994
-400.14,23616,4047.141592
-400.14,23616,4107.091721
-400.14,23616,4168.935301
-400.14,23616,4226.731445
-400.14,23616,4283.708332
-400.14,23616,4340.919399
-400.14,23616,4398.216085
-400.14,23616,4459.308809
-400.14,23616,4516.31392
-400.14,23616,4577.231974
-400.14,23616,4641.760522
-400.14,23616,4698.534649
-400.14,23616,4755.494722
-400.14,23616,4813.20641
-400.14,23616,4869.096341
-400.14,23616,4925.424156
-400.14,23616,4983.973172
-400.14,23616,5040.574281
-400.14,23616,5108.076159
-400.14,23616,5169.908434
-400.14,23616,5232.459446
-400.14,23616,5298.530867
-400.14,23616,5364.062149
-400.14,23616,5428.318223
-400.14,23616,5497.526412
-400.14,23616,5562.356773
-400.14,23616,5623.581504
-400.14,23616,5688.229473
-400.14,23616,5752.538332
-400.14,23616,5816.653362
-400.14,23616,5879.466679
-400.14,23616,5942.354499
-400.14,23616,6000.860241
-400.14,23616,6057.425414
-400.14,23616,6116.15589
-400.14,23616,6172.585998
-400.14,23616,6249.42235
-400.14,23616,6305.036877
-400.14,23616,6359.479715
-400.14,23616,6414.041374
-400.14,23616,6477.834166
-400.14,23616,6540.829804
-400.14,23616,6600.879962
-400.14,23616,6665.48674
-400.14,23616,6733.084149
-400.14,23616,6800.188445
-400.14,23616,6851.204905
-400.14,23616,6919.811994
-400.14,23616,6972.901144
-400.14,23616,7027.050181
-400.14,23616,7082.196994
-400.14,23616,7135.267597
-400.14,23616,7188.838601
-400.14,23616,7240.87711
-400.14,23616,7295.822953
-400.14,23616,7347.793175
-400.14,23616,7400.038118
-400.14,23616,7453.207111
-400.14,23616,7505.776724
-400.14,23616,7558.030403
-400.14,23616,7614.738141
-400.14,23616,7688.252235
-400.14,23616,7746.39683
-400.14,23616,7802.481839
-400.14,23616,7856.55978
-400.14,23616,7916.746583
-400.14,23616,7974.394511
-400.14,23616,8036.361397
-400.14,23616,8093.918043
-400.14,23616,8151.553661
-400.14,23616,8209.329503
-400.14,23616,8273.428955
-400.14,23616,8326.808594
-400.14,23616,8381.819517
-400.14,23616,8433.732274
-400.14,23616,8486.37601
-400.14,23616,8541.254393
-400.14,23616,8596.49945
-400.14,23616,8653.278121
-400.14,23616,8709.024872
-400.14,23616,8764.693161
-400.14,23616,8819.947368
-400.14,23616,8878.387368
-400.14,23616,8930.790693
-400.14,23616,8984.06906
-400.14,23616,9037.732562
-400.14,23616,9092.54925
-400.14,23616,9144.354863
-400.14,23616,9199.101954
-400.14,23616,9259.52366
-400.14,23616,9315.15522
-400.14,23616,9368.78117
-400.14,23616,9428.313915
-400.14,23616,9480.025683
-400.14,23616,9533.294052
-400.14,23616,9589.755106
-400.14,23616,9643.541222
-400.14,23616,9708.091635
-400.14,23616,9764.060229
-400.14,23616,9819.240757
-400.14,23616,9877.826992
-400.14,23616,9930.857606
-400.14,23616,9985.808088
-400.14,23616,10041.600551
-400.14,23616,10096.701394
-400.14,23616,10152.820051
-400.14,23616,10208.430215
-400.14,23616,10262.95551
-400.14,23616,10327.095984
-400.14,23616,10394.573839
-400.14,23616,10446.69398
-400.14,23616,10495.169152
-400.14,23616,10543.519321
-400.14,23616,10598.942195
-400.14,23616,10655.280991
-400.14,23616,10710.732897
-400.14,23616,10767.352696
-400.14,23616,10823.213264
-400.14,23616,10876.680892
-400.14,23616,10930.9985
-400.14,23616,10984.854812
-400.14,23616,11039.443267
-400.14,23616,11090.271067
-400.14,23616,11139.512349
-400.14,23616,11188.939229
-400.14,23616,11238.288407
-400.14,23616,11287.7989
-400.14,23616,11339.747493
-400.14,23616,11399.213251
-400.14,23616,11446.974987
-400.14,23616,11494.816458
-400.14,23616,11542.972985
-400.14,23616,11597.693779
-400.14,23616,11652.863625
-400.14,23616,11715.953688
-400.14,23616,11776.778476
-400.14,23616,11833.77081
-400.14,23616,11888.230304
-400.14,23616,11940.669117
-400.14,23616,11990.174217
-400.14,23616,12039.6577
-400.14,23616,12090.24278
-400.14,23616,12139.592322
-400.14,23616,12188.825322
-400.14,23616,12240.091868
-400.14,23616,12288.771651
-400.14,23616,12337.466785
-400.14,23616,12384.869205
-400.14,23616,12433.007416
-400.14,23616,12481.808275
-400.14,23616,12529.975446
-400.14,23616,12578.329814
-400.14,23616,12626.177043
-400.14,23616,12673.783432
-400.14,23616,12722.99182
-400.14,23616,12770.321815
-400.14,23616,12818.996793
-400.14,23616,12867.079442
-400.14,23616,12915.329068
