#{"t_start": 1675991457.8361108, "env_id": null}
r,l,t
-24850.107792,23665,62.029141
-24850.107792,23665,116.006181
-30430.552907,23665,169.209596
-30430.552907,23665,218.996653
-30430.552907,23665,273.004578
-31685.796123,23665,329.433554
-31685.796123,23665,381.770333
-43500.925069,23665,436.953675
-43500.925069,23665,487.534883
-43500.925069,23665,538.407389
-48165.428563,23665,590.197877
-48165.428563,23665,638.884985
-49232.547681,23665,690.59366
-49232.547681,23665,739.547102
-49232.547681,23665,789.849076
-46131.685311,23665,838.45475
-46131.685311,23665,887.886897
-44781.788045,23665,936.088572
-44781.788045,23665,985.766993
-44781.788045,23665,1033.602562
-37326.194481,23665,1082.223791
-37326.194481,23665,1131.715694
-37326.194481,23665,1181.595663
-36038.113668,23665,1232.946887
-36038.113668,23665,1281.899931
-40497.944941,23665,1331.738109
-40497.944941,23665,1378.318786
-40497.944941,23665,1427.038718
-41087.496156,23665,1473.668194
-41087.496156,23665,1521.277529
-40730.374061,23665,1569.1309
-40730.374061,23665,1617.241796
-40730.374061,23665,1667.848371
-46038.539051,23665,1719.147642
-46038.539051,23665,1768.824976
-45186.228499,23665,1824.065205
-45186.228499,23665,1874.391996
-45186.228499,23665,1926.655816
-48029.966203,23665,1974.664343
-48029.966203,23665,2027.727407
-46469.244024,23665,2076.16964
-46469.244024,23665,2126.276903
-46469.244024,23665,2174.208042
-48215.682161,23665,2222.86986
-48215.682161,23665,2269.87218
-48215.682161,23665,2318.198762
-46845.351523,23665,2365.88536
-46845.351523,23665,2413.887069
-43258.664557,23665,2461.860221
-43258.664557,23665,2510.392645
-43258.664557,23665,2557.256813
-35717.532445,23665,2606.650173
-35717.532445,23665,2653.800124
-42176.1623,23665,2703.323539
-42176.1623,23665,2750.715838
-42176.1623,23665,2799.053768
-43326.176472,23665,2848.059272
-43326.176472,23665,2894.91225
-45913.357724,23665,2943.653436
-45913.357724,23665,2994.531692
-45913.357724,23665,3040.496119
-48058.631057,23665,3088.582081
-48058.631057,23665,3146.129269
-48058.631057,23665,3194.718554
-49953.670228,23665,3241.237844
-49953.670228,23665,3288.234535
-37834.045804,23665,3334.635914
-37834.045804,23665,3381.798522
-37834.045804,23665,3427.882218
-41469.426586,23665,3476.479364
-41469.426586,23665,3522.073
-42604.802072,23665,3570.531276
-42604.802072,23665,3623.370639
-42604.802072,23665,3671.349662
-44091.218543,23665,3722.080718
-44091.218543,23665,3769.363956
-42455.605021,23665,3818.342678
-42455.605021,23665,3864.244125
-42455.605021,23665,3911.681711
-37548.196378,23665,3959.229711
-37548.196378,23665,4005.209738
-33226.174721,23665,4052.152655
-33226.174721,23665,4099.865128
-33226.174721,23665,4146.366832
-30637.551212,23665,4192.907025
-30637.551212,23665,4240.121331
-30637.551212,23665,4286.224792
-31519.908143,23665,4334.029822
-31519.908143,23665,4380.013465
-28619.651721,23665,4428.069934
-28619.651721,23665,4474.092987
-28619.651721,23665,4521.246479
-52243.13433,23665,4567.806185
-52243.13433,23665,4614.79757
-48739.009385,23665,4661.16951
-48739.009385,23665,4708.198245
-48739.009385,23665,4754.00824
-34879.258643,23665,4801.568095
-34879.258643,23665,4847.073107
-49302.049626,23665,4894.519958
-49302.049626,23665,4940.359858
-49302.049626,23665,4987.199671
-46204.245753,23665,5033.591223
-46204.245753,23665,5080.441287
-41383.511189,23665,5126.857162
-41383.511189,23665,5173.519457
-41383.511189,23665,5219.13323
-44798.322701,23665,5266.171768
-44798.322701,23665,5311.834721
-44798.322701,23665,5358.334131
-47235.357439,23665,5404.608893
-47235.357439,23665,5451.64785
-48103.061811,23665,5497.801543
-48103.061811,23665,5544.998522
-48103.061811,23665,5590.802849
-48050.094389,23665,5638.209003
-48050.094389,23665,5683.773944
-45772.890026,23665,5731.392991
-45772.890026,23665,5776.921825
-45772.890026,23665,5823.485729
-43225.649702,23665,5869.524066
-43225.649702,23665,5915.92064
-42625.173599,23665,5962.092028
-42625.173599,23665,6008.937205
-42625.173599,23665,6054.482054
-42641.21118,23665,6101.607259
-42641.21118,23665,6147.057751
-42641.21118,23665,6193.593942
-43410.950751,23665,6239.642177
-43410.950751,23665,6286.143664
-35520.286725,23665,6332.623707
-35520.286725,23665,6379.280096
-35520.286725,23665,6424.637862
-39444.558991,23665,6471.761838
-39444.558991,23665,6517.154871
-39516.68314,23665,6564.076831
-39516.68314,23665,6609.51481
-39516.68314,23665,6655.852601
-40882.039681,23665,6701.594346
-40882.039681,23665,6748.548378
-38905.059777,23665,6794.467938
-38905.059777,23665,6840.875145
-38905.059777,23665,6886.176055
-41549.132606,23665,6933.291842
-41549.132606,23665,6978.878121
-37974.205908,23665,7025.987602
-37974.205908,23665,7071.302654
-37974.205908,23665,7117.488182
-31731.785637,23665,7163.934702
-31731.785637,23665,7210.390178
-31731.785637,23665,7255.741173
-28512.986082,23665,7302.621134
-28512.986082,23665,7348.004268
-23731.42137,23665,7395.271234
-23731.42137,23665,7440.74795
-23731.42137,23665,7487.122401
-36490.684479,23665,7533.240709
-36490.684479,23665,7579.631127
-45958.621156,23665,7625.639798
-45958.621156,23665,7671.96138
-45958.621156,23665,7717.220309
-46928.021115,23665,7763.466003
-46928.021115,23665,7810.17188
-41084.645919,23665,7856.559493
-41084.645919,23665,7903.283426
-41084.645919,23665,7949.009395
-51604.187201,23665,7996.326594
-51604.187201,23665,8042.12841
-45887.645196,23665,8089.802506
-45887.645196,23665,8135.530738
-45887.645196,23665,8182.375678
-47874.53948,23665,8228.677173
-47874.53948,23665,8275.92899
-47874.53948,23665,8321.584488
-47214.166912,23665,8368.85716
-47214.166912,23665,8414.688595
-42034.951441,23665,8461.398692
-42034.951441,23665,8508.205829
-42034.951441,23665,8553.887019
-37417.296777,23665,8601.253339
-37417.296777,23665,8646.847375
-33383.355446,23665,8694.698023
-33383.355446,23665,8739.970856
-33383.355446,23665,8786.423034
-31012.410051,23665,8833.594328
-31012.410051,23665,8879.716818
-40629.187973,23665,8926.800354
-40629.187973,23665,8972.447404
-40629.187973,23665,9019.093493
-38433.871016,23665,9065.319132
-38433.871016,23665,9111.883347
-38433.871016,23665,9157.358013
-34661.637067,23665,9204.939994
-34661.637067,23665,9250.571146
-29040.717853,23665,9297.671483
-29040.717853,23665,9342.916501
-29040.717853,23665,9389.477019
-34529.62463,23665,9435.602002
-34529.62463,23665,9482.062801
-28084.739946,23665,9528.115438
-28084.739946,23665,9574.646027
