#{"t_start": 1675344860.421046, "env_id": null}
r,l,t
-4823.89172,23608,67.235269
-4823.89172,23608,127.963763
-589.34,23608,185.8025
-589.34,23608,242.438204
-589.34,23608,296.837597
-589.34,23608,352.74631
-589.34,23608,411.262114
-589.34,23608,468.029738
-589.34,23608,527.606117
-589.34,23608,583.869216
-589.34,23608,641.020539
-589.34,23608,697.421145
-589.34,23608,752.746413
-589.34,23608,807.242773
-589.34,23608,865.98967
-589.34,23608,920.612161
-589.34,23608,972.214957
-589.34,23608,1023.324909
-589.34,23608,1075.231415
-589.34,23608,1127.872286
-589.34,23608,1186.169703
-589.34,23608,1245.130472
-589.34,23608,1296.488164
-589.34,23608,1353.065527
-589.34,23608,1413.153242
-589.34,23608,1477.883333
-589.34,23608,1541.432509
-589.34,23608,1599.823954
-589.34,23608,1660.847508
-589.34,23608,1720.596271
-589.34,23608,1787.390578
-589.34,23608,1848.670393
-589.34,23608,1910.297749
-589.34,23608,1971.698604
-589.34,23608,2033.139696
-589.34,23608,2090.087287
-589.34,23608,2145.878756
-589.34,23608,2199.89868
-589.34,23608,2254.678665
-589.34,23608,2308.155205
-589.34,23608,2364.837538
-589.34,23608,2419.968613
-589.34,23608,2476.807509
-589.34,23608,2534.819208
-589.34,23608,2595.731087
-589.34,23608,2648.986995
-589.34,23608,2704.599904
-589.34,23608,2757.794203
-589.34,23608,2813.560891
-589.34,23608,2866.663589
-589.34,23608,2920.510213
-589.34,23608,2974.11837
-589.34,23608,3029.61286
-589.34,23608,3083.036996
-589.34,23608,3137.68957
-589.34,23608,3189.923152
-589.34,23608,3245.227138
-589.34,23608,3298.243104
-589.34,23608,3353.271585
-589.34,23608,3408.186873
-589.34,23608,3461.998646
-589.34,23608,3514.807898
-589.34,23608,3571.32228
-589.34,23608,3625.437025
-589.34,23608,3682.731975
-589.34,23608,3738.695148
-589.34,23608,3796.900362
-589.34,23608,3853.899887
-589.34,23608,3909.78769
-589.34,23608,3968.512022
-589.34,23608,4021.986055
-589.34,23608,4074.895648
-589.34,23608,4130.631851
-589.34,23608,4186.431082
-589.34,23608,4247.673221
-589.34,23608,4311.07646
-589.34,23608,4371.117754
-589.34,23608,4432.643056
-589.34,23608,4494.712218
-589.34,23608,4553.491183
-589.34,23608,4616.749383
-589.34,23608,4679.062048
-589.34,23608,4740.409739
-589.34,23608,4800.53422
-589.34,23608,4862.577801
-589.34,23608,4920.768919
-589.34,23608,4973.10612
-589.34,23608,5024.527387
-589.34,23608,5076.235831
-589.34,23608,5127.621938
-589.34,23608,5178.998176
-589.34,23608,5230.418934
-589.34,23608,5288.672427
-589.34,23608,5338.773847
-589.34,23608,5390.404686
-589.34,23608,5440.419092
-589.34,23608,5491.595083
-589.34,23608,5542.176971
-589.34,23608,5593.310049
-589.34,23608,5644.207607
-589.34,23608,5694.955385
-589.34,23608,5745.413732
-589.34,23608,5796.626842
-589.34,23608,5846.298967
-589.34,23608,5897.756994
-589.34,23608,5947.314942
-589.34,23608,6000.367315
-589.34,23608,6055.660459
-589.34,23608,6114.403036
-589.34,23608,6171.072864
-589.34,23608,6232.717494
-589.34,23608,6288.616615
-589.34,23608,6344.318308
-589.34,23608,6401.499382
-589.34,23608,6460.710736
-589.34,23608,6521.2071
-589.34,23608,6578.099227
-589.34,23608,6632.647819
-589.34,23608,6690.584403
