#{"t_start": 1676409588.6635096, "env_id": null}
r,l,t
-126695.716464,23665,49.877413
-126695.716464,23665,101.548883
-177201.284522,23665,156.367024
-177201.284522,23665,208.559566
-177201.284522,23665,262.516876
-174719.463912,23665,318.465357
-174719.463912,23665,369.649751
-171896.387124,23665,422.639745
-171896.387124,23665,470.923326
-171896.387124,23665,522.629665
-176390.742175,23665,578.732896
-176390.742175,23665,632.07307
-145385.753982,23665,682.265347
-145385.753982,23665,732.897471
-145385.753982,23665,781.928454
-145893.909482,23665,833.404736
-145893.909482,23665,882.915869
-146398.235591,23665,933.676305
-146398.235591,23665,985.173175
-146398.235591,23665,1036.914711
-135699.188552,23665,1086.892659
-135699.188552,23665,1136.803117
-135699.188552,23665,1185.698346
-99157.935155,23665,1237.270588
-99157.935155,23665,1287.425353
-81151.070942,23665,1338.748379
-81151.070942,23665,1392.176888
-81151.070942,23665,1442.716726
-67645.613876,23665,1492.89908
-67645.613876,23665,1547.572066
-74067.381671,23665,1603.942978
-74067.381671,23665,1659.088732
-74067.381671,23665,1712.339242
-70508.666281,23665,1762.789157
-70508.666281,23665,1811.216347
-58339.242868,23665,1861.462119
-58339.242868,23665,1913.866646
-58339.242868,23665,1968.686254
-45555.856981,23665,2020.762789
-45555.856981,23665,2073.386397
-44235.824001,23665,2134.396508
-44235.824001,23665,2191.86469
-44235.824001,23665,2245.09149
-48083.375131,23665,2296.369579
-48083.375131,23665,2345.289457
-48083.375131,23665,2396.292109
-43534.754128,23665,2445.977496
-43534.754128,23665,2496.780393
-24756.440199,23665,2546.95649
-24756.440199,23665,2598.303104
-24756.440199,23665,2648.867628
-28846.941213,23665,2704.204347
-28846.941213,23665,2759.73944
-39354.27952,23665,2812.662437
-39354.27952,23665,2863.76817
-39354.27952,23665,2917.525972
-40043.71436,23665,2970.930468
-40043.71436,23665,3024.621943
-10016.416829,23665,3079.293541
-10016.416829,23665,3130.741367
-10016.416829,23665,3184.784084
-9454.477041,23665,3238.487268
-9454.477041,23665,3291.572943
-9454.477041,23665,3345.366762
-17705.07377,23665,3398.538777
-17705.07377,23665,3449.100403
-31061.586802,23665,3499.748396
-31061.586802,23665,3550.422346
-31061.586802,23665,3603.25169
-30074.919047,23665,3657.416123
-30074.919047,23665,3709.265094
-36954.225664,23665,3761.957704
-36954.225664,23665,3812.504879
-36954.225664,23665,3864.975069
-38648.912766,23665,3917.171864
-38648.912766,23665,3967.693937
-51384.823393,23665,4021.508697
-51384.823393,23665,4077.425373
-51384.823393,23665,4129.752089
-47099.333942,23665,4182.009549
-47099.333942,23665,4231.696862
-52085.106039,23665,4284.114169
-52085.106039,23665,4336.754548
-52085.106039,23665,4388.871915
-93890.536491,23665,4441.314739
-93890.536491,23665,4494.449903
-93890.536491,23665,4548.466148
-101025.466506,23665,4604.00138
-101025.466506,23665,4653.975068
-122901.768002,23665,4706.534639
-122901.768002,23665,4757.732935
-122901.768002,23665,4809.309437
-101482.939983,23665,4859.920485
-101482.939983,23665,4910.361445
-73754.705014,23665,4961.788384
-73754.705014,23665,5013.770831
-73754.705014,23665,5063.974182
-65099.560666,23665,5113.987848
-65099.560666,23665,5166.232972
-44516.879381,23665,5218.759893
-44516.879381,23665,5269.895892
-44516.879381,23665,5321.031978
-69281.802359,23665,5377.364896
-69281.802359,23665,5429.942683
-81705.662675,23665,5481.133375
-81705.662675,23665,5533.359867
-81705.662675,23665,5584.129506
-102676.047015,23665,5638.982683
-102676.047015,23665,5689.397728
-102676.047015,23665,5739.047332
-148934.412915,23665,5788.843863
-148934.412915,23665,5839.538507
-143164.349312,23665,5889.576074
-143164.349312,23665,5940.287899
-143164.349312,23665,5991.69155
-94405.752684,23665,6046.167537
-94405.752684,23665,6099.219621
-106934.843971,23665,6150.803745
-106934.843971,23665,6204.745761
-106934.843971,23665,6255.294696
-78804.514739,23665,6310.78537
-78804.514739,23665,6362.904478
-61654.360531,23665,6414.652631
-61654.360531,23665,6465.833564
-61654.360531,23665,6516.550734
-58975.952128,23665,6566.849762
-58975.952128,23665,6623.4384
-58975.952128,23665,6677.226022
-60787.021581,23665,6728.76568
-60787.021581,23665,6783.047404
-55736.233143,23665,6834.391717
-55736.233143,23665,6884.47598
-55736.233143,23665,6939.928683
-11090.983142,23665,6995.634865
