#{"t_start": 1675638016.9979687, "env_id": null}
r,l,t
-693.3277,23614,114.158144
-693.3277,23614,222.356076
-143.75,23614,328.459932
-143.75,23614,443.709171
-143.75,23614,550.514816
-143.75,23614,653.929157
-143.75,23614,760.822692
-143.75,23614,868.274563
-143.75,23614,976.105529
-143.75,23614,1084.47276
-143.75,23614,1198.809788
-143.75,23614,1307.143611
-143.75,23614,1417.135252
-143.75,23614,1537.372123
-143.75,23614,1646.208841
-143.75,23614,1754.387495
-143.75,23614,1869.846995
-143.75,23614,1976.369357
-143.75,23614,2084.413243
-143.75,23614,2197.264456
-143.75,23614,2305.932141
-143.75,23614,2418.637805
-143.75,23614,2528.64678
-143.75,23614,2645.571819
-143.75,23614,2755.664633
-143.75,23614,2865.503782
-143.75,23614,2979.40148
-143.75,23614,3093.827324
-143.75,23614,3219.282501
-143.75,23614,3333.150992
-143.75,23614,3446.498206
-143.75,23614,3565.671628
-143.75,23614,3684.914709
-143.75,23614,3791.262122
-143.75,23614,3900.604595
-143.75,23614,4015.567516
-143.75,23614,4129.313064
-143.75,23614,4236.429468
-143.75,23614,4345.353161
-143.75,23614,4454.788845
-143.75,23614,4563.841097
-143.75,23614,4671.85197
-143.75,23614,4777.541263
-143.75,23614,4892.538701
-143.75,23614,5011.626835
-143.75,23614,5118.70184
-143.75,23614,5233.959715
-143.75,23614,5354.111639
-143.75,23614,5476.144478
-143.75,23614,5595.743617
-143.75,23614,5712.395201
-143.75,23614,5819.964995
-143.75,23614,5941.45547
-143.75,23614,6060.787371
-143.75,23614,6168.261148
-143.75,23614,6276.05065
-143.75,23614,6390.407708
-143.75,23614,6509.970454
-143.75,23614,6630.121043
-143.75,23614,6744.511453
-143.75,23614,6866.711781
-143.75,23614,6985.43978
-143.75,23614,7098.365498
-143.75,23614,7201.550713
-143.75,23614,7319.678483
-143.75,23614,7432.563742
-143.75,23614,7537.666078
-143.75,23614,7652.085172
-143.75,23614,7767.28868
-143.75,23614,7879.252362
-143.75,23614,7991.9849
-143.75,23614,8105.66446
-143.75,23614,8214.516562
-143.75,23614,8323.291906
-143.75,23614,8444.366072
-143.75,23614,8565.324891
-143.75,23614,8675.687348
-143.75,23614,8790.202923
-143.75,23614,8902.444546
-143.75,23614,9021.600812
-143.75,23614,9128.868321
-143.75,23614,9247.660598
-143.75,23614,9362.956675
-143.75,23614,9471.427009
-143.75,23614,9581.812693
-143.75,23614,9692.516962
-143.75,23614,9797.760758
-143.75,23614,9908.349247
-143.75,23614,10028.506121
-143.75,23614,10134.777129
-143.75,23614,10244.517189
-143.75,23614,10357.964837
-143.75,23614,10474.71865
-143.75,23614,10588.883234
-143.75,23614,10699.541863
-143.75,23614,10809.596166
-143.75,23614,10928.369601
-143.75,23614,11039.736382
-143.75,23614,11154.60653
-143.75,23614,11268.019778
-143.75,23614,11392.186725
-143.75,23614,11504.918341
-143.75,23614,11613.813591
-143.75,23614,11724.055995
-143.75,23614,11846.956587
-143.75,23614,11964.746137
-143.75,23614,12072.16514
-143.75,23614,12189.461141
-143.75,23614,12302.959224
-143.75,23614,12416.119107
-143.75,23614,12528.821768
-143.75,23614,12640.068682
-143.75,23614,12755.161109
-143.75,23614,12866.008541
-143.75,23614,12988.945922
-143.75,23614,13099.692136
-143.75,23614,13205.71193
-143.75,23614,13322.103506
-143.75,23614,13430.316616
-143.75,23614,13550.992473
-143.75,23614,13664.754233
-143.75,23614,13785.335793
-143.75,23614,13897.39642
-143.75,23614,14013.711594
-143.75,23614,14131.604742
-143.75,23614,14241.444862
-143.75,23614,14352.744017
-143.75,23614,14465.397355
-143.75,23614,14586.784433
-143.75,23614,14701.142161
-143.75,23614,14817.383192
-143.75,23614,14931.772613
-143.75,23614,15036.848608
-143.75,23614,15146.785777
-143.75,23614,15265.040723
-143.75,23614,15381.963563
-143.75,23614,15496.52228
-143.75,23614,15603.808295
-143.75,23614,15721.265146
-143.75,23614,15826.873446
-143.75,23614,15937.521856
-143.75,23614,16047.314463
-143.75,23614,16157.507785
-143.75,23614,16269.159287
-143.75,23614,16387.587798
-143.75,23614,16501.011109
-143.75,23614,16609.844143
-143.75,23614,16718.549492
-143.75,23614,16828.937573
-143.75,23614,16944.07812
-143.75,23614,17056.441832
-143.75,23614,17175.405677
-143.75,23614,17298.49372
-143.75,23614,17414.340912
-143.75,23614,17523.356778
-143.75,23614,17637.212295
-143.75,23614,17747.245634
-143.75,23614,17858.055115
-143.75,23614,17965.5418
-143.75,23614,18075.36162
-143.75,23614,18185.77414
-143.75,23614,18302.204875
-143.75,23614,18424.978591
-143.75,23614,18542.387397
-143.75,23614,18649.771857
-143.75,23614,18761.765038
-143.75,23614,18885.264605
-143.75,23614,19004.176001
-143.75,23614,19114.440995
-143.75,23614,19225.237701
-143.75,23614,19338.567544
-143.75,23614,19447.276951
-143.75,23614,19558.28552
-143.75,23614,19672.830431
-143.75,23614,19792.260774
