#{"t_start": 1674566629.581532, "env_id": null}
r,l,t
-14129636.326205,23665,51.410062
-14129636.326205,23665,101.306512
-12920639.816309,23665,151.340347
-12920639.816309,23665,200.34943
-12920639.816309,23665,246.921878
-12971978.683464,23665,294.178882
-12971978.683464,23665,343.365157
-12954282.550819,23665,390.319953
-12954282.550819,23665,438.162112
-12954282.550819,23665,484.383372
-12888928.114444,23665,533.622605
-12888928.114444,23665,579.649239
-12887464.767262,23665,628.332864
-12887464.767262,23665,674.637702
-12887464.767262,23665,723.103257
-12903506.747086,23665,770.232542
-12903506.747086,23665,818.579979
-12805752.405502,23665,865.313039
-12805752.405502,23665,913.703895
-12805752.405502,23665,959.859439
-12792430.248939,23665,1008.716866
-12792430.248939,23665,1055.29203
-12792430.248939,23665,1103.791346
-12803087.722137,23665,1150.625492
-12803087.722137,23665,1198.934742
-12856388.333011,23665,1246.011312
-12856388.333011,23665,1294.37675
-12856388.333011,23665,1340.897957
-12842774.002504,23665,1392.112032
-12842774.002504,23665,1439.211457
-12775948.648763,23665,1493.024395
-12775948.648763,23665,1542.75453
-12775948.648763,23665,1597.030004
-12747626.518649,23665,1647.260834
-12747626.518649,23665,1698.348062
-12709340.137957,23665,1747.614452
-12709340.137957,23665,1799.207886
-12709340.137957,23665,1847.667852
-12664944.389396,23665,1900.423635
-12664944.389396,23665,1949.233002
-12791745.112834,23665,2001.2264
-12791745.112834,23665,2049.461287
-12791745.112834,23665,2105.165338
-12826252.397941,23665,2154.33908
-12826252.397941,23665,2205.63197
-12826252.397941,23665,2254.418082
-12855207.068184,23665,2306.216827
-12855207.068184,23665,2356.828262
-12816599.170426,23665,2409.475269
-12816599.170426,23665,2459.043961
-12816599.170426,23665,2510.165281
-12755776.978441,23665,2559.359511
-12755776.978441,23665,2615.392001
-12826353.503026,23665,2665.645462
-12826353.503026,23665,2719.893478
-12826353.503026,23665,2770.101614
-12773452.104002,23665,2823.748923
-12773452.104002,23665,2873.270406
-12715666.86401,23665,2926.841897
-12715666.86401,23665,2976.683369
-12715666.86401,23665,3028.614026
-12613916.027721,23665,3080.697332
-12613916.027721,23665,3133.450721
-12613916.027721,23665,3183.066971
-12572419.765774,23665,3239.692392
-12572419.765774,23665,3290.641168
-12699601.916811,23665,3343.267914
-12699601.916811,23665,3393.015083
-12699601.916811,23665,3444.840698
-12715025.251244,23665,3495.134021
-12715025.251244,23665,3548.863996
-12695237.958887,23665,3599.281774
-12695237.958887,23665,3653.267056
-12695237.958887,23665,3705.098051
-12725088.111465,23665,3761.638575
-12725088.111465,23665,3812.26145
-12684383.666584,23665,3866.701523
-12684383.666584,23665,3915.198977
-12684383.666584,23665,3967.973993
-12601519.098655,23665,4020.224993
-12601519.098655,23665,4076.513821
-12643260.405492,23665,4129.477578
-12643260.405492,23665,4181.096021
-12643260.405492,23665,4229.913723
-12610126.2808,23665,4283.206107
-12610126.2808,23665,4332.769637
-12610126.2808,23665,4384.88008
-12682048.959248,23665,4434.371735
-12682048.959248,23665,4488.153987
-12654171.505407,23665,4538.129386
-12654171.505407,23665,4594.32464
-12654171.505407,23665,4642.843673
-12593128.447861,23665,4700.161129
-12593128.447861,23665,4751.76939
-12621834.080117,23665,4806.808597
-12621834.080117,23665,4860.289911
-12621834.080117,23665,4914.180877
-12717822.246063,23665,4964.34131
-12717822.246063,23665,5015.189649
-12650211.154525,23665,5064.316525
-12650211.154525,23665,5115.272019
-12650211.154525,23665,5163.889815
-12690116.136923,23665,5215.716395
-12690116.136923,23665,5264.757297
-12668930.882495,23665,5316.060125
-12668930.882495,23665,5364.511292
-12668930.882495,23665,5421.250566
-12664535.461763,23665,5472.337809
-12664535.461763,23665,5523.349753
-12664535.461763,23665,5571.751264
-12688145.687372,23665,5623.38547
-12688145.687372,23665,5671.572309
-12669196.550294,23665,5724.600288
-12669196.550294,23665,5773.259037
-12669196.550294,23665,5825.119988
-12550595.148303,23665,5873.397097
-12550595.148303,23665,5928.985621
-12541675.38416,23665,5978.715891
-12541675.38416,23665,6028.896906
-12541675.38416,23665,6078.291367
-12386269.319452,23665,6138.443869
-12386269.319452,23665,6194.231699
-12330519.173635,23665,6252.205204
-12330519.173635,23665,6304.755956
-12330519.173635,23665,6361.193196
-12249252.935995,23665,6414.407195
-12249252.935995,23665,6467.341193
-12249252.935995,23665,6516.666949
-12057719.155458,23665,6569.501712
-12057719.155458,23665,6620.448088
-11804776.792735,23665,6672.83592
-11804776.792735,23665,6723.473394
-11804776.792735,23665,6775.887637
-11487225.979381,23665,6826.122512
-11487225.979381,23665,6879.010936
-11470059.733853,23665,6931.417686
-11470059.733853,23665,6983.618665
-11470059.733853,23665,7034.479076
-11251831.793236,23665,7089.641642
-11251831.793236,23665,7140.049703
-11197288.345187,23665,7196.6435
-11197288.345187,23665,7248.354659
-11197288.345187,23665,7301.893414
-11232387.292749,23665,7353.435476
-11232387.292749,23665,7405.427847
-11115523.725152,23665,7461.766162
-11115523.725152,23665,7521.368275
-11115523.725152,23665,7577.415156
-10889165.906617,23665,7631.554404
-10889165.906617,23665,7683.076827
-10889165.906617,23665,7741.294265
-10765643.229027,23665,7789.756523
-10765643.229027,23665,7839.364894
-10787345.188512,23665,7889.325445
-10787345.188512,23665,7945.184497
-10787345.188512,23665,7994.092235
-10773812.888266,23665,8049.909718
-10773812.888266,23665,8101.721415
-10718963.240675,23665,8157.128923
-10718963.240675,23665,8206.29063
-10718963.240675,23665,8258.582103
-10613280.563828,23665,8308.007971
-10613280.563828,23665,8363.518349
-10540569.737894,23665,8412.155579
-10540569.737894,23665,8462.082972
-10540569.737894,23665,8511.571235
-10381669.544083,23665,8565.488004
-10381669.544083,23665,8617.061133
-10382778.276406,23665,8671.646539
-10382778.276406,23665,8721.894147
-10382778.276406,23665,8775.082473
-10212833.968046,23665,8829.224949
-10212833.968046,23665,8880.152753
-10212833.968046,23665,8929.190742
-10161020.608282,23665,8980.641808
-10161020.608282,23665,9029.585639
-10147472.415141,23665,9081.350082
-10147472.415141,23665,9129.116012
-10147472.415141,23665,9185.045938
-10039887.084893,23665,9236.983206
-10039887.084893,23665,9288.533473
-10080039.496319,23665,9338.92415
-10080039.496319,23665,9390.709752
-10080039.496319,23665,9441.3064
-10042994.401837,23665,9494.494431
-10042994.401837,23665,9545.109889
-9969126.605533,23665,9598.496116
-9969126.605533,23665,9649.818813
-9969126.605533,23665,9703.843517
-9999556.06722,23665,9755.937612
-9999556.06722,23665,9806.598291
-9999556.06722,23665,9854.454187
-9827968.73683,23665,9906.137433
-9827968.73683,23665,9955.189074
