#{"t_start": 1674934721.4111648, "env_id": null}
r,l,t
-333884.21838,23665,55.937296
-333884.21838,23665,103.649583
-663518.012,23665,154.013384
-663518.012,23665,203.201352
-663518.012,23665,251.670594
-88659.17538,23665,303.472889
-88659.17538,23665,354.411049
182812.33686,23665,406.921065
182812.33686,23665,458.646534
182812.33686,23665,509.37733
186917.56,23665,562.929889
186917.56,23665,611.820642
186917.56,23665,664.962706
186917.56,23665,713.336243
186917.56,23665,759.993353
186917.56,23665,807.408787
186917.56,23665,854.334585
186917.56,23665,901.416336
186917.56,23665,947.559813
186917.56,23665,993.894031
186917.56,23665,1041.261
186917.56,23665,1087.475963
186917.56,23665,1133.868036
186917.56,23665,1181.177533
186917.56,23665,1227.544988
186917.56,23665,1274.349062
186917.56,23665,1320.48892
186917.56,23665,1368.598398
186917.56,23665,1424.913495
186917.56,23665,1479.267716
186917.56,23665,1526.76465
186917.56,23665,1579.108841
186917.56,23665,1631.927871
186917.56,23665,1688.301766
186917.56,23665,1738.244282
186917.56,23665,1785.854268
186917.56,23665,1835.996326
186917.56,23665,1886.412731
186917.56,23665,1939.396493
186917.56,23665,1990.643364
186917.56,23665,2038.637584
186917.56,23665,2085.76607
186917.56,23665,2135.291718
186917.56,23665,2186.609756
186917.56,23665,2236.745499
186917.56,23665,2287.339707
186917.56,23665,2339.108116
186917.56,23665,2389.136472
186917.56,23665,2440.138889
186917.56,23665,2490.044499
186917.56,23665,2540.576727
186917.56,23665,2591.314464
186917.56,23665,2641.592806
186917.56,23665,2692.400544
186917.56,23665,2742.656678
186917.56,23665,2792.644249
186917.56,23665,2844.158458
186917.56,23665,2894.560922
186917.56,23665,2945.710876
186917.56,23665,2995.98166
186917.56,23665,3046.483149
186917.56,23665,3097.395308
186917.56,23665,3147.873702
186917.56,23665,3198.310966
186917.56,23665,3249.415589
186917.56,23665,3299.984849
186917.56,23665,3351.002115
186917.56,23665,3401.022527
186917.56,23665,3451.216512
186917.56,23665,3502.109938
186917.56,23665,3552.5238
186917.56,23665,3603.535149
186917.56,23665,3654.197344
186917.56,23665,3704.381002
186917.56,23665,3755.887459
186917.56,23665,3806.158042
186917.56,23665,3856.908001
186917.56,23665,3907.356142
186917.56,23665,3957.903689
186917.56,23665,4008.636991
186917.56,23665,4059.029105
186917.56,23665,4110.061814
186917.56,23665,4160.564717
186917.56,23665,4210.612886
186917.56,23665,4261.610249
186917.56,23665,4311.733726
186917.56,23665,4362.103182
186917.56,23665,4412.94871
186917.56,23665,4463.216321
186917.56,23665,4514.523611
186917.56,23665,4565.081855
186917.56,23665,4615.034811
186917.56,23665,4666.184929
