#{"t_start": 1675995257.9570215, "env_id": null}
r,l,t
-5359827.2,23665,121.170392
-5359827.2,23665,239.682172
82475.4,23665,361.341413
82475.4,23665,475.333267
82475.4,23665,581.636219
86805.0,23665,688.239482
86805.0,23665,795.066496
81840.4,23665,903.722786
81840.4,23665,1011.48034
81840.4,23665,1121.228504
84692.0,23665,1227.810953
84692.0,23665,1335.471001
92344.0,23665,1443.924566
92344.0,23665,1554.437086
92344.0,23665,1664.590638
94962.0,23665,1773.729774
94962.0,23665,1881.494247
96610.0,23665,1988.925865
96610.0,23665,2096.476995
96610.0,23665,2204.565078
95450.0,23665,2312.575879
95450.0,23665,2419.62857
95450.0,23665,2528.029425
97098.0,23665,2636.105612
97098.0,23665,2745.943049
97098.0,23665,2852.464742
97098.0,23665,2963.807999
97098.0,23665,3073.359491
96610.0,23665,3182.178162
96610.0,23665,3292.49494
96610.0,23665,3403.778748
96610.0,23665,3514.73781
96610.0,23665,3623.013737
99214.0,23665,3732.036563
99214.0,23665,3840.66239
96610.0,23665,3950.318869
96610.0,23665,4061.586928
96610.0,23665,4170.73581
97098.0,23665,4279.218031
97098.0,23665,4389.619376
97098.0,23665,4498.982672
97098.0,23665,4607.88278
97098.0,23665,4717.052299
97306.0,23665,4827.958217
97306.0,23665,4936.727688
97306.0,23665,5046.644884
95932.8,23665,5156.793026
95932.8,23665,5266.897235
91203.4,23665,5375.846136
91203.4,23665,5485.220359
91203.4,23665,5595.690902
93899.4,23665,5704.107779
93899.4,23665,5812.941736
70980.2,23665,5922.492708
70980.2,23665,6031.079391
70980.2,23665,6139.805616
24118.0,23665,6247.715789
24118.0,23665,6357.588631
-43086.6,23665,6469.337262
-43086.6,23665,6579.975787
-43086.6,23665,6692.020652
-200829.0,23665,6801.498802
-200829.0,23665,6909.093724
-200829.0,23665,7016.588717
-287317.4,23665,7126.971755
-287317.4,23665,7235.78633
-276328.6,23665,7345.087415
-276328.6,23665,7455.678387
-276328.6,23665,7567.269801
-157574.0,23665,7676.822362
-157574.0,23665,7785.354148
-687537.8,23665,7896.791759
-687537.8,23665,8005.983402
-687537.8,23665,8117.934341
-2102281.6,23665,8226.509037
-2102281.6,23665,8334.469974
-2950227.0,23665,8446.933265
-2950227.0,23665,8554.301045
-2950227.0,23665,8664.505127
-2076033.4,23665,8775.585745
-2076033.4,23665,8885.696924
-1321886.0,23665,8996.451338
-1321886.0,23665,9105.869003
-1321886.0,23665,9215.580785
-449120.0,23665,9328.176492
-449120.0,23665,9439.339432
-449120.0,23665,9548.146463
