#{"t_start": 1675807848.9825623, "env_id": null}
r,l,t
-962.49944,23616,53.462525
-962.49944,23616,101.698357
-252.39,23616,153.869168
-252.39,23616,205.19397
-252.39,23616,255.747674
-252.39,23616,307.308255
-252.39,23616,356.183929
-252.39,23616,405.323699
-252.39,23616,456.216391
-252.39,23616,508.223754
-252.39,23616,559.670903
-252.39,23616,608.997779
-252.39,23616,660.454004
-252.39,23616,712.732963
-252.39,23616,764.345095
-252.39,23616,816.605456
-252.39,23616,867.787791
-252.39,23616,918.870187
-252.39,23616,971.089704
-252.39,23616,1020.802588
-252.39,23616,1071.939527
-252.39,23616,1123.235466
-252.39,23616,1171.82395
-252.39,23616,1221.494404
-252.39,23616,1269.488581
-252.39,23616,1319.713245
-252.39,23616,1369.502533
-252.39,23616,1418.806341
-252.39,23616,1468.292084
-252.39,23616,1518.269654
-252.39,23616,1568.605908
-252.39,23616,1617.814981
-252.39,23616,1668.778573
-252.39,23616,1720.522477
-252.39,23616,1769.143201
-252.39,23616,1820.010691
-252.39,23616,1868.592139
-252.39,23616,1918.058794
-252.39,23616,1967.908473
-252.39,23616,2018.802956
-252.39,23616,2070.630427
-252.39,23616,2119.569044
-252.39,23616,2170.162901
-252.39,23616,2220.911746
-252.39,23616,2271.194968
-252.39,23616,2322.480922
-252.39,23616,2372.296049
-252.39,23616,2423.118563
-252.39,23616,2476.107524
-252.39,23616,2527.258259
-252.39,23616,2578.453787
-252.39,23616,2629.273678
-252.39,23616,2678.76755
-252.39,23616,2730.30673
-252.39,23616,2779.944633
-252.39,23616,2832.741449
-252.39,23616,2883.729121
-252.39,23616,2934.843982
-252.39,23616,2985.629442
-252.39,23616,3035.868731
-252.39,23616,3090.569358
-252.39,23616,3142.173257
-252.39,23616,3193.559091
-252.39,23616,3245.644201
-252.39,23616,3296.75689
-252.39,23616,3348.435173
-252.39,23616,3402.673287
-252.39,23616,3451.568504
-252.39,23616,3501.717234
-252.39,23616,3551.459677
-252.39,23616,3601.124272
-252.39,23616,3651.407909
-252.39,23616,3700.080345
-252.39,23616,3748.447513
-252.39,23616,3797.187357
-252.39,23616,3845.442428
-252.39,23616,3893.675464
-252.39,23616,3941.071486
-252.39,23616,3989.150128
-252.39,23616,4037.91902
-252.39,23616,4086.456474
-252.39,23616,4134.971238
-252.39,23616,4182.557732
-252.39,23616,4230.545962
-252.39,23616,4278.739264
-252.39,23616,4329.811527
-252.39,23616,4377.85033
-252.39,23616,4427.302717
-252.39,23616,4475.852577
-252.39,23616,4525.613931
-252.39,23616,4579.359763
-252.39,23616,4631.243884
-252.39,23616,4682.21964
-252.39,23616,4732.378831
-252.39,23616,4781.855462
-252.39,23616,4833.669693
-252.39,23616,4884.323756
-252.39,23616,4937.974948
-252.39,23616,4991.041937
-252.39,23616,5045.116885
-252.39,23616,5095.452439
-252.39,23616,5143.290629
-252.39,23616,5190.957066
-252.39,23616,5237.857762
-252.39,23616,5285.71168
