#{"t_start": 1674754779.4416332, "env_id": null}
r,l,t
-371811.23944,23665,49.573633
-371811.23944,23665,95.288851
48799.12554,23665,144.808884
48799.12554,23665,191.119849
48799.12554,23665,239.753789
48644.02,23665,288.078958
48644.02,23665,333.48791
48644.02,23665,381.667073
48644.02,23665,427.155578
48644.02,23665,475.748791
48644.02,23665,522.371233
48644.02,23665,570.480222
48644.02,23665,616.743634
48644.02,23665,664.215567
48644.02,23665,710.078722
48644.02,23665,758.049544
48644.02,23665,803.979127
48644.02,23665,852.512883
48644.02,23665,898.903412
48644.02,23665,946.251565
48644.02,23665,993.479553
48644.02,23665,1041.42351
48644.02,23665,1087.957059
48644.02,23665,1137.162777
48644.02,23665,1182.842292
48644.02,23665,1231.283013
48644.02,23665,1277.795958
48644.02,23665,1325.890849
48644.02,23665,1372.633437
48644.02,23665,1419.97307
48644.02,23665,1467.793044
48644.02,23665,1515.527242
48644.02,23665,1562.243295
48644.02,23665,1610.81851
48644.02,23665,1657.293381
48644.02,23665,1706.020956
48644.02,23665,1754.004705
48644.02,23665,1801.612932
48644.02,23665,1849.101725
48644.02,23665,1897.08909
48644.02,23665,1944.307712
48644.02,23665,1992.189002
48644.02,23665,2038.517547
50876.96476,23665,2086.400581
50876.96476,23665,2132.673073
50876.96476,23665,2180.820034
52761.13962,23665,2227.556847
52761.13962,23665,2275.110552
44797.98178,23665,2321.58689
44797.98178,23665,2369.320511
44797.98178,23665,2415.801373
19501.77578,23665,2464.027357
19501.77578,23665,2509.80288
3021.1845,23665,2558.391855
3021.1845,23665,2604.380393
3021.1845,23665,2657.701052
-20126.47342,23665,2707.06918
-20126.47342,23665,2755.482158
-28023.6814,23665,2804.175832
-28023.6814,23665,2855.470823
-28023.6814,23665,2904.932407
-84053.5754,23665,2955.186197
-84053.5754,23665,3003.145095
-84053.5754,23665,3052.617587
-120328.91236,23665,3100.904609
-120328.91236,23665,3149.248236
-124338.3358,23665,3195.953598
-124338.3358,23665,3243.787024
-124338.3358,23665,3291.126841
-134089.28874,23665,3339.153774
-134089.28874,23665,3386.396348
-187407.15604,23665,3434.238354
-187407.15604,23665,3480.736305
-187407.15604,23665,3527.975284
-199769.28456,23665,3574.912453
-199769.28456,23665,3622.43824
-264452.48876,23665,3669.804984
-264452.48876,23665,3717.330193
-264452.48876,23665,3763.33633
-239374.11346,23665,3811.747185
-239374.11346,23665,3858.336711
-277548.34868,23665,3906.088545
-277548.34868,23665,3951.897977
-277548.34868,23665,3999.048619
-310606.60362,23665,4045.540616
-310606.60362,23665,4093.019029
-310606.60362,23665,4139.727458
-312618.57496,23665,4187.410397
-312618.57496,23665,4233.239596
-312143.46702,23665,4281.719575
-312143.46702,23665,4328.296899
-312143.46702,23665,4375.627043
-219011.0961,23665,4422.137356
-219011.0961,23665,4469.425738
-337607.31936,23665,4516.671966
-337607.31936,23665,4564.277372
-337607.31936,23665,4615.76845
-362026.67242,23665,4667.129993
-362026.67242,23665,4715.641942
-339868.09932,23665,4766.804888
-339868.09932,23665,4815.679407
-339868.09932,23665,4864.633862
-323195.62256,23665,4915.445892
-323195.62256,23665,4965.355764
-363340.33992,23665,5014.035746
-363340.33992,23665,5065.746863
-363340.33992,23665,5113.54817
-305206.53954,23665,5165.427609
-305206.53954,23665,5213.941817
-305206.53954,23665,5263.585105
-353423.4385,23665,5312.199176
-353423.4385,23665,5363.443816
-380097.2816,23665,5413.059096
-380097.2816,23665,5465.714457
-380097.2816,23665,5513.705396
-365659.73746,23665,5564.802886
-365659.73746,23665,5615.738386
-326499.58096,23665,5666.738989
-326499.58096,23665,5716.029767
-326499.58096,23665,5765.723248
-339895.52368,23665,5815.878411
-339895.52368,23665,5864.645896
-306232.77816,23665,5913.418397
-306232.77816,23665,5964.569203
-306232.77816,23665,6013.224108
-280288.04394,23665,6067.215791
-280288.04394,23665,6116.52519
-280288.04394,23665,6166.846052
-326208.29914,23665,6216.742196
-326208.29914,23665,6265.801324
-451428.751,23665,6319.073833
-451428.751,23665,6371.34471
-451428.751,23665,6422.523522
-400467.9019,23665,6473.331931
-400467.9019,23665,6525.528249
-391339.70502,23665,6579.540995
-391339.70502,23665,6628.765048
-391339.70502,23665,6677.98273
-409831.143,23665,6727.040065
-409831.143,23665,6777.510779
-384631.67442,23665,6827.106407
-384631.67442,23665,6875.23091
-384631.67442,23665,6924.737154
-393805.00392,23665,6975.878542
-393805.00392,23665,7025.180894
-392738.10162,23665,7074.91589
-392738.10162,23665,7125.489678
-392738.10162,23665,7175.490955
-438482.70464,23665,7223.36038
-438482.70464,23665,7273.616215
-438482.70464,23665,7324.362576
-372302.00506,23665,7374.963714
-372302.00506,23665,7424.222874
-438190.15088,23665,7473.360618
-438190.15088,23665,7520.400474
-438190.15088,23665,7568.710134
-469298.56826,23665,7615.988262
-469298.56826,23665,7664.006452
-538810.95124,23665,7711.076987
-538810.95124,23665,7758.19452
-538810.95124,23665,7803.684227
-551047.91418,23665,7851.017281
-551047.91418,23665,7896.779514
-569119.22848,23665,7944.005425
-569119.22848,23665,7989.731785
-569119.22848,23665,8036.717068
-660379.47808,23665,8083.370307
-660379.47808,23665,8130.111528
-671579.96168,23665,8176.216962
-671579.96168,23665,8223.318484
-671579.96168,23665,8268.980147
-706804.99502,23665,8316.282255
-706804.99502,23665,8362.221077
-706804.99502,23665,8408.929083
-737851.83778,23665,8455.460968
-737851.83778,23665,8502.408654
-769422.11404,23665,8549.451302
-769422.11404,23665,8596.085435
-769422.11404,23665,8642.070034
-740802.07122,23665,8689.520047
-740802.07122,23665,8735.452454
-866014.5205,23665,8783.437969
-866014.5205,23665,8828.8756
-866014.5205,23665,8875.828126
-851666.33824,23665,8928.174657
-851666.33824,23665,8978.758725
-909488.03632,23665,9027.818645
-909488.03632,23665,9080.557276
-909488.03632,23665,9132.18
-948797.93684,23665,9183.451852
-948797.93684,23665,9232.712008
-948797.93684,23665,9282.276937
-884458.64134,23665,9331.668674
-884458.64134,23665,9380.646093
-861904.57282,23665,9431.472848
-861904.57282,23665,9480.616297
-861904.57282,23665,9527.681522
-890994.2535,23665,9577.268432
-890994.2535,23665,9624.601669
-897206.67948,23665,9673.732594
-897206.67948,23665,9721.872353
-897206.67948,23665,9774.304895
-890871.0825,23665,9822.634163
-890871.0825,23665,9873.782372
-910909.46458,23665,9922.49934
-910909.46458,23665,9972.623439
-910909.46458,23665,10022.939626
-942011.4654,23665,10072.557939
-942011.4654,23665,10120.836973
-975845.93502,23665,10171.069646
-975845.93502,23665,10218.075989
-975845.93502,23665,10266.641498
-1018279.20572,23665,10316.657792
-1018279.20572,23665,10369.823537
-1018279.20572,23665,10418.53317
-976323.4202,23665,10468.322934
-976323.4202,23665,10522.537221
-893381.8365,23665,10578.327058
-893381.8365,23665,10626.961531
-893381.8365,23665,10677.890071
-931886.62882,23665,10726.638937
-931886.62882,23665,10774.344055
-896651.4748,23665,10822.270387
-896651.4748,23665,10872.131263
-896651.4748,23665,10922.314423
-883550.47466,23665,10974.158474
-883550.47466,23665,11023.096606
-861458.27054,23665,11076.824247
-861458.27054,23665,11128.377766
-861458.27054,23665,11178.416284
-858267.43104,23665,11228.565015
-858267.43104,23665,11277.334059
-862857.58628,23665,11327.916717
-862857.58628,23665,11377.151953
-862857.58628,23665,11424.998185
-904022.13906,23665,11474.418983
-904022.13906,23665,11523.23223
-904022.13906,23665,11573.580374
-895651.87948,23665,11622.992261
-895651.87948,23665,11675.160694
-916974.5832,23665,11723.414999
-916974.5832,23665,11772.593295
-916974.5832,23665,11822.016603
-934619.28516,23665,11872.062048
-934619.28516,23665,11922.72662
-948007.70558,23665,11970.436661
-948007.70558,23665,12015.987304
-948007.70558,23665,12062.895171
-887526.53856,23665,12109.506023
-887526.53856,23665,12158.822724
-864635.97458,23665,12214.262008
-864635.97458,23665,12268.793375
-864635.97458,23665,12322.220251
-874120.50334,23665,12377.884743
-874120.50334,23665,12430.476199
-874120.50334,23665,12485.551697
-894124.08014,23665,12537.161725
-894124.08014,23665,12589.885166
-792145.73976,23665,12641.090361
-792145.73976,23665,12694.182042
-792145.73976,23665,12746.158441
-791919.42394,23665,12798.70735
-791919.42394,23665,12851.276159
-784238.83102,23665,12901.852729
-784238.83102,23665,12955.955576
-784238.83102,23665,13008.992072
-819279.99116,23665,13061.833186
-819279.99116,23665,13115.282154
-894966.38148,23665,13165.133145
-894966.38148,23665,13215.206342
-894966.38148,23665,13267.377422
-907412.43884,23665,13319.921666
-907412.43884,23665,13370.224209
-884988.73984,23665,13427.263909
-884988.73984,23665,13480.514569
-884988.73984,23665,13531.853461
-840099.52976,23665,13579.018116
-840099.52976,23665,13626.668781
-840099.52976,23665,13673.247537
-836959.58748,23665,13723.218005
-836959.58748,23665,13774.395832
-908307.17598,23665,13826.836607
-908307.17598,23665,13873.296795
-908307.17598,23665,13924.886086
-901205.70756,23665,13975.466365
-901205.70756,23665,14022.345023
-977247.04104,23665,14068.815197
-977247.04104,23665,14118.604174
-977247.04104,23665,14167.967425
-942669.43214,23665,14216.03144
-942669.43214,23665,14262.275502
-902221.66698,23665,14310.179938
-902221.66698,23665,14356.789192
-902221.66698,23665,14404.968976
-813765.18332,23665,14453.637372
-813765.18332,23665,14501.84087
-747411.9635,23665,14550.628355
-747411.9635,23665,14601.000369
-747411.9635,23665,14649.711358
-705485.00372,23665,14700.322089
-705485.00372,23665,14748.059961
-705485.00372,23665,14796.002945
-743055.9909,23665,14845.300851
-743055.9909,23665,14893.893946
-805074.18096,23665,14943.192271
-805074.18096,23665,14993.142421
-805074.18096,23665,15039.477208
-827518.29374,23665,15088.110833
-827518.29374,23665,15134.059508
-888340.45732,23665,15181.892182
-888340.45732,23665,15227.595973
-888340.45732,23665,15274.662388
-941358.11552,23665,15321.282306
-941358.11552,23665,15367.653759
-944432.73796,23665,15413.637281
-944432.73796,23665,15459.929279
-944432.73796,23665,15505.720303
-900282.21962,23665,15552.645047
-900282.21962,23665,15597.893244
-900282.21962,23665,15646.704029
-908327.52724,23665,15696.742913
-908327.52724,23665,15743.518357
-928722.64264,23665,15790.107029
-928722.64264,23665,15836.876261
-928722.64264,23665,15882.573896
-893851.03408,23665,15930.329765
-893851.03408,23665,15978.247715
-930653.52532,23665,16032.031305
-930653.52532,23665,16081.437037
-930653.52532,23665,16130.708011
-898074.13136,23665,16178.094577
-898074.13136,23665,16226.772165
-845855.00288,23665,16276.994069
-845855.00288,23665,16327.195857
-845855.00288,23665,16374.772202
-784219.53182,23665,16424.120384
-784219.53182,23665,16470.809869
-765055.33934,23665,16522.710586
-765055.33934,23665,16572.385858
-765055.33934,23665,16623.054265
-831521.55742,23665,16676.621092
-831521.55742,23665,16726.91628
-831521.55742,23665,16775.070277
-810293.71328,23665,16828.149426
-810293.71328,23665,16876.342976
-807987.53564,23665,16924.884169
-807987.53564,23665,16971.937525
-807987.53564,23665,17020.683891
-806242.39164,23665,17069.141185
-806242.39164,23665,17115.498402
-889644.74286,23665,17161.8505
-889644.74286,23665,17208.185673
-889644.74286,23665,17253.729814
-900551.95842,23665,17301.120078
-900551.95842,23665,17348.323288
-835707.8906,23665,17396.113882
-835707.8906,23665,17441.172303
-835707.8906,23665,17487.433635
-865506.39974,23665,17533.366224
-865506.39974,23665,17579.630713
-873638.65224,23665,17625.352368
-873638.65224,23665,17671.408179
-873638.65224,23665,17716.752534
-824225.12064,23665,17763.897825
-824225.12064,23665,17809.534758
-824225.12064,23665,17855.701216
-705151.08512,23665,17901.873645
-705151.08512,23665,17948.007133
-763901.16308,23665,17994.403685
-763901.16308,23665,18040.231599
-763901.16308,23665,18085.43292
-739070.66906,23665,18132.487143
-739070.66906,23665,18178.352407
-668949.25188,23665,18225.527317
-668949.25188,23665,18271.036676
-668949.25188,23665,18317.665738
-725307.31198,23665,18363.536891
-725307.31198,23665,18409.899498
-859047.95478,23665,18455.90392
-859047.95478,23665,18502.328091
-859047.95478,23665,18548.232859
-905819.10876,23665,18595.038281
-905819.10876,23665,18640.455362
-905819.10876,23665,18686.412064
-927494.36904,23665,18732.583334
-927494.36904,23665,18778.937431
-945980.57834,23665,18824.659657
-945980.57834,23665,18870.985402
-945980.57834,23665,18916.268158
-902226.47052,23665,18962.897115
-902226.47052,23665,19008.022757
-877403.28146,23665,19054.982895
-877403.28146,23665,19099.893631
-877403.28146,23665,19146.270648
-869141.18036,23665,19192.038131
-869141.18036,23665,19237.854791
-848504.6565,23665,19284.045474
-848504.6565,23665,19330.437876
-848504.6565,23665,19375.689867
-769140.62326,23665,19422.138289
