Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LSK,Volume BTC,,,,,,
1605855600,2020-11-20 07-AM,LSKBTC,1.56E+04,1.56E+04,1.56E+04,1.56E+04,0,0,,,,,,
1605852000,2020-11-20 06-AM,LSKBTC,1.56E+04,1.56E+04,1.56E+04,1.56E+04,0,0,,,,,,
1605848400,2020-11-20 05-AM,LSKBTC,1.56E+04,1.56E+04,1.56E+04,1.56E+04,0,0,,,,,,
1605844800,2020-11-20 04-AM,LSKBTC,1.55E+04,1.55E+04,1.56E+04,1.56E+04,8.47,0.0005457,,,,,,
1605841200,2020-11-20 03-AM,LSKBTC,1.55E+04,1.55E+04,1.55E+04,1.55E+04,0,0,,,,,,
1605837600,2020-11-20 02-AM,LSKBTC,1.51E+04,1.51E+04,1.55E+04,1.55E+04,7.755,0.0005032,,,,,,
1605834000,2020-11-20 01-AM,LSKBTC,1.51E+04,1.49E+04,1.67E+04,1.51E+04,925.76,0.05633,,,,,,
1605830400,2020-11-20 12-AM,LSKBTC,1.54E+04,1.51E+04,1.54E+04,1.51E+04,1.927,0.0001272,,,,,,
1605826800,2020-11-19 11-PM,LSKBTC,1.51E+04,1.51E+04,1.54E+04,1.54E+04,3.479,0.0002261,,,,,,
1605823200,2020-11-19 10-PM,LSKBTC,1.54E+04,1.51E+04,1.54E+04,1.51E+04,47.56,0.003139,,,,,,
1605819600,2020-11-19 09-PM,LSKBTC,1.54E+04,1.54E+04,1.54E+04,1.54E+04,0,0,,,,,,
1605816000,2020-11-19 08-PM,LSKBTC,1.56E+04,1.51E+04,1.66E+04,1.54E+04,393.19,0.02498,,,,,,
1605812400,2020-11-19 07-PM,LSKBTC,1.58E+04,1.54E+04,1.66E+04,1.56E+04,1127.81,0.07064,,,,,,
1605808800,2020-11-19 06-PM,LSKBTC,1.55E+04,1.55E+04,1.58E+04,1.58E+04,2,0.0001264,,,,,,
1605805200,2020-11-19 05-PM,LSKBTC,1.56E+04,1.55E+04,1.56E+04,1.55E+04,196.98,0.01261,,,,,,
1605801600,2020-11-19 04-PM,LSKBTC,1.61E+04,1.55E+04,1.61E+04,1.56E+04,48.53,0.003125,,,,,,
1605798000,2020-11-19 03-PM,LSKBTC,1.55E+04,1.55E+04,1.61E+04,1.61E+04,10.04,0.0006314,,,,,,
1605794400,2020-11-19 02-PM,LSKBTC,1.56E+04,1.55E+04,1.56E+04,1.55E+04,1.797,0.0001162,,,,,,
1605790800,2020-11-19 01-PM,LSKBTC,1.55E+04,1.55E+04,1.61E+04,1.56E+04,46.41,0.002886,,,,,,
1605787200,2020-11-19 12-PM,LSKBTC,1.55E+04,1.55E+04,1.56E+04,1.55E+04,201.54,0.01296,,,,,,
1605783600,2020-11-19 11-AM,LSKBTC,1.55E+04,1.55E+04,1.55E+04,1.55E+04,0,0,,,,,,
1605780000,2020-11-19 10-AM,LSKBTC,1.55E+04,1.55E+04,1.55E+04,1.55E+04,0,0,,,,,,
1605776400,2020-11-19 09-AM,LSKBTC,1.58E+04,1.55E+04,1.58E+04,1.55E+04,15.55,0.001001,,,,,,
1605772800,2020-11-19 08-AM,LSKBTC,1.58E+04,1.58E+04,1.58E+04,1.58E+04,0,0,,,,,,
1605769200,2020-11-19 07-AM,LSKBTC,1.53E+04,1.53E+04,1.58E+04,1.58E+04,11.32,0.0007185,,,,,,
1605765600,2020-11-19 06-AM,LSKBTC,1.56E+04,1.53E+04,1.58E+04,1.53E+04,8.779,0.0005617,,,,,,
1605762000,2020-11-19 05-AM,LSKBTC,1.54E+04,1.54E+04,1.56E+04,1.56E+04,11.77,0.0007598,,,,,,
1605758400,2020-11-19 04-AM,LSKBTC,1.54E+04,1.49E+04,1.54E+04,1.54E+04,131.73,0.00882,,,,,,
1605754800,2020-11-19 03-AM,LSKBTC,1.51E+04,1.51E+04,1.54E+04,1.54E+04,4.848,0.0003152,,,,,,
1605751200,2020-11-19 02-AM,LSKBTC,1.54E+04,1.51E+04,1.54E+04,1.51E+04,1.691,0.0001116,,,,,,
1605747600,2020-11-19 01-AM,LSKBTC,1.54E+04,1.54E+04,1.54E+04,1.54E+04,0,0,,,,,,
1605744000,2020-11-19 12-AM,LSKBTC,1.51E+04,1.51E+04,1.54E+04,1.54E+04,53.28,0.003533,,,,,,
1605740400,2020-11-18 11-PM,LSKBTC,1.52E+04,1.51E+04,1.52E+04,1.51E+04,244.74,0.01614,,,,,,
1605736800,2020-11-18 10-PM,LSKBTC,1.55E+04,1.51E+04,1.59E+04,1.52E+04,2918.37,0.1911,,,,,,
1605733200,2020-11-18 09-PM,LSKBTC,1.55E+04,1.55E+04,1.55E+04,1.55E+04,0,0,,,,,,
1605729600,2020-11-18 08-PM,LSKBTC,1.55E+04,1.55E+04,1.55E+04,1.55E+04,2.165,0.00014,,,,,,
1605726000,2020-11-18 07-PM,LSKBTC,1.55E+04,1.55E+04,1.55E+04,1.55E+04,0,0,,,,,,
1605722400,2020-11-18 06-PM,LSKBTC,1.55E+04,1.55E+04,1.55E+04,1.55E+04,0,0,,,,,,
1605718800,2020-11-18 05-PM,LSKBTC,1.58E+04,1.55E+04,1.58E+04,1.55E+04,3.33,0.0002146,,,,,,
1605715200,2020-11-18 04-PM,LSKBTC,1.56E+04,1.56E+04,1.59E+04,1.58E+04,54.25,0.003421,,,,,,
1605711600,2020-11-18 03-PM,LSKBTC,1.51E+04,1.51E+04,1.56E+04,1.56E+04,7.417,0.0004773,,,,,,
1605708000,2020-11-18 02-PM,LSKBTC,1.52E+04,1.51E+04,1.52E+04,1.51E+04,1.666,0.00011,,,,,,
1605704400,2020-11-18 01-PM,LSKBTC,1.56E+04,1.52E+04,1.56E+04,1.52E+04,1.547,0.0001015,,,,,,
1605700800,2020-11-18 12-PM,LSKBTC,1.55E+04,1.54E+04,1.58E+04,1.56E+04,34.24,0.002171,,,,,,
1605697200,2020-11-18 11-AM,LSKBTC,1.56E+04,1.50E+04,1.56E+04,1.55E+04,161.26,0.01055,,,,,,
