Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC,,,,,,
1605855600,2020-11-20 07-AM,XRPBTC,60240.96,60204.70,60496.07,60496.07,21940.04,0.3631,,,,,,
1605852000,2020-11-20 06-AM,XRPBTC,60532.69,60132.29,60532.69,60240.96,59583.62,0.988,,,,,,
1605848400,2020-11-20 05-AM,XRPBTC,60024.01,59952.04,61050.06,60532.69,788580.5,13.07,,,,,,
1605844800,2020-11-20 04-AM,XRPBTC,59347.18,59347.18,60060.06,60024.01,68059.91,1.137,,,,,,
1605841200,2020-11-20 03-AM,XRPBTC,59101.65,58962.26,59523.81,59347.18,74098.75,1.253,,,,,,
1605837600,2020-11-20 02-AM,XRPBTC,59311.98,58997.05,59311.98,59101.65,205009.05,3.466,,,,,,
1605834000,2020-11-20 01-AM,XRPBTC,58962.26,58927.52,59311.98,59311.98,65026.96,1.1,,,,,,
1605830400,2020-11-20 12-AM,XRPBTC,58651.03,58582.31,59276.82,58962.26,176746.23,2.997,,,,,,
1605826800,2020-11-19 11-PM,XRPBTC,59276.82,58651.03,59382.42,58651.03,87176.35,1.474,,,,,,
1605823200,2020-11-19 10-PM,XRPBTC,59952.04,59241.71,59952.04,59276.82,163809.58,2.743,,,,,,
1605819600,2020-11-19 09-PM,XRPBTC,59594.76,59417.71,60060.06,59952.04,207464.25,3.465,,,,,,
1605816000,2020-11-19 08-PM,XRPBTC,59594.76,59417.71,59737.16,59594.76,180823.51,3.036,,,,,,
1605812400,2020-11-19 07-PM,XRPBTC,59665.87,59417.71,59916.12,59594.76,158631.62,2.656,,,,,,
1605808800,2020-11-19 06-PM,XRPBTC,59916.12,59382.42,59952.04,59665.87,187743.7,3.151,,,,,,
1605805200,2020-11-19 05-PM,XRPBTC,59594.76,59594.76,60422.96,59916.12,215596.05,3.593,,,,,,
1605801600,2020-11-19 04-PM,XRPBTC,60532.69,58823.53,60532.69,59594.76,338760.56,5.682,,,,,,
1605798000,2020-11-19 03-PM,XRPBTC,60679.61,60459.49,61087.35,60532.69,212716.56,3.502,,,,,,
1605794400,2020-11-19 02-PM,XRPBTC,60168.47,60132.29,60679.61,60679.61,157475.33,2.612,,,,,,
1605790800,2020-11-19 01-PM,XRPBTC,59701.49,59417.71,60422.96,60168.47,387834.25,6.468,,,,,,
1605787200,2020-11-19 12-PM,XRPBTC,60938.45,59701.49,60938.45,59701.49,214272.36,3.548,,,,,,
1605783600,2020-11-19 11-AM,XRPBTC,61274.51,60532.69,61425.06,60938.45,298476.94,4.886,,,,,,
1605780000,2020-11-19 10-AM,XRPBTC,61199.51,61050.06,61349.69,61274.51,173164.85,2.83,,,,,,
1605776400,2020-11-19 09-AM,XRPBTC,60938.45,60901.34,61387.35,61199.51,103825.77,1.699,,,,,,
1605772800,2020-11-19 08-AM,XRPBTC,61162.08,60790.27,61425.06,60938.45,165830.59,2.715,,,,,,
1605769200,2020-11-19 07-AM,XRPBTC,61349.69,61087.35,61349.69,61162.08,233912.59,3.82,,,,,,
1605765600,2020-11-19 06-AM,XRPBTC,61199.51,61012.81,61576.35,61349.69,135731.41,2.217,,,,,,
1605762000,2020-11-19 05-AM,XRPBTC,61050.06,60790.27,61199.51,61199.51,234965.54,3.854,,,,,,
1605758400,2020-11-19 04-AM,XRPBTC,61050.06,60864.27,61124.69,61050.06,299898.66,4.917,,,,,,
